Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.5629938782343802, 'self_conf': 2.707874598548627, 'swarm_conf': 2.9573972738020493, 'version': 'constriction', 'distribution': 'uniform', 'gravity': 0.5422353857286947, 'alpha': 0.035776608103870504}
Mejor rendimiento encontrado:
1038.949705721095

Stderr:
[I 2025-01-21 20:44:57,924] A new study created in memory with name: no-name-839d7b34-daf9-4651-8989-5090905d1bec
[I 2025-01-21 20:45:02,184] Trial 0 finished with value: 341317.08350372396 and parameters: {'factor': 0.6910024498746538, 'self_conf': 2.0052699743981575, 'swarm_conf': 2.660972077645826, 'version': 'inertial', 'distribution': 'gaussian', 'gravity': 0.9919769107379471, 'alpha': 0.01996965143590704}. Best is trial 0 with value: 341317.08350372396.
[I 2025-01-21 20:45:03,802] Trial 1 finished with value: 46525.786698633114 and parameters: {'factor': 0.5253763868803838, 'self_conf': 2.503702410788888, 'swarm_conf': 2.3175182919558517, 'version': 'constriction', 'distribution': 'levy', 'gravity': 1.1302107524636247, 'alpha': 0.010644712676169931}. Best is trial 1 with value: 46525.786698633114.
[I 2025-01-21 20:45:05,404] Trial 2 finished with value: 91978.27202276338 and parameters: {'factor': 0.9093583390273432, 'self_conf': 2.0282931609300725, 'swarm_conf': 2.4192060266364486, 'version': 'constriction', 'distribution': 'uniform', 'gravity': 1.5237410620257852, 'alpha': 0.02456413342530567}. Best is trial 1 with value: 46525.786698633114.
[I 2025-01-21 20:45:07,011] Trial 3 finished with value: 208687.6278109789 and parameters: {'factor': 0.17914445491321462, 'self_conf': 2.5820410222965493, 'swarm_conf': 2.293973357981777, 'version': 'inertial', 'distribution': 'levy', 'gravity': 0.8601312155347255, 'alpha': 0.037004170812862384}. Best is trial 1 with value: 46525.786698633114.
[I 2025-01-21 20:45:08,633] Trial 4 finished with value: 282661.1155664703 and parameters: {'factor': 0.8145491030154469, 'self_conf': 2.536522445230592, 'swarm_conf': 2.3178525189499113, 'version': 'inertial', 'distribution': 'gaussian', 'gravity': 1.1808081487096498, 'alpha': 0.022429910155021673}. Best is trial 1 with value: 46525.786698633114.
[I 2025-01-21 20:45:10,216] Trial 5 finished with value: 21513.4076791604 and parameters: {'factor': 0.9193196769506147, 'self_conf': 2.7783273187377064, 'swarm_conf': 2.2559442575961155, 'version': 'constriction', 'distribution': 'uniform', 'gravity': 1.1289778910326687, 'alpha': 0.0275790155209368}. Best is trial 5 with value: 21513.4076791604.
[I 2025-01-21 20:45:11,835] Trial 6 finished with value: 290492.6088062397 and parameters: {'factor': 0.3552052737500322, 'self_conf': 2.302880767299899, 'swarm_conf': 2.8804525752238703, 'version': 'inertial', 'distribution': 'levy', 'gravity': 0.7735679282809138, 'alpha': 0.04155960921592909}. Best is trial 5 with value: 21513.4076791604.
[I 2025-01-21 20:45:13,444] Trial 7 finished with value: 241756.5140976653 and parameters: {'factor': 0.7369495420042752, 'self_conf': 2.0947632173808763, 'swarm_conf': 2.08204928376547, 'version': 'inertial', 'distribution': 'gaussian', 'gravity': 1.750471453135495, 'alpha': 0.041080722462367526}. Best is trial 5 with value: 21513.4076791604.
[I 2025-01-21 20:45:15,073] Trial 8 finished with value: 218808.81641844168 and parameters: {'factor': 0.7909559769399048, 'self_conf': 2.094980216031768, 'swarm_conf': 2.2237132681994605, 'version': 'constriction', 'distribution': 'levy', 'gravity': 1.6434810225711107, 'alpha': 0.04579199242486544}. Best is trial 5 with value: 21513.4076791604.
[I 2025-01-21 20:45:16,675] Trial 9 finished with value: 197492.51924465905 and parameters: {'factor': 0.8227142349933652, 'self_conf': 2.0566906771193603, 'swarm_conf': 2.0726190103890065, 'version': 'constriction', 'distribution': 'gaussian', 'gravity': 1.2598324797778127, 'alpha': 0.04884105526438627}. Best is trial 5 with value: 21513.4076791604.
[I 2025-01-21 20:45:18,348] Trial 10 finished with value: 9775.706730478749 and parameters: {'factor': 0.9840885659156374, 'self_conf': 2.9202778340424533, 'swarm_conf': 2.612867756872756, 'version': 'constriction', 'distribution': 'uniform', 'gravity': 0.16140106059776205, 'alpha': 0.031140061102549355}. Best is trial 10 with value: 9775.706730478749.
[I 2025-01-21 20:45:19,994] Trial 11 finished with value: 7284.883402204807 and parameters: {'factor': 0.963809216774156, 'self_conf': 2.938831530173586, 'swarm_conf': 2.6376916166237345, 'version': 'constriction', 'distribution': 'uniform', 'gravity': 0.27920637826526107, 'alpha': 0.03210746367926951}. Best is trial 11 with value: 7284.883402204807.
[I 2025-01-21 20:45:21,609] Trial 12 finished with value: 6304.541901679273 and parameters: {'factor': 0.977553341042614, 'self_conf': 2.994046228388889, 'swarm_conf': 2.6600432797968936, 'version': 'constriction', 'distribution': 'uniform', 'gravity': 0.11261175385549702, 'alpha': 0.03414816860750098}. Best is trial 12 with value: 6304.541901679273.
[I 2025-01-21 20:45:23,241] Trial 13 finished with value: 1206.8445244852428 and parameters: {'factor': 0.5863885659426831, 'self_conf': 2.9993371718053026, 'swarm_conf': 2.841619495360182, 'version': 'constriction', 'distribution': 'uniform', 'gravity': 0.10237084450129527, 'alpha': 0.03351928828468992}. Best is trial 13 with value: 1206.8445244852428.
[I 2025-01-21 20:45:24,841] Trial 14 finished with value: 1038.949705721095 and parameters: {'factor': 0.5629938782343802, 'self_conf': 2.707874598548627, 'swarm_conf': 2.9573972738020493, 'version': 'constriction', 'distribution': 'uniform', 'gravity': 0.5422353857286947, 'alpha': 0.035776608103870504}. Best is trial 14 with value: 1038.949705721095.
