Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.6911845373419406, 'self_conf': 2.2929937345697518, 'swarm_conf': 2.126469820521639, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.5128970228971406, 'scale': 0.9931891391938215}
Mejor rendimiento encontrado:
96544.15440464756

Stderr:
[I 2025-01-21 21:05:06,553] A new study created in memory with name: no-name-ee93dd63-a136-4e61-9040-6e9c67743f26
[I 2025-01-21 21:05:10,154] Trial 0 finished with value: 507778.88153788063 and parameters: {'factor': 0.3753225872016278, 'self_conf': 2.7307514872057, 'swarm_conf': 2.5329383890385193, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.353251834974997, 'scale': 0.4458853121970723}. Best is trial 0 with value: 507778.88153788063.
[I 2025-01-21 21:05:11,174] Trial 1 finished with value: 253090.5741125445 and parameters: {'factor': 0.6251735229699151, 'self_conf': 2.1349766235782406, 'swarm_conf': 2.8161581022018183, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.9841768319786761, 'scale': 0.8926962087794396}. Best is trial 1 with value: 253090.5741125445.
[I 2025-01-21 21:05:12,199] Trial 2 finished with value: 1079094.5873977123 and parameters: {'factor': 0.7168766090510318, 'self_conf': 2.4455371917658475, 'swarm_conf': 2.799223980089643, 'version': 'inertial', 'distribution': 'levy', 'probability': 0.4111287206883623, 'scale': 0.772464962557956}. Best is trial 1 with value: 253090.5741125445.
[I 2025-01-21 21:05:13,184] Trial 3 finished with value: 1802765.6617945835 and parameters: {'factor': 0.7140733271175047, 'self_conf': 2.441270156563866, 'swarm_conf': 2.862859714337489, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.7892758812505252, 'scale': 1.2034946274619882}. Best is trial 1 with value: 253090.5741125445.
[I 2025-01-21 21:05:14,151] Trial 4 finished with value: 96544.15440464756 and parameters: {'factor': 0.6911845373419406, 'self_conf': 2.2929937345697518, 'swarm_conf': 2.126469820521639, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.5128970228971406, 'scale': 0.9931891391938215}. Best is trial 4 with value: 96544.15440464756.
[I 2025-01-21 21:05:15,132] Trial 5 finished with value: 159451.25363758137 and parameters: {'factor': 0.7354641266710975, 'self_conf': 2.927802971424471, 'swarm_conf': 2.6348366569514448, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.4591794187598862, 'scale': 1.4255561815030486}. Best is trial 4 with value: 96544.15440464756.
[I 2025-01-21 21:05:16,106] Trial 6 finished with value: 318028.28557953733 and parameters: {'factor': 0.1533043903825016, 'self_conf': 2.017203447642711, 'swarm_conf': 2.033274129421348, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.4529023016445639, 'scale': 1.3520529145376385}. Best is trial 4 with value: 96544.15440464756.
[I 2025-01-21 21:05:17,067] Trial 7 finished with value: 1832407.2608935055 and parameters: {'factor': 0.761206052813717, 'self_conf': 2.5753413511124204, 'swarm_conf': 2.3335017563911236, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.8355489370330664, 'scale': 1.1172885026827892}. Best is trial 4 with value: 96544.15440464756.
[I 2025-01-21 21:05:18,036] Trial 8 finished with value: 955074.297197239 and parameters: {'factor': 0.8171626154098707, 'self_conf': 2.4635813653449787, 'swarm_conf': 2.0824636929490183, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.3843804533229871, 'scale': 0.7161408110112558}. Best is trial 4 with value: 96544.15440464756.
[I 2025-01-21 21:05:18,999] Trial 9 finished with value: 118660.19672790464 and parameters: {'factor': 0.43019496392777457, 'self_conf': 2.812337801661263, 'swarm_conf': 2.3547498828225746, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.7362175963353128, 'scale': 1.1489407899377642}. Best is trial 4 with value: 96544.15440464756.
[I 2025-01-21 21:05:20,024] Trial 10 finished with value: 590469.0180314449 and parameters: {'factor': 0.8996412608204205, 'self_conf': 2.2739881502387562, 'swarm_conf': 2.2291935857526686, 'version': 'constriction', 'distribution': 'levy', 'probability': 0.6245329076899694, 'scale': 1.9022183147038203}. Best is trial 4 with value: 96544.15440464756.
[I 2025-01-21 21:05:20,992] Trial 11 finished with value: 100134.87585049692 and parameters: {'factor': 0.465158426373918, 'self_conf': 2.9195683004983417, 'swarm_conf': 2.338136559521884, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.6190954438951488, 'scale': 0.24968972516025412}. Best is trial 4 with value: 96544.15440464756.
[I 2025-01-21 21:05:21,972] Trial 12 finished with value: 175643.29522108 and parameters: {'factor': 0.4867927506454829, 'self_conf': 2.3153494949851945, 'swarm_conf': 2.2074550636123353, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.5947460072963168, 'scale': 0.10909899198417194}. Best is trial 4 with value: 96544.15440464756.
[I 2025-01-21 21:05:22,953] Trial 13 finished with value: 121072.4514908298 and parameters: {'factor': 0.30513601568394977, 'self_conf': 2.677751334464768, 'swarm_conf': 2.4232397400655072, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.5605671715102005, 'scale': 0.1521035376490325}. Best is trial 4 with value: 96544.15440464756.
[I 2025-01-21 21:05:23,957] Trial 14 finished with value: 191161.32015593187 and parameters: {'factor': 0.5866682189095311, 'self_conf': 2.988782449588527, 'swarm_conf': 2.2217297333886403, 'version': 'constriction', 'distribution': 'levy', 'probability': 0.2821866308078079, 'scale': 0.49292617844697817}. Best is trial 4 with value: 96544.15440464756.
