Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.6211520309178449, 'self_conf': 2.5489438252547485, 'swarm_conf': 2.299016823690115, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.2629160995336411, 'scale': 1.955536419496148}
Mejor rendimiento encontrado:
0.0004947447814713041

Stderr:
[I 2025-01-21 21:37:01,995] A new study created in memory with name: no-name-b508bf87-4ee6-46f0-bee1-f737b6e11120
[I 2025-01-21 21:37:04,771] Trial 0 finished with value: 182.5163035502046 and parameters: {'factor': 0.5110767050581948, 'self_conf': 2.4345577682983914, 'swarm_conf': 1.0676470466998456, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.7387322138942609, 'scale': 0.4542607921836179}. Best is trial 0 with value: 182.5163035502046.
[I 2025-01-21 21:37:05,780] Trial 1 finished with value: 0.2523317931658577 and parameters: {'factor': 0.5095564568676036, 'self_conf': 2.2028246986434454, 'swarm_conf': 1.859835183124569, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.4250543317469786, 'scale': 1.5977024211065607}. Best is trial 1 with value: 0.2523317931658577.
[I 2025-01-21 21:37:06,814] Trial 2 finished with value: 107.190832231955 and parameters: {'factor': 0.7715720453861576, 'self_conf': 1.289860528303582, 'swarm_conf': 1.580152850830376, 'version': 'constriction', 'distribution': 'levy', 'probability': 0.3257130834498273, 'scale': 1.5741699543781233}. Best is trial 1 with value: 0.2523317931658577.
[I 2025-01-21 21:37:07,864] Trial 3 finished with value: 273.06695074686405 and parameters: {'factor': 0.8824956560736819, 'self_conf': 1.5059923217325248, 'swarm_conf': 2.5884277021864115, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.6373197942471794, 'scale': 1.5890840613299582}. Best is trial 1 with value: 0.2523317931658577.
[I 2025-01-21 21:37:08,925] Trial 4 finished with value: 277.6028265824632 and parameters: {'factor': 0.7124613563224355, 'self_conf': 2.92605889729255, 'swarm_conf': 2.923319225577197, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.6398075801253948, 'scale': 1.6875173100544278}. Best is trial 1 with value: 0.2523317931658577.
[I 2025-01-21 21:37:09,951] Trial 5 finished with value: 21349.17555383271 and parameters: {'factor': 0.5849103826845784, 'self_conf': 2.8147678403472884, 'swarm_conf': 1.091864530228853, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.9265269150832058, 'scale': 0.403704588290123}. Best is trial 1 with value: 0.2523317931658577.
[I 2025-01-21 21:37:11,004] Trial 6 finished with value: 2148.705659923655 and parameters: {'factor': 0.705660389982722, 'self_conf': 1.9857613441960378, 'swarm_conf': 1.2321123234521685, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.8161966280038222, 'scale': 0.7972894467296594}. Best is trial 1 with value: 0.2523317931658577.
[I 2025-01-21 21:37:12,079] Trial 7 finished with value: 170.00066609457144 and parameters: {'factor': 0.6744612381889601, 'self_conf': 2.830671586601607, 'swarm_conf': 2.945953832549481, 'version': 'inertial', 'distribution': 'levy', 'probability': 0.6051121302479732, 'scale': 0.9088020242048788}. Best is trial 1 with value: 0.2523317931658577.
[I 2025-01-21 21:37:13,139] Trial 8 finished with value: 22.48438090794641 and parameters: {'factor': 0.8612339435995584, 'self_conf': 1.8777697550502153, 'swarm_conf': 2.5834193981608866, 'version': 'constriction', 'distribution': 'levy', 'probability': 0.7613787961310385, 'scale': 1.0536783855710108}. Best is trial 1 with value: 0.2523317931658577.
[I 2025-01-21 21:37:14,188] Trial 9 finished with value: 103.49518705474222 and parameters: {'factor': 0.5674720969425586, 'self_conf': 2.1415490413613023, 'swarm_conf': 1.3127138356187806, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.4483404097760437, 'scale': 1.117135271778324}. Best is trial 1 with value: 0.2523317931658577.
[I 2025-01-21 21:37:15,217] Trial 10 finished with value: 0.0010772616475178843 and parameters: {'factor': 0.5060861447143108, 'self_conf': 2.3922834674580855, 'swarm_conf': 1.884270016936004, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.2967592532921978, 'scale': 1.98436141311488}. Best is trial 10 with value: 0.0010772616475178843.
[I 2025-01-21 21:37:16,203] Trial 11 finished with value: 0.0005493167481208362 and parameters: {'factor': 0.5070028504202587, 'self_conf': 2.397278229061176, 'swarm_conf': 1.9876149236905405, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.32686651054361804, 'scale': 1.9759457744051048}. Best is trial 11 with value: 0.0005493167481208362.
[I 2025-01-21 21:37:17,197] Trial 12 finished with value: 0.0007528741245180876 and parameters: {'factor': 0.6066626845704295, 'self_conf': 2.518070646414343, 'swarm_conf': 2.080657635176668, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.2618705885520794, 'scale': 1.8894590656616546}. Best is trial 11 with value: 0.0005493167481208362.
[I 2025-01-21 21:37:18,187] Trial 13 finished with value: 0.0004947447814713041 and parameters: {'factor': 0.6211520309178449, 'self_conf': 2.5489438252547485, 'swarm_conf': 2.299016823690115, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.2629160995336411, 'scale': 1.955536419496148}. Best is trial 13 with value: 0.0004947447814713041.
[I 2025-01-21 21:37:19,225] Trial 14 finished with value: 54.42239336928364 and parameters: {'factor': 0.644192788760796, 'self_conf': 1.674416399214485, 'swarm_conf': 2.2292215351610705, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.4285902181385587, 'scale': 1.3040932978271338}. Best is trial 13 with value: 0.0004947447814713041.
