Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.825503423602123, 'angle': 22.550188181063472, 'sigma': 0.12673584619818834, 'factor': 0.7957879840012161, 'self_conf': 2.0, 'swarm_conf': 2.6, 'version': 'constriction', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
55.82849494829017

Stderr:
[I 2024-11-25 16:23:43,095] A new study created in memory with name: no-name-74652121-de16-40ec-9e90-efb7b20c81d0
[I 2024-11-25 16:23:46,605] Trial 0 finished with value: 119.09129878399195 and parameters: {'radius': 0.5748363018906115, 'angle': 21.03368504742199, 'sigma': 0.05052397232138783, 'factor': 0.7914644096487279, 'self_conf': 2.0, 'swarm_conf': 2.3, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 119.09129878399195.
[I 2024-11-25 16:23:47,926] Trial 1 finished with value: 79.23974549685732 and parameters: {'radius': 0.3373570070214236, 'angle': 21.544771233304083, 'sigma': 0.15289336278732737, 'factor': 0.730935884875797, 'self_conf': 2.0, 'swarm_conf': 2.6, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 1 with value: 79.23974549685732.
[I 2024-11-25 16:23:49,357] Trial 2 finished with value: 97.21853746650156 and parameters: {'radius': 0.41668674460319866, 'angle': 20.55460503798084, 'sigma': 0.07429748778911167, 'factor': 0.6568527283742116, 'self_conf': 2.5, 'swarm_conf': 2.6, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 79.23974549685732.
[I 2024-11-25 16:23:50,726] Trial 3 finished with value: 80.59339547991473 and parameters: {'radius': 0.24852511810961478, 'angle': 21.24808854525103, 'sigma': 0.03581578625890006, 'factor': 0.6312626235321803, 'self_conf': 1.5, 'swarm_conf': 2.9, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 1 with value: 79.23974549685732.
[I 2024-11-25 16:23:52,122] Trial 4 finished with value: 97.73601645788904 and parameters: {'radius': 0.2989318630300852, 'angle': 20.204034462183717, 'sigma': 0.030206216099481115, 'factor': 0.7192039983791767, 'self_conf': 1.5, 'swarm_conf': 2.3, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 79.23974549685732.
[I 2024-11-25 16:23:53,521] Trial 5 finished with value: 147.55288055292561 and parameters: {'radius': 0.8937901009522643, 'angle': 21.499643042240997, 'sigma': 0.12805997234282537, 'factor': 0.7722381503837438, 'self_conf': 1.5, 'swarm_conf': 2.6, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 1 with value: 79.23974549685732.
[I 2024-11-25 16:23:54,862] Trial 6 finished with value: 55.82849494829017 and parameters: {'radius': 0.825503423602123, 'angle': 22.550188181063472, 'sigma': 0.12673584619818834, 'factor': 0.7957879840012161, 'self_conf': 2.0, 'swarm_conf': 2.6, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 6 with value: 55.82849494829017.
[I 2024-11-25 16:23:56,105] Trial 7 finished with value: 84.5454250694674 and parameters: {'radius': 0.26958797305001453, 'angle': 24.99254111474188, 'sigma': 0.16127550592461912, 'factor': 0.6319590657517186, 'self_conf': 2.5, 'swarm_conf': 2.9, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 6 with value: 55.82849494829017.
[I 2024-11-25 16:23:57,414] Trial 8 finished with value: 80.65676871047745 and parameters: {'radius': 0.20705259443484084, 'angle': 22.500184290488757, 'sigma': 0.15757174907710084, 'factor': 0.6777382761437774, 'self_conf': 2.5, 'swarm_conf': 2.6, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 6 with value: 55.82849494829017.
[I 2024-11-25 16:23:58,736] Trial 9 finished with value: 99.62102107431215 and parameters: {'radius': 0.3701858085698277, 'angle': 20.640521724987224, 'sigma': 0.16317394096259152, 'factor': 0.7145861883658967, 'self_conf': 2.5, 'swarm_conf': 2.6, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 6 with value: 55.82849494829017.
[I 2024-11-25 16:24:00,083] Trial 10 finished with value: 103.71997545115192 and parameters: {'radius': 0.8811543244962485, 'angle': 23.21340161399654, 'sigma': 0.19818642553021876, 'factor': 0.7574391517079583, 'self_conf': 2.0, 'swarm_conf': 2.3, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 6 with value: 55.82849494829017.
[I 2024-11-25 16:24:01,407] Trial 11 finished with value: 104.08251274366499 and parameters: {'radius': 0.6171941581434406, 'angle': 22.47250366428318, 'sigma': 0.10888278946864657, 'factor': 0.7393934262455949, 'self_conf': 2.0, 'swarm_conf': 2.6, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 6 with value: 55.82849494829017.
[I 2024-11-25 16:24:02,760] Trial 12 finished with value: 100.08968528805735 and parameters: {'radius': 0.6326374264361466, 'angle': 22.180896225430494, 'sigma': 0.12678863320321543, 'factor': 0.7960723056865534, 'self_conf': 2.0, 'swarm_conf': 2.6, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 6 with value: 55.82849494829017.
[I 2024-11-25 16:24:04,068] Trial 13 finished with value: 106.32914598123205 and parameters: {'radius': 0.7595140134238699, 'angle': 23.541720414664027, 'sigma': 0.08645098495077522, 'factor': 0.6857395221110616, 'self_conf': 2.0, 'swarm_conf': 2.6, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 6 with value: 55.82849494829017.
[I 2024-11-25 16:24:05,488] Trial 14 finished with value: 59.22469358597593 and parameters: {'radius': 0.4773870508023552, 'angle': 23.486332286378637, 'sigma': 0.1952309163458602, 'factor': 0.7450784062155769, 'self_conf': 2.0, 'swarm_conf': 2.6, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 6 with value: 55.82849494829017.
