Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.5616835150289421, 'angle': 20.066460586705052, 'sigma': 0.2901149611375233, 'factor': 0.44459724144407575, 'self_conf': 3, 'swarm_conf': 2, 'version': 'constriction', 'distribution': 'levy'}
Mejor rendimiento encontrado:
54.862728839333315

Stderr:
[I 2024-11-25 16:27:52,246] A new study created in memory with name: no-name-77df4aa0-0d2d-4e30-aacf-096e4bdf9ad2
[I 2024-11-25 16:27:56,186] Trial 0 finished with value: 115.19189186572804 and parameters: {'radius': 0.7848648033348963, 'angle': 22.580057908938052, 'sigma': 0.18401796479750823, 'factor': 0.42660132293946007, 'self_conf': 1, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 115.19189186572804.
[I 2024-11-25 16:27:57,499] Trial 1 finished with value: 114.94264910549795 and parameters: {'radius': 0.7353469009424216, 'angle': 21.85642442715505, 'sigma': 0.08677087865363119, 'factor': 0.35906809505633347, 'self_conf': 2, 'swarm_conf': 1, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 1 with value: 114.94264910549795.
[I 2024-11-25 16:27:58,959] Trial 2 finished with value: 77.8072798984904 and parameters: {'radius': 0.5244185880142198, 'angle': 24.370336073947747, 'sigma': 0.49192892979729325, 'factor': 0.6174327219032562, 'self_conf': 3, 'swarm_conf': 1, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 2 with value: 77.8072798984904.
[I 2024-11-25 16:28:00,216] Trial 3 finished with value: 111.4060494894074 and parameters: {'radius': 0.6318873092764239, 'angle': 21.58372131319875, 'sigma': 0.010805109233047975, 'factor': 0.6024616277210298, 'self_conf': 2, 'swarm_conf': 1, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 2 with value: 77.8072798984904.
[I 2024-11-25 16:28:01,415] Trial 4 finished with value: 74.5412482640979 and parameters: {'radius': 0.6207582101532496, 'angle': 20.547127820133625, 'sigma': 0.4427474578926609, 'factor': 0.4702258196015804, 'self_conf': 1, 'swarm_conf': 3, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 4 with value: 74.5412482640979.
[I 2024-11-25 16:28:02,751] Trial 5 finished with value: 56.85939660437655 and parameters: {'radius': 0.577928535059704, 'angle': 22.071643268213183, 'sigma': 0.37188266658935387, 'factor': 0.35436985167396073, 'self_conf': 3, 'swarm_conf': 3, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 5 with value: 56.85939660437655.
[I 2024-11-25 16:28:04,094] Trial 6 finished with value: 102.03719394241232 and parameters: {'radius': 0.8233648350737915, 'angle': 20.672655835954863, 'sigma': 0.45251416304035585, 'factor': 0.3112265834789076, 'self_conf': 2, 'swarm_conf': 2, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 5 with value: 56.85939660437655.
[I 2024-11-25 16:28:05,354] Trial 7 finished with value: 95.43208972171674 and parameters: {'radius': 0.5854316764218042, 'angle': 20.798974364463596, 'sigma': 0.24353699405036844, 'factor': 0.5506991991082998, 'self_conf': 1, 'swarm_conf': 1, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 5 with value: 56.85939660437655.
[I 2024-11-25 16:28:06,694] Trial 8 finished with value: 69.75010316264897 and parameters: {'radius': 0.563727094872451, 'angle': 21.255962730291944, 'sigma': 0.48109310847984454, 'factor': 0.40215132543948273, 'self_conf': 1, 'swarm_conf': 1, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 5 with value: 56.85939660437655.
[I 2024-11-25 16:28:07,925] Trial 9 finished with value: 100.9663819122552 and parameters: {'radius': 0.5057036987580422, 'angle': 20.67606749726746, 'sigma': 0.022235582912359605, 'factor': 0.3095283633696615, 'self_conf': 2, 'swarm_conf': 1, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 5 with value: 56.85939660437655.
[I 2024-11-25 16:28:09,057] Trial 10 finished with value: 119.61767259300694 and parameters: {'radius': 0.6833171945744267, 'angle': 23.060583264602347, 'sigma': 0.35969950934472944, 'factor': 0.6929900512071534, 'self_conf': 3, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 5 with value: 56.85939660437655.
[I 2024-11-25 16:28:10,257] Trial 11 finished with value: 142.253790872652 and parameters: {'radius': 0.8941323549004038, 'angle': 23.50496775528517, 'sigma': 0.3481642434215638, 'factor': 0.4024304817936876, 'self_conf': 3, 'swarm_conf': 2, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 5 with value: 56.85939660437655.
[I 2024-11-25 16:28:11,358] Trial 12 finished with value: 98.51544426909284 and parameters: {'radius': 0.5672179589089371, 'angle': 21.74370492465472, 'sigma': 0.36321745630993857, 'factor': 0.39307946784068354, 'self_conf': 3, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 5 with value: 56.85939660437655.
[I 2024-11-25 16:28:12,500] Trial 13 finished with value: 121.30158686549957 and parameters: {'radius': 0.6809783394359575, 'angle': 21.506966880314135, 'sigma': 0.4032450082548351, 'factor': 0.49390005509632984, 'self_conf': 1, 'swarm_conf': 3, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 5 with value: 56.85939660437655.
[I 2024-11-25 16:28:13,610] Trial 14 finished with value: 54.862728839333315 and parameters: {'radius': 0.5616835150289421, 'angle': 20.066460586705052, 'sigma': 0.2901149611375233, 'factor': 0.44459724144407575, 'self_conf': 3, 'swarm_conf': 2, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 14 with value: 54.862728839333315.
