Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.3336275487432485, 'self_conf': 0.7440134565067905, 'swarm_conf': 1.107726912672061, 'version': 'inertial', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
43.23833079817931

Stderr:
[I 2024-11-26 08:55:24,903] A new study created in memory with name: no-name-93f8a104-5328-40a8-bd9a-658ccc8dbaf8
[I 2024-11-26 08:55:27,846] Trial 0 finished with value: 54.71616129064313 and parameters: {'factor': 0.5168897419219424, 'self_conf': 1.7845421613363424, 'swarm_conf': 1.9227822410186914, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 54.71616129064313.
[I 2024-11-26 08:55:28,622] Trial 1 finished with value: 104.79415997054929 and parameters: {'factor': 0.37040488492378865, 'self_conf': 2.8451269618568626, 'swarm_conf': 1.7727437370939683, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 54.71616129064313.
[I 2024-11-26 08:55:29,339] Trial 2 finished with value: 43.23833079817931 and parameters: {'factor': 0.3336275487432485, 'self_conf': 0.7440134565067905, 'swarm_conf': 1.107726912672061, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 2 with value: 43.23833079817931.
[I 2024-11-26 08:55:30,074] Trial 3 finished with value: 46.06754089778244 and parameters: {'factor': 0.24624491473264448, 'self_conf': 1.1734528619905278, 'swarm_conf': 1.6322752704239036, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 43.23833079817931.
[I 2024-11-26 08:55:30,763] Trial 4 finished with value: 120.27006366742151 and parameters: {'factor': 0.6315264000614259, 'self_conf': 2.0014349688018247, 'swarm_conf': 0.9117101352009855, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 2 with value: 43.23833079817931.
[I 2024-11-26 08:55:31,452] Trial 5 finished with value: 121.46412364574333 and parameters: {'factor': 0.8221365546950505, 'self_conf': 1.5735646603148048, 'swarm_conf': 0.2736795568813869, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 2 with value: 43.23833079817931.
[I 2024-11-26 08:55:32,148] Trial 6 finished with value: 117.66356274511149 and parameters: {'factor': 0.36501007538582314, 'self_conf': 0.7447682747560921, 'swarm_conf': 0.5173534463033468, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 2 with value: 43.23833079817931.
[I 2024-11-26 08:55:32,880] Trial 7 finished with value: 122.41927558149082 and parameters: {'factor': 0.22279183420794563, 'self_conf': 2.4841518409412977, 'swarm_conf': 0.6996040707350047, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 2 with value: 43.23833079817931.
[I 2024-11-26 08:55:33,576] Trial 8 finished with value: 125.43266295775804 and parameters: {'factor': 0.39379031428516387, 'self_conf': 2.0103225779843386, 'swarm_conf': 0.7102181498048195, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 2 with value: 43.23833079817931.
[I 2024-11-26 08:55:34,262] Trial 9 finished with value: 120.92961180596821 and parameters: {'factor': 0.7435526160161712, 'self_conf': 1.8753703566817028, 'swarm_conf': 1.1135103365247505, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 2 with value: 43.23833079817931.
[I 2024-11-26 08:55:34,987] Trial 10 finished with value: 132.95755625534048 and parameters: {'factor': 0.18792747240650348, 'self_conf': 0.11870393830908166, 'swarm_conf': 2.8356277144561375, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 2 with value: 43.23833079817931.
[I 2024-11-26 08:55:35,695] Trial 11 finished with value: 44.49735856766435 and parameters: {'factor': 0.10563531248908875, 'self_conf': 0.9107922079470023, 'swarm_conf': 1.4513353121246557, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 43.23833079817931.
[I 2024-11-26 08:55:36,422] Trial 12 finished with value: 50.24568357043989 and parameters: {'factor': 0.1335468238224721, 'self_conf': 0.7298183661630907, 'swarm_conf': 2.290232846082408, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 43.23833079817931.
[I 2024-11-26 08:55:37,163] Trial 13 finished with value: 45.88741568705785 and parameters: {'factor': 0.2944532092363382, 'self_conf': 0.8184412415781188, 'swarm_conf': 1.3143931405663318, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 2 with value: 43.23833079817931.
[I 2024-11-26 08:55:37,886] Trial 14 finished with value: 51.53971237109342 and parameters: {'factor': 0.10847167004733566, 'self_conf': 0.40737203972700686, 'swarm_conf': 1.339241863390286, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 2 with value: 43.23833079817931.
