Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.6708730249739832, 'angle': 1.1135992571272109, 'sigma': 0.18212605088568856, 'factor': 0.8195310429005718, 'self_conf': 2.6502435014891947, 'swarm_conf': 1.5646712941032253, 'version': 'constriction', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
28.32143121428291

Stderr:
[I 2024-11-26 09:20:13,779] A new study created in memory with name: no-name-d4b829bb-cef4-425c-9b31-ba8b8c060d3c
[I 2024-11-26 09:20:17,176] Trial 0 finished with value: 48.72818500704159 and parameters: {'radius': 0.5417248169713165, 'angle': 8.865069677450725, 'sigma': 0.23695416808242542, 'factor': 0.5222753598635591, 'self_conf': 2.204972655198817, 'swarm_conf': 2.016974012174211, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 0 with value: 48.72818500704159.
[I 2024-11-26 09:20:18,522] Trial 1 finished with value: 108.59235031700352 and parameters: {'radius': 0.8219312273764099, 'angle': 2.2945437124695127, 'sigma': 0.17530835987870247, 'factor': 0.5327565942278985, 'self_conf': 1.0034376661620414, 'swarm_conf': 0.5976856529059031, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 0 with value: 48.72818500704159.
[I 2024-11-26 09:20:19,906] Trial 2 finished with value: 102.24386376960535 and parameters: {'radius': 0.7821355054726569, 'angle': 6.988497398823597, 'sigma': 0.3121486452178987, 'factor': 0.5758011672024179, 'self_conf': 2.603410600808199, 'swarm_conf': 2.288258836538043, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 48.72818500704159.
[I 2024-11-26 09:20:21,341] Trial 3 finished with value: 28.32143121428291 and parameters: {'radius': 0.6708730249739832, 'angle': 1.1135992571272109, 'sigma': 0.18212605088568856, 'factor': 0.8195310429005718, 'self_conf': 2.6502435014891947, 'swarm_conf': 1.5646712941032253, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 3 with value: 28.32143121428291.
[I 2024-11-26 09:20:22,734] Trial 4 finished with value: 108.45944136841459 and parameters: {'radius': 0.6932947499233344, 'angle': 19.42800793416162, 'sigma': 0.4740162258749894, 'factor': 0.8172290145362927, 'self_conf': 0.7874893713799015, 'swarm_conf': 2.7863266145429226, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 3 with value: 28.32143121428291.
[I 2024-11-26 09:20:24,306] Trial 5 finished with value: 63.869448632615025 and parameters: {'radius': 0.3143674268997623, 'angle': 15.07394511783582, 'sigma': 0.43223238675914094, 'factor': 0.7333053595023495, 'self_conf': 2.609769509426187, 'swarm_conf': 1.4527879725267914, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 3 with value: 28.32143121428291.
[I 2024-11-26 09:20:25,678] Trial 6 finished with value: 79.42120696717967 and parameters: {'radius': 0.33344729534335915, 'angle': 19.19413820067168, 'sigma': 0.2818132968373433, 'factor': 0.6537330043530345, 'self_conf': 1.1635950727848883, 'swarm_conf': 2.3718601529703967, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 3 with value: 28.32143121428291.
[I 2024-11-26 09:20:27,141] Trial 7 finished with value: 71.56892599324465 and parameters: {'radius': 0.4639428513640084, 'angle': 7.43095655475034, 'sigma': 0.4993849950900293, 'factor': 0.6227517625255603, 'self_conf': 1.387464644175639, 'swarm_conf': 1.9543364992415884, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 3 with value: 28.32143121428291.
[I 2024-11-26 09:20:28,626] Trial 8 finished with value: 40.58597476588434 and parameters: {'radius': 0.6048903782741062, 'angle': 3.7483828078575474, 'sigma': 0.3495474816389364, 'factor': 0.6059033445341093, 'self_conf': 0.5307749561251449, 'swarm_conf': 0.6244187576562263, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 3 with value: 28.32143121428291.
[I 2024-11-26 09:20:29,992] Trial 9 finished with value: 67.3396628489976 and parameters: {'radius': 0.6364975970085033, 'angle': 10.865584519642477, 'sigma': 0.1810982948016273, 'factor': 0.5033432176589039, 'self_conf': 1.0723005978277418, 'swarm_conf': 2.613470973913601, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 3 with value: 28.32143121428291.
[I 2024-11-26 09:20:31,497] Trial 10 finished with value: 97.37970778247231 and parameters: {'radius': 0.11928542517951102, 'angle': 23.525681364887713, 'sigma': 0.027303747694787384, 'factor': 0.984440432954695, 'self_conf': 2.981458692380357, 'swarm_conf': 1.3376093244631986, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 3 with value: 28.32143121428291.
[I 2024-11-26 09:20:32,831] Trial 11 finished with value: 30.593297669418295 and parameters: {'radius': 0.5680751026629787, 'angle': 1.2608933632257955, 'sigma': 0.36463416997199666, 'factor': 0.8729135895119944, 'self_conf': 0.5098105105973325, 'swarm_conf': 0.5024627157019765, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 3 with value: 28.32143121428291.
[I 2024-11-26 09:20:34,163] Trial 12 finished with value: 68.60254577597709 and parameters: {'radius': 0.8904646404536916, 'angle': 1.2616200803200763, 'sigma': 0.07657023218664089, 'factor': 0.8938517017162765, 'self_conf': 1.8819742279947216, 'swarm_conf': 1.1090111598363466, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 3 with value: 28.32143121428291.
[I 2024-11-26 09:20:35,586] Trial 13 finished with value: 34.57475676034444 and parameters: {'radius': 0.4294629347325034, 'angle': 4.756570692418872, 'sigma': 0.39256480615553535, 'factor': 0.8618426731929268, 'self_conf': 1.6516081718615896, 'swarm_conf': 0.9384619616338827, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 3 with value: 28.32143121428291.
[I 2024-11-26 09:20:37,117] Trial 14 finished with value: 124.63529949577097 and parameters: {'radius': 0.7230624012840653, 'angle': 13.558398007356304, 'sigma': 0.16002355871367102, 'factor': 0.7550863264943073, 'self_conf': 1.9930048366963473, 'swarm_conf': 1.6441364771999052, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 3 with value: 28.32143121428291.
