Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.8111276220437905, 'self_conf': 2.5, 'swarm_conf': 3.0, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8016912534003404, 'angle': 22.668893620451204, 'sigma': 0.044567668778171234}
Mejor rendimiento encontrado:
41.15781589842025

Stderr:
[I 2024-11-26 09:27:26,744] A new study created in memory with name: no-name-c236d54f-e829-46a5-976e-ad89809fbe0c
[I 2024-11-26 09:27:30,901] Trial 0 finished with value: 113.79488522804068 and parameters: {'factor': 0.7490694754565063, 'self_conf': 3.0, 'swarm_conf': 2.0, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8202073675075784, 'angle': 22.48347788545673, 'sigma': 0.08025107763865955}. Best is trial 0 with value: 113.79488522804068.
[I 2024-11-26 09:27:32,324] Trial 1 finished with value: 111.80009545737416 and parameters: {'factor': 0.6729810760618797, 'self_conf': 3.0, 'swarm_conf': 2.5, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8136985420772005, 'angle': 23.765404969987873, 'sigma': 0.06920538763929696}. Best is trial 1 with value: 111.80009545737416.
[I 2024-11-26 09:27:33,823] Trial 2 finished with value: 121.88710741076532 and parameters: {'factor': 0.7330930034651759, 'self_conf': 3.0, 'swarm_conf': 2.5, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.8009879300991166, 'angle': 24.073943207637004, 'sigma': 0.08220471881061987}. Best is trial 1 with value: 111.80009545737416.
[I 2024-11-26 09:27:35,313] Trial 3 finished with value: 121.41654096250609 and parameters: {'factor': 0.8587739183997759, 'self_conf': 2.5, 'swarm_conf': 3.0, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8801669472344195, 'angle': 21.54817261576622, 'sigma': 0.061251246090181365}. Best is trial 1 with value: 111.80009545737416.
[I 2024-11-26 09:27:36,797] Trial 4 finished with value: 41.77904455156377 and parameters: {'factor': 0.785778965318133, 'self_conf': 2.5, 'swarm_conf': 3.0, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8143457549848999, 'angle': 22.248559995071034, 'sigma': 0.09348125504237792}. Best is trial 4 with value: 41.77904455156377.
[I 2024-11-26 09:27:38,278] Trial 5 finished with value: 65.6431423896384 and parameters: {'factor': 0.5214825548818002, 'self_conf': 2.5, 'swarm_conf': 3.0, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8257985996650168, 'angle': 21.04269013659172, 'sigma': 0.07821114889299079}. Best is trial 4 with value: 41.77904455156377.
[I 2024-11-26 09:27:39,710] Trial 6 finished with value: 119.25460235127392 and parameters: {'factor': 0.5010474731030713, 'self_conf': 2.0, 'swarm_conf': 2.0, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.8319823427707896, 'angle': 23.804772366298298, 'sigma': 0.07440430810862546}. Best is trial 4 with value: 41.77904455156377.
[I 2024-11-26 09:27:41,116] Trial 7 finished with value: 90.18929181247087 and parameters: {'factor': 0.587233962293, 'self_conf': 3.0, 'swarm_conf': 2.0, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8509990026388196, 'angle': 21.069812878033776, 'sigma': 0.08919094139203844}. Best is trial 4 with value: 41.77904455156377.
[I 2024-11-26 09:27:42,936] Trial 8 finished with value: 135.19084013314074 and parameters: {'factor': 0.5543991001432319, 'self_conf': 2.0, 'swarm_conf': 2.0, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8962117883298587, 'angle': 23.389364731691515, 'sigma': 0.020493070730944578}. Best is trial 4 with value: 41.77904455156377.
[I 2024-11-26 09:27:44,281] Trial 9 finished with value: 123.47513706008449 and parameters: {'factor': 0.6102767234653316, 'self_conf': 2.5, 'swarm_conf': 3.0, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.8773313650437021, 'angle': 23.966048403623006, 'sigma': 0.024646324506590486}. Best is trial 4 with value: 41.77904455156377.
[I 2024-11-26 09:27:45,773] Trial 10 finished with value: 50.27347299144514 and parameters: {'factor': 0.8819843514416944, 'self_conf': 2.5, 'swarm_conf': 3.0, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8476291721956182, 'angle': 20.14415939540126, 'sigma': 0.09982601904386532}. Best is trial 4 with value: 41.77904455156377.
[I 2024-11-26 09:27:47,507] Trial 11 finished with value: 48.25575003107869 and parameters: {'factor': 0.8950035639007313, 'self_conf': 2.5, 'swarm_conf': 3.0, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8474256386466549, 'angle': 20.178158917617356, 'sigma': 0.09891648604466557}. Best is trial 4 with value: 41.77904455156377.
[I 2024-11-26 09:27:49,215] Trial 12 finished with value: 41.79941904390241 and parameters: {'factor': 0.8116521397779253, 'self_conf': 2.5, 'swarm_conf': 3.0, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8481152673064233, 'angle': 24.935074583231515, 'sigma': 0.04497563556319479}. Best is trial 4 with value: 41.77904455156377.
[I 2024-11-26 09:27:50,719] Trial 13 finished with value: 51.268885986306934 and parameters: {'factor': 0.7990106095404419, 'self_conf': 2.5, 'swarm_conf': 3.0, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8653420597770777, 'angle': 24.758848625285168, 'sigma': 0.04107424144070846}. Best is trial 4 with value: 41.77904455156377.
[I 2024-11-26 09:27:52,310] Trial 14 finished with value: 41.15781589842025 and parameters: {'factor': 0.8111276220437905, 'self_conf': 2.5, 'swarm_conf': 3.0, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8016912534003404, 'angle': 22.668893620451204, 'sigma': 0.044567668778171234}. Best is trial 14 with value: 41.15781589842025.
