Exit code: 0
Stdout:
rep = 1, x_best = [0.01471514 0.20043454], f_best = 2.293958411512598
rep = 2, x_best = [-0.1949158   0.18466936], f_best = 2.4711865873159446
rep = 3, x_best = [-0.00562416  0.00148395], f_best = 0.1755093972847419
rep = 4, x_best = [ 0.01017614 -0.20439372], f_best = 2.0526483882884
rep = 5, x_best = [-0.19739572 -0.0094583 ], f_best = 1.5055879589100556
rep = 6, x_best = [-0.00391877  0.18819653], f_best = 1.2691008187730013
rep = 7, x_best = [ 0.01110174 -0.01364369], f_best = 1.586986214792951
rep = 8, x_best = [ 0.19398103 -0.00187662], f_best = 1.013894098938394
rep = 9, x_best = [ 0.00899947 -0.18499798], f_best = 1.860938803959364
rep = 10, x_best = [-0.01997944 -0.00287652], f_best = 2.04888245998972
rep = 11, x_best = [ 0.00083406 -0.20228818], f_best = 1.3270621753622898
rep = 12, x_best = [ 0.00821863 -0.00691333], f_best = 0.5968029249240416
rep = 13, x_best = [ 0.00076667 -0.01924548], f_best = 1.8689027750259797
rep = 14, x_best = [-0.19237057  0.00073189], f_best = 1.0176390576318894
rep = 15, x_best = [-0.2013091   0.00265551], f_best = 1.2844951484664584
rep = 16, x_best = [-0.01714663  0.00989397], f_best = 1.9957063836436788
rep = 17, x_best = [0.18091918 0.00121713], f_best = 1.9187220482108884
rep = 18, x_best = [-0.00817165  0.00103039], f_best = 0.3508190486391598
rep = 19, x_best = [-0.19239175  0.00336418], f_best = 1.0732285897372584
rep = 20, x_best = [-0.00067169 -0.01070168], f_best = 0.5921344420604129
rep = 21, x_best = [ 0.00613965 -0.18919778], f_best = 1.3266266443552013
rep = 22, x_best = [-0.00403318 -0.00210223], f_best = 0.10745510448114004
rep = 23, x_best = [-0.00862472  0.00500587], f_best = 0.5144414997470648
rep = 24, x_best = [-0.01292039 -0.00178828], f_best = 0.8724534907278567
rep = 25, x_best = [-0.01114501 -0.01576101], f_best = 1.903740252202077
rep = 26, x_best = [0.19615793 0.00091056], f_best = 1.0166858619380363
rep = 27, x_best = [-0.01708593 -0.00947531], f_best = 1.9439371867014188
rep = 28, x_best = [ 0.0016518  -0.19898355], f_best = 1.121785181019817
rep = 29, x_best = [-0.01630715 -0.00224357], f_best = 1.377892677688127
rep = 30, x_best = [-0.19003381 -0.19545081], f_best = 2.0920319467416704

Stderr:
benchmark_func.py:29: ImportWarning: `optproblems` not found! Please, install it to use the cec2005 benchmark functions
  
