Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.5692315463961984, 'angle': 5.644685214616578, 'sigma': 0.2159431653109221, 'factor': 0.07664274316356223, 'self_conf': 2.0094087459368195, 'swarm_conf': 1.6269199950411628, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.6676034222588921, 'scale': 0.3480007094724079}
Mejor rendimiento encontrado:
44.59716272567215

Stderr:
[I 2024-11-21 01:08:05,778] A new study created in memory with name: no-name-7473dd69-ef7e-4163-9be5-163b916df6e1
[I 2024-11-21 01:08:10,687] Trial 0 finished with value: 69.48436074369255 and parameters: {'radius': 0.8497625000300946, 'angle': 16.561937538819876, 'sigma': 0.05793907816737677, 'factor': 0.09708639536337767, 'self_conf': 2.3968342727199095, 'swarm_conf': 2.717198738276684, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.8994254423978273, 'scale': 0.5562740203127342}. Best is trial 0 with value: 69.48436074369255.
[I 2024-11-21 01:08:13,087] Trial 1 finished with value: 63.17296144587134 and parameters: {'radius': 0.634834134582991, 'angle': 16.742695607777335, 'sigma': 0.22770913020212585, 'factor': 0.7679520643443228, 'self_conf': 2.1359742758251157, 'swarm_conf': 2.06512233323304, 'version': 'inertial', 'distribution': 'levy', 'probability': 0.7372929521481373, 'scale': 0.3704045645954088}. Best is trial 1 with value: 63.17296144587134.
[I 2024-11-21 01:08:15,008] Trial 2 finished with value: 58.437560913958144 and parameters: {'radius': 0.5703604494602638, 'angle': 7.7776527016947705, 'sigma': 0.29015278567041075, 'factor': 0.38078277169776065, 'self_conf': 1.1217265278203827, 'swarm_conf': 1.0834995593827195, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.6585758693187495, 'scale': 0.579316713882308}. Best is trial 2 with value: 58.437560913958144.
[I 2024-11-21 01:08:17,015] Trial 3 finished with value: 85.53767197399439 and parameters: {'radius': 0.42745710858992486, 'angle': 13.669297040331855, 'sigma': 0.03620570467133162, 'factor': 0.5685376344050449, 'self_conf': 1.1121576946705207, 'swarm_conf': 1.6528688442291057, 'version': 'constriction', 'distribution': 'levy', 'probability': 0.34130323291414366, 'scale': 0.8115468685561753}. Best is trial 2 with value: 58.437560913958144.
[I 2024-11-21 01:08:18,899] Trial 4 finished with value: 55.43639174414961 and parameters: {'radius': 0.36801158443747845, 'angle': 9.13025549545208, 'sigma': 0.17830975188837814, 'factor': 0.8285237709847866, 'self_conf': 2.122829687966675, 'swarm_conf': 2.834391237070233, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.654665275015887, 'scale': 0.6006908940476475}. Best is trial 4 with value: 55.43639174414961.
[I 2024-11-21 01:08:20,812] Trial 5 finished with value: 75.61237469198913 and parameters: {'radius': 0.32883029120586243, 'angle': 18.039177967115528, 'sigma': 0.09727490836557917, 'factor': 0.14291282036163575, 'self_conf': 2.2582280376948987, 'swarm_conf': 1.1394981868131036, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.11012265738597185, 'scale': 0.4237750368096331}. Best is trial 4 with value: 55.43639174414961.
[I 2024-11-21 01:08:22,934] Trial 6 finished with value: 64.60958530864912 and parameters: {'radius': 0.48377553910392523, 'angle': 22.02610395337578, 'sigma': 0.1448402253376522, 'factor': 0.5160623190131177, 'self_conf': 1.3953156455866342, 'swarm_conf': 1.9300389666543685, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.8917525860566337, 'scale': 0.6710672385110512}. Best is trial 4 with value: 55.43639174414961.
[I 2024-11-21 01:08:24,838] Trial 7 finished with value: 44.59716272567215 and parameters: {'radius': 0.5692315463961984, 'angle': 5.644685214616578, 'sigma': 0.2159431653109221, 'factor': 0.07664274316356223, 'self_conf': 2.0094087459368195, 'swarm_conf': 1.6269199950411628, 'version': 'constriction', 'distribution': 'gaussian', 'probability': 0.6676034222588921, 'scale': 0.3480007094724079}. Best is trial 7 with value: 44.59716272567215.
[I 2024-11-21 01:08:26,750] Trial 8 finished with value: 61.478711813810826 and parameters: {'radius': 0.39973675294012223, 'angle': 19.310952518431613, 'sigma': 0.015607252432956104, 'factor': 0.5090145712259636, 'self_conf': 2.6736420756463737, 'swarm_conf': 2.4759075165198627, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.12720942453216644, 'scale': 0.116154392911964}. Best is trial 7 with value: 44.59716272567215.
[I 2024-11-21 01:08:28,705] Trial 9 finished with value: 68.33863133537898 and parameters: {'radius': 0.18787524994111032, 'angle': 14.694018523462674, 'sigma': 0.09780392126069375, 'factor': 0.3660355220603298, 'self_conf': 1.2541534271842476, 'swarm_conf': 1.5670883129144964, 'version': 'constriction', 'distribution': 'levy', 'probability': 0.2711165586773229, 'scale': 0.7358591374905266}. Best is trial 7 with value: 44.59716272567215.
[I 2024-11-21 01:08:30,526] Trial 10 finished with value: 54.265378617757165 and parameters: {'radius': 0.7897399648471557, 'angle': 2.878589956575036, 'sigma': 0.25963951274927166, 'factor': 0.03390631403282257, 'self_conf': 1.7360505749700172, 'swarm_conf': 1.4660513865096632, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.5133866777776963, 'scale': 0.2670861583473096}. Best is trial 7 with value: 44.59716272567215.
[I 2024-11-21 01:08:32,352] Trial 11 finished with value: 50.09208625125943 and parameters: {'radius': 0.769747323417023, 'angle': 1.2750076648542896, 'sigma': 0.26740573323527694, 'factor': 0.014955016949916577, 'self_conf': 1.6987049350020336, 'swarm_conf': 1.458244512434073, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.48552808999309705, 'scale': 0.2596468261098424}. Best is trial 7 with value: 44.59716272567215.
[I 2024-11-21 01:08:34,217] Trial 12 finished with value: 55.68113611973201 and parameters: {'radius': 0.6943966155240143, 'angle': 3.955930825366079, 'sigma': 0.20985269192293973, 'factor': 0.24974630741286552, 'self_conf': 1.7616124233585233, 'swarm_conf': 2.0021840187028315, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.4765459425044297, 'scale': 0.23972068658655055}. Best is trial 7 with value: 44.59716272567215.
[I 2024-11-21 01:08:36,154] Trial 13 finished with value: 61.07643231002757 and parameters: {'radius': 0.7337233785550491, 'angle': 7.124591766485962, 'sigma': 0.2957810868298367, 'factor': 0.012887169185794608, 'self_conf': 1.7284205573002338, 'swarm_conf': 1.3982650406076793, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.49973289840205737, 'scale': 0.29555649053934363}. Best is trial 7 with value: 44.59716272567215.
[I 2024-11-21 01:08:38,024] Trial 14 finished with value: 55.56279063721467 and parameters: {'radius': 0.8839792628350999, 'angle': 1.4876214716902758, 'sigma': 0.23578533982127653, 'factor': 0.2309963117858152, 'self_conf': 1.6004726542021452, 'swarm_conf': 1.7995265631845996, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.6026373721587502, 'scale': 0.11481024305423598}. Best is trial 7 with value: 44.59716272567215.
