Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.10594003512773376, 'self_conf': 1.0185631700115816, 'swarm_conf': 1.8993122840445966, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.6078021088621586, 'scale': 1.977882788427486}
Mejor rendimiento encontrado:
0.0

Stderr:
[I 2024-12-04 14:44:57,316] A new study created in memory with name: no-name-7bd728cf-8a84-4428-9926-a1186bf4cd14
[I 2024-12-04 14:44:59,780] Trial 0 finished with value: 1.09435115877233 and parameters: {'factor': 0.6641428231370092, 'self_conf': 2.27725495985122, 'swarm_conf': 1.0769627270510123, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.18369623566816617, 'scale': 0.4058312443500427}. Best is trial 0 with value: 1.09435115877233.
[I 2024-12-04 14:45:00,403] Trial 1 finished with value: 3.932143305986707 and parameters: {'factor': 0.20405478254801626, 'self_conf': 2.3709015695257722, 'swarm_conf': 1.402807905114546, 'version': 'constriction', 'distribution': 'levy', 'probability': 0.29476073004754405, 'scale': 0.4834124157341499}. Best is trial 0 with value: 1.09435115877233.
[I 2024-12-04 14:45:00,982] Trial 2 finished with value: 3.996285968810298e-09 and parameters: {'factor': 0.4309254515753897, 'self_conf': 1.250783864355604, 'swarm_conf': 1.9010097827214716, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.6847091889527561, 'scale': 1.511270371690006}. Best is trial 2 with value: 3.996285968810298e-09.
[I 2024-12-04 14:45:01,574] Trial 3 finished with value: 8.014219510243947e-09 and parameters: {'factor': 0.20893591276271417, 'self_conf': 1.6673432492114428, 'swarm_conf': 2.7560817759336116, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.2102571639300285, 'scale': 1.096402776763911}. Best is trial 2 with value: 3.996285968810298e-09.
[I 2024-12-04 14:45:02,163] Trial 4 finished with value: 0.4621885966774171 and parameters: {'factor': 0.3882964276503502, 'self_conf': 1.4183844126322478, 'swarm_conf': 2.9682514873197636, 'version': 'constriction', 'distribution': 'levy', 'probability': 0.6095200455598544, 'scale': 0.12449137978882657}. Best is trial 2 with value: 3.996285968810298e-09.
[I 2024-12-04 14:45:02,751] Trial 5 finished with value: 7.8644022583715065 and parameters: {'factor': 0.3614686767294408, 'self_conf': 2.8344518110601933, 'swarm_conf': 2.3311715338526255, 'version': 'inertial', 'distribution': 'levy', 'probability': 0.7505062485706906, 'scale': 1.0269796000877234}. Best is trial 2 with value: 3.996285968810298e-09.
[I 2024-12-04 14:45:03,326] Trial 6 finished with value: 8.389121334443459 and parameters: {'factor': 0.5207097793041326, 'self_conf': 1.266914146262143, 'swarm_conf': 2.1955964035633224, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.35663716701999004, 'scale': 1.5061180017333606}. Best is trial 2 with value: 3.996285968810298e-09.
[I 2024-12-04 14:45:03,893] Trial 7 finished with value: 13.633992936759686 and parameters: {'factor': 0.7934128948711731, 'self_conf': 2.568333747515706, 'swarm_conf': 2.921187271032351, 'version': 'inertial', 'distribution': 'gaussian', 'probability': 0.8554463009463378, 'scale': 0.5009451586639114}. Best is trial 2 with value: 3.996285968810298e-09.
[I 2024-12-04 14:45:04,476] Trial 8 finished with value: 8.294474789181738 and parameters: {'factor': 0.7126378476956553, 'self_conf': 2.053810870029817, 'swarm_conf': 1.397033691004236, 'version': 'constriction', 'distribution': 'levy', 'probability': 0.1330421030202171, 'scale': 0.8743023299461532}. Best is trial 2 with value: 3.996285968810298e-09.
[I 2024-12-04 14:45:05,066] Trial 9 finished with value: 0.6570221350573675 and parameters: {'factor': 0.63194794698594, 'self_conf': 1.384629589958212, 'swarm_conf': 2.387758523613029, 'version': 'constriction', 'distribution': 'uniform', 'probability': 0.4462208401251655, 'scale': 1.4814675222078324}. Best is trial 2 with value: 3.996285968810298e-09.
[I 2024-12-04 14:45:05,681] Trial 10 finished with value: 0.0 and parameters: {'factor': 0.10594003512773376, 'self_conf': 1.0185631700115816, 'swarm_conf': 1.8993122840445966, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.6078021088621586, 'scale': 1.977882788427486}. Best is trial 10 with value: 0.0.
[I 2024-12-04 14:45:06,283] Trial 11 finished with value: 0.0 and parameters: {'factor': 0.12141692095555379, 'self_conf': 1.053353137227356, 'swarm_conf': 1.8491674877640893, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.5976977483561479, 'scale': 1.9183807043969123}. Best is trial 10 with value: 0.0.
[I 2024-12-04 14:45:06,895] Trial 12 finished with value: 0.0 and parameters: {'factor': 0.14302505897985507, 'self_conf': 1.049558003020453, 'swarm_conf': 1.8116858630863277, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.5801876115911372, 'scale': 1.9788832350424157}. Best is trial 10 with value: 0.0.
[I 2024-12-04 14:45:07,508] Trial 13 finished with value: 0.7462192939299337 and parameters: {'factor': 0.11601174808308412, 'self_conf': 1.0027833460779403, 'swarm_conf': 1.7386242881656715, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.4751302725300861, 'scale': 1.9726168100008206}. Best is trial 10 with value: 0.0.
[I 2024-12-04 14:45:08,110] Trial 14 finished with value: 0.0 and parameters: {'factor': 0.2922994178678121, 'self_conf': 1.7114492365400849, 'swarm_conf': 1.5525615452619705, 'version': 'inertial', 'distribution': 'uniform', 'probability': 0.7779486513336628, 'scale': 1.7630223257211959}. Best is trial 10 with value: 0.0.
