Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.5687866027991356, 'self_conf': 2.7013689131301057, 'swarm_conf': 2.9267500054596463, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8231491260927382, 'angle': 22.163850448537215, 'sigma': 0.23595055230675563}
Mejor rendimiento encontrado:
0.995026795305157

Stderr:
[I 2024-12-05 12:01:37,286] A new study created in memory with name: no-name-7c5f722c-f581-4be1-b138-882d8d2de6ec
[I 2024-12-05 12:01:40,198] Trial 0 finished with value: 1.9899181480558674 and parameters: {'factor': 0.490544857413756, 'self_conf': 2.8185954727316016, 'swarm_conf': 2.804125704212403, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.5312351910511051, 'angle': 23.028610329041474, 'sigma': 0.18473425291530943}. Best is trial 0 with value: 1.9899181480558674.
[I 2024-12-05 12:01:41,038] Trial 1 finished with value: 2.4873979717309354 and parameters: {'factor': 0.8127417109396787, 'self_conf': 2.761264333921972, 'swarm_conf': 2.739905886082086, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.622087010547395, 'angle': 21.713056870374487, 'sigma': 0.10182734895469597}. Best is trial 0 with value: 1.9899181480558674.
[I 2024-12-05 12:01:41,793] Trial 2 finished with value: 1.9899181141867128 and parameters: {'factor': 0.24661329682887986, 'self_conf': 2.823630361804736, 'swarm_conf': 2.548210919915583, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.729437341539486, 'angle': 20.096003389500993, 'sigma': 0.11222168966629209}. Best is trial 2 with value: 1.9899181141867128.
[I 2024-12-05 12:01:42,536] Trial 3 finished with value: 2.4874034582562485 and parameters: {'factor': 0.8662383764131723, 'self_conf': 2.785325038429548, 'swarm_conf': 2.7333138756960547, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.6935711005235257, 'angle': 24.443714072905895, 'sigma': 0.2716368568840953}. Best is trial 2 with value: 1.9899181141867128.
[I 2024-12-05 12:01:43,323] Trial 4 finished with value: 1.9903997911433402 and parameters: {'factor': 0.5402212960143099, 'self_conf': 2.867276317400111, 'swarm_conf': 2.918407315881621, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7419598229026974, 'angle': 23.939577240329484, 'sigma': 0.28933855579309314}. Best is trial 2 with value: 1.9899181141867128.
[I 2024-12-05 12:01:44,064] Trial 5 finished with value: 1.7817486678465357 and parameters: {'factor': 0.4884576537161534, 'self_conf': 2.7059167599952922, 'swarm_conf': 2.9122176405461304, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8455249378883843, 'angle': 21.95443414938879, 'sigma': 0.11144972436124656}. Best is trial 5 with value: 1.7817486678465357.
[I 2024-12-05 12:01:44,824] Trial 6 finished with value: 1.9902982741957675 and parameters: {'factor': 0.4204082634811882, 'self_conf': 2.8037787354098054, 'swarm_conf': 2.8435642697785446, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.5880470903028889, 'angle': 21.04273969519046, 'sigma': 0.15647992844501152}. Best is trial 5 with value: 1.7817486678465357.
[I 2024-12-05 12:01:45,565] Trial 7 finished with value: 1.9897144275917338 and parameters: {'factor': 0.2933832194895995, 'self_conf': 2.631828633874413, 'swarm_conf': 2.9432203499541436, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8226740249331432, 'angle': 24.77095949745563, 'sigma': 0.27755528137521374}. Best is trial 5 with value: 1.7817486678465357.
[I 2024-12-05 12:01:46,314] Trial 8 finished with value: 2.4875567640077376 and parameters: {'factor': 0.3482744700482873, 'self_conf': 2.966588466079058, 'swarm_conf': 2.5541880528711807, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7008532019311959, 'angle': 20.111152923095702, 'sigma': 0.13422059308993042}. Best is trial 5 with value: 1.7817486678465357.
[I 2024-12-05 12:01:47,064] Trial 9 finished with value: 2.9848771712791375 and parameters: {'factor': 0.7346997463610743, 'self_conf': 2.6223737942945857, 'swarm_conf': 2.768639606631659, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.72310560773448, 'angle': 21.519508291364044, 'sigma': 0.27852992250665415}. Best is trial 5 with value: 1.7817486678465357.
[I 2024-12-05 12:01:47,768] Trial 10 finished with value: 1.865377912466406 and parameters: {'factor': 0.1173784224376922, 'self_conf': 2.701844676766379, 'swarm_conf': 2.992163590807857, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8899219383590425, 'angle': 22.81929898351441, 'sigma': 0.2273524752389467}. Best is trial 5 with value: 1.7817486678465357.
[I 2024-12-05 12:01:48,491] Trial 11 finished with value: 1.750097489657196 and parameters: {'factor': 0.10083068306232668, 'self_conf': 2.7015302421962692, 'swarm_conf': 2.9936354056095658, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.890903803552191, 'angle': 22.777722270198378, 'sigma': 0.22727308865663137}. Best is trial 11 with value: 1.750097489657196.
[I 2024-12-05 12:01:49,199] Trial 12 finished with value: 2.0049464964974693 and parameters: {'factor': 0.6386286833931034, 'self_conf': 2.5532800486380394, 'swarm_conf': 2.8825808454507302, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8883008976192803, 'angle': 22.276153149149145, 'sigma': 0.22524054041719577}. Best is trial 11 with value: 1.750097489657196.
