Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.5700375780361401, 'angle': 16.705688433669955, 'sigma': 0.19638970716681087, 'factor': 0.10290994378070435, 'self_conf': 1.76, 'swarm_conf': 1.85, 'version': 'constriction', 'distribution': 'gaussian'}
Mejor rendimiento encontrado:
0.6257286814258238

Stderr:
[I 2024-12-05 12:10:30,125] A new study created in memory with name: no-name-e9d4e1a1-0d21-4308-9def-1945e9dcf746
[I 2024-12-05 12:10:32,567] Trial 0 finished with value: 3.0518958072466535 and parameters: {'radius': 0.43240174020367333, 'angle': 10.118462738640972, 'sigma': 0.11503934614462487, 'factor': 0.3824628881248642, 'self_conf': 1.25, 'swarm_conf': 2.34, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 0 with value: 3.0518958072466535.
[I 2024-12-05 12:10:33,324] Trial 1 finished with value: 0.6257286814258238 and parameters: {'radius': 0.5700375780361401, 'angle': 16.705688433669955, 'sigma': 0.19638970716681087, 'factor': 0.10290994378070435, 'self_conf': 1.76, 'swarm_conf': 1.85, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 1 with value: 0.6257286814258238.
[I 2024-12-05 12:10:34,068] Trial 2 finished with value: 2.9742064510600734 and parameters: {'radius': 0.5301043880249517, 'angle': 8.859996139713948, 'sigma': 0.11764660973164665, 'factor': 0.4545879698151807, 'self_conf': 1.76, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 1 with value: 0.6257286814258238.
[I 2024-12-05 12:10:34,816] Trial 3 finished with value: 2.0545221627109864 and parameters: {'radius': 0.58960462486487, 'angle': 9.071827058562247, 'sigma': 0.15498489057323075, 'factor': 0.8140316850952658, 'self_conf': 1.54, 'swarm_conf': 2.56, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 0.6257286814258238.
[I 2024-12-05 12:10:35,571] Trial 4 finished with value: 2.639894972027135 and parameters: {'radius': 0.5304507060208892, 'angle': 5.100064500017403, 'sigma': 0.051688824505463624, 'factor': 0.8892002301073436, 'self_conf': 1.76, 'swarm_conf': 2.34, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 1 with value: 0.6257286814258238.
[I 2024-12-05 12:10:36,319] Trial 5 finished with value: 2.9613901112760352 and parameters: {'radius': 0.26527323904117406, 'angle': 15.676465219600203, 'sigma': 0.01000467160986292, 'factor': 0.8958822708603826, 'self_conf': 1.76, 'swarm_conf': 2.56, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 0.6257286814258238.
[I 2024-12-05 12:10:37,300] Trial 6 finished with value: 4.362976519517263 and parameters: {'radius': 0.19478414073365827, 'angle': 18.659846019709562, 'sigma': 0.021615676114582233, 'factor': 0.7154193774719786, 'self_conf': 1.54, 'swarm_conf': 2.34, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 1 with value: 0.6257286814258238.
[I 2024-12-05 12:10:38,128] Trial 7 finished with value: 0.6911715833549748 and parameters: {'radius': 0.8289373712373103, 'angle': 15.612995431775099, 'sigma': 0.1373900697058375, 'factor': 0.19525957958713233, 'self_conf': 1.54, 'swarm_conf': 2.56, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 1 with value: 0.6257286814258238.
[I 2024-12-05 12:10:38,901] Trial 8 finished with value: 1.9067851941697587 and parameters: {'radius': 0.6691425712598896, 'angle': 18.942797111094766, 'sigma': 0.11103013066591713, 'factor': 0.6381618180775083, 'self_conf': 1.54, 'swarm_conf': 1.85, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 1 with value: 0.6257286814258238.
[I 2024-12-05 12:10:39,674] Trial 9 finished with value: 1.2434370436746933 and parameters: {'radius': 0.537892674178603, 'angle': 16.99931115573242, 'sigma': 0.1872533516302794, 'factor': 0.5891127901218348, 'self_conf': 1.54, 'swarm_conf': 1.85, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 1 with value: 0.6257286814258238.
[I 2024-12-05 12:10:40,420] Trial 10 finished with value: 1.9480503096760895 and parameters: {'radius': 0.8739838413123993, 'angle': 23.85624475808263, 'sigma': 0.275687194745345, 'factor': 0.13313395180465618, 'self_conf': 1.25, 'swarm_conf': 1.85, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 1 with value: 0.6257286814258238.
