Exit code: 0
Stdout:
rep = 1, x_best = [-0.18950725 -0.0012315  -0.00742121], f_best = 1.4082792226863958
rep = 2, x_best = [-1.94408601e-01 -3.25208127e-04 -9.82398163e-05], f_best = 0.9955931646175813
rep = 3, x_best = [-1.94260659e-01 -4.85642317e-05  1.95302336e-05], f_best = 0.994996780015935
rep = 4, x_best = [-1.94372290e-01 -1.34083261e-05 -1.51001294e-05], f_best = 0.9949714400219918
rep = 5, x_best = [-2.64899833e-04 -8.70632365e-05  2.53862036e-06], f_best = 0.0004043980479195852
rep = 6, x_best = [ 3.20156231e-05  1.43904474e-05 -2.39783983e-05], f_best = 9.397970870850259e-06
rep = 7, x_best = [-4.15753787e-06  1.88101546e-05  5.24433888e-06], f_best = 2.073063406271558e-06
rep = 8, x_best = [6.35473724e-07 8.57851755e-06 1.61909785e-05], f_best = 1.7481865874913183e-06
rep = 9, x_best = [ 8.31426538e-06 -6.70672028e-06  7.58187530e-06], f_best = 8.924032570689633e-07
rep = 10, x_best = [ 8.31426538e-06 -6.70672028e-06  7.58187530e-06], f_best = 8.924032570689633e-07
rep = 11, x_best = [ 8.31426538e-06 -6.70672028e-06  7.58187530e-06], f_best = 8.924032570689633e-07
rep = 12, x_best = [ 8.31426538e-06 -6.70672028e-06  7.58187530e-06], f_best = 8.924032570689633e-07
rep = 13, x_best = [ 8.31426538e-06 -6.70672028e-06  7.58187530e-06], f_best = 8.924032570689633e-07
rep = 14, x_best = [ 9.74570559e-06 -3.37485000e-06  7.47167053e-06], f_best = 8.435284257757303e-07
rep = 15, x_best = [ 9.74570559e-06 -3.37485000e-06  7.47167053e-06], f_best = 8.435284257757303e-07
rep = 16, x_best = [-1.55650571e-06  9.08655374e-06  4.63689126e-06], f_best = 5.538201222066164e-07
rep = 17, x_best = [-1.55650571e-06  9.08655374e-06  4.63689126e-06], f_best = 5.538201222066164e-07
rep = 18, x_best = [ 2.20662314e-07 -1.87521102e-06  7.80217476e-06], f_best = 3.351300179588179e-07
rep = 19, x_best = [ 2.20662314e-07 -1.87521102e-06  7.80217476e-06], f_best = 3.351300179588179e-07
rep = 20, x_best = [ 2.20662314e-07 -1.87521102e-06  7.80217476e-06], f_best = 3.351300179588179e-07
rep = 21, x_best = [ 2.20662314e-07 -1.87521102e-06  7.80217476e-06], f_best = 3.351300179588179e-07
rep = 22, x_best = [-9.86296488e-08 -3.61296685e-06 -5.72468337e-07], f_best = 6.964285148569616e-08
rep = 23, x_best = [-9.86296488e-08 -3.61296685e-06 -5.72468337e-07], f_best = 6.964285148569616e-08
rep = 24, x_best = [-9.86296488e-08 -3.61296685e-06 -5.72468337e-07], f_best = 6.964285148569616e-08
rep = 25, x_best = [ 1.22350693e-06  1.22845671e-06 -1.87454621e-06], f_best = 3.3908747809618944e-08
rep = 26, x_best = [ 1.22350693e-06  1.22845671e-06 -1.87454621e-06], f_best = 3.3908747809618944e-08
rep = 27, x_best = [ 1.22350693e-06  1.22845671e-06 -1.87454621e-06], f_best = 3.3908747809618944e-08
rep = 28, x_best = [ 1.22350693e-06  1.22845671e-06 -1.87454621e-06], f_best = 3.3908747809618944e-08
rep = 29, x_best = [ 1.22350693e-06  1.22845671e-06 -1.87454621e-06], f_best = 3.3908747809618944e-08
rep = 30, x_best = [ 1.22350693e-06  1.22845671e-06 -1.87454621e-06], f_best = 3.3908747809618944e-08

Stderr:
