Exit code: 0
Stdout:
rep = 1, x_best = [0.0080547  0.0008254  0.00946441], f_best = 0.8013690329484078
rep = 2, x_best = [ 5.76089736e-05 -1.76639584e-04  2.65478498e-05], f_best = 0.000183195908100231
rep = 3, x_best = [ 1.07185502e-05 -9.66693197e-06 -2.44319012e-06], f_best = 1.1145479064111896e-06
rep = 4, x_best = [-6.27843896e-06  4.51597833e-06 -1.56767682e-06], f_best = 3.2385185377847847e-07
rep = 5, x_best = [-6.27843896e-06  4.51597833e-06 -1.56767682e-06], f_best = 3.2385185377847847e-07
rep = 6, x_best = [ 2.51511784e-06 -5.68533550e-06 -1.12885133e-06], f_best = 2.0762957575470864e-07
rep = 7, x_best = [-3.92564429e-06  5.30985236e-07 -2.86034100e-06], f_best = 1.2416314731922284e-07
rep = 8, x_best = [-3.92564429e-06  5.30985236e-07 -2.86034100e-06], f_best = 1.2416314731922284e-07
rep = 9, x_best = [-3.92564429e-06  5.30985236e-07 -2.86034100e-06], f_best = 1.2416314731922284e-07
rep = 10, x_best = [-3.92564429e-06  5.30985236e-07 -2.86034100e-06], f_best = 1.2416314731922284e-07
rep = 11, x_best = [ 3.36507758e-06  2.90148211e-06 -1.44903945e-07], f_best = 1.0278380102590745e-07
rep = 12, x_best = [-3.68012363e-06 -4.14501148e-07  1.24142332e-06], f_best = 7.934364276707129e-08
rep = 13, x_best = [ 5.74589774e-07 -2.26525680e-06  1.66506535e-06], f_best = 4.282272669797749e-08
rep = 14, x_best = [ 1.24589525e-06 -6.23255084e-07 -1.77272538e-06], f_best = 2.6436644873228943e-08
rep = 15, x_best = [ 1.24589525e-06 -6.23255084e-07 -1.77272538e-06], f_best = 2.6436644873228943e-08
rep = 16, x_best = [ 1.24589525e-06 -6.23255084e-07 -1.77272538e-06], f_best = 2.6436644873228943e-08
rep = 17, x_best = [ 1.24589525e-06 -6.23255084e-07 -1.77272538e-06], f_best = 2.6436644873228943e-08
rep = 18, x_best = [ 1.52210227e-06  1.63771432e-06 -1.70048969e-07], f_best = 2.6148335052766924e-08
rep = 19, x_best = [ 1.52210227e-06  1.63771432e-06 -1.70048969e-07], f_best = 2.6148335052766924e-08
rep = 20, x_best = [ 1.52210227e-06  1.63771432e-06 -1.70048969e-07], f_best = 2.6148335052766924e-08
rep = 21, x_best = [ 1.52210227e-06  1.63771432e-06 -1.70048969e-07], f_best = 2.6148335052766924e-08
rep = 22, x_best = [ 1.52210227e-06  1.63771432e-06 -1.70048969e-07], f_best = 2.6148335052766924e-08
rep = 23, x_best = [ 1.52210227e-06  1.63771432e-06 -1.70048969e-07], f_best = 2.6148335052766924e-08
rep = 24, x_best = [ 1.52210227e-06  1.63771432e-06 -1.70048969e-07], f_best = 2.6148335052766924e-08
rep = 25, x_best = [ 1.52210227e-06  1.63771432e-06 -1.70048969e-07], f_best = 2.6148335052766924e-08
rep = 26, x_best = [ 1.52210227e-06  1.63771432e-06 -1.70048969e-07], f_best = 2.6148335052766924e-08
rep = 27, x_best = [ 1.52210227e-06  1.63771432e-06 -1.70048969e-07], f_best = 2.6148335052766924e-08
rep = 28, x_best = [-2.27739512e-07 -6.26681893e-07  1.49696091e-06], f_best = 1.3966491962946748e-08
rep = 29, x_best = [-2.27739512e-07 -6.26681893e-07  1.49696091e-06], f_best = 1.3966491962946748e-08
rep = 30, x_best = [-2.27739512e-07 -6.26681893e-07  1.49696091e-06], f_best = 1.3966491962946748e-08

Stderr:
