Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'probability': 0.7914567584180503, 'scale': 1.48695186816469, 'distribution': 'uniform', 'factor': 0.7656656910415142, 'self_conf': 1.7433362198228672, 'swarm_conf': 1.786089216430757, 'version': 'constriction', 'radius': 0.2027088808813204, 'angle': 22.762100463147284, 'sigma': 0.10704473738225637}
Mejor rendimiento encontrado:
1.8993528458539632

Stderr:
[I 2024-12-22 18:25:25,447] A new study created in memory with name: no-name-72e3e183-3220-45bc-be04-694b468d1c47
[I 2024-12-22 18:25:27,384] Trial 0 finished with value: 2.0099891625045894 and parameters: {'probability': 0.8212272202128847, 'scale': 0.31975479454225536, 'distribution': 'uniform', 'factor': 0.918808262084289, 'self_conf': 2.6185607053363924, 'swarm_conf': 1.4906808276480228, 'version': 'inertial', 'radius': 0.22860547698097813, 'angle': 22.0410501148731, 'sigma': 0.035517006712685255}. Best is trial 0 with value: 2.0099891625045894.
[I 2024-12-22 18:25:27,797] Trial 1 finished with value: 4.940309377733112 and parameters: {'probability': 0.9775118741950306, 'scale': 0.8938094851538219, 'distribution': 'uniform', 'factor': 0.8355763574757129, 'self_conf': 2.1851229756806982, 'swarm_conf': 2.441502655219038, 'version': 'inertial', 'radius': 0.5011807120814076, 'angle': 21.13972963186673, 'sigma': 0.19276683271888567}. Best is trial 0 with value: 2.0099891625045894.
[I 2024-12-22 18:25:28,180] Trial 2 finished with value: 4.434124044120566 and parameters: {'probability': 0.9959406727041968, 'scale': 1.2616051621935482, 'distribution': 'uniform', 'factor': 0.7490516254607604, 'self_conf': 1.4637769883308973, 'swarm_conf': 1.6144911241568454, 'version': 'constriction', 'radius': 0.49351284791075956, 'angle': 23.399217384656975, 'sigma': 0.19188688579269245}. Best is trial 0 with value: 2.0099891625045894.
[I 2024-12-22 18:25:28,557] Trial 3 finished with value: 5.472974353762278 and parameters: {'probability': 0.5961332214380849, 'scale': 1.159588338162508, 'distribution': 'gaussian', 'factor': 0.9627711717116931, 'self_conf': 2.4864019787349143, 'swarm_conf': 1.4644402570112383, 'version': 'inertial', 'radius': 0.6387668088379104, 'angle': 24.518689132837345, 'sigma': 0.1424037329585214}. Best is trial 0 with value: 2.0099891625045894.
[I 2024-12-22 18:25:28,927] Trial 4 finished with value: 2.2156297336924586 and parameters: {'probability': 0.583986808328719, 'scale': 0.12322544416860229, 'distribution': 'uniform', 'factor': 0.6479860777371533, 'self_conf': 2.6514216189024813, 'swarm_conf': 2.376694441247052, 'version': 'constriction', 'radius': 0.1635371209305485, 'angle': 20.065144470349434, 'sigma': 0.1632340469649936}. Best is trial 0 with value: 2.0099891625045894.
[I 2024-12-22 18:25:29,287] Trial 5 finished with value: 4.52120403772704 and parameters: {'probability': 0.7266200718301565, 'scale': 1.6911706867149618, 'distribution': 'gaussian', 'factor': 0.5357627196017778, 'self_conf': 2.8039708722465573, 'swarm_conf': 2.6328137119376103, 'version': 'inertial', 'radius': 0.5062927670392509, 'angle': 21.363606694471738, 'sigma': 0.14159315468750927}. Best is trial 0 with value: 2.0099891625045894.
[I 2024-12-22 18:25:29,654] Trial 6 finished with value: 2.015124616194667 and parameters: {'probability': 0.5721584656631309, 'scale': 0.4350407707573527, 'distribution': 'uniform', 'factor': 0.6876381323226516, 'self_conf': 2.266185284691547, 'swarm_conf': 2.324539289890075, 'version': 'constriction', 'radius': 0.13780087839636615, 'angle': 21.07064810358061, 'sigma': 0.17735221130230455}. Best is trial 0 with value: 2.0099891625045894.
[I 2024-12-22 18:25:30,019] Trial 7 finished with value: 5.3564440554567945 and parameters: {'probability': 0.6691105199994702, 'scale': 0.3106830985052451, 'distribution': 'gaussian', 'factor': 0.7021932266559714, 'self_conf': 2.742618645548271, 'swarm_conf': 2.860200115712554, 'version': 'constriction', 'radius': 0.7043037280519374, 'angle': 23.683814224723175, 'sigma': 0.054759923752045116}. Best is trial 0 with value: 2.0099891625045894.
[I 2024-12-22 18:25:30,396] Trial 8 finished with value: 3.4021760646002805 and parameters: {'probability': 0.7055603790193727, 'scale': 1.0201039583463019, 'distribution': 'uniform', 'factor': 0.8211426664141614, 'self_conf': 1.2288899518805718, 'swarm_conf': 1.5325557100088536, 'version': 'constriction', 'radius': 0.30544105882239353, 'angle': 20.55794930151453, 'sigma': 0.09420253000338218}. Best is trial 0 with value: 2.0099891625045894.
[I 2024-12-22 18:25:30,765] Trial 9 finished with value: 6.164141577736131 and parameters: {'probability': 0.937562218409622, 'scale': 0.2539861713109371, 'distribution': 'gaussian', 'factor': 0.8522084990462726, 'self_conf': 2.926024054204739, 'swarm_conf': 2.721979145565565, 'version': 'inertial', 'radius': 0.685770137929738, 'angle': 23.66984710756276, 'sigma': 0.10921865130534036}. Best is trial 0 with value: 2.0099891625045894.
[I 2024-12-22 18:25:31,135] Trial 10 finished with value: 3.12416146366749 and parameters: {'probability': 0.8717232240240504, 'scale': 0.6073333076346041, 'distribution': 'uniform', 'factor': 0.9775549557508441, 'self_conf': 1.7033596554763002, 'swarm_conf': 1.0433815315460417, 'version': 'inertial', 'radius': 0.2877918979091249, 'angle': 22.657806696648553, 'sigma': 0.013649258091812916}. Best is trial 0 with value: 2.0099891625045894.
[I 2024-12-22 18:25:31,507] Trial 11 finished with value: 2.511963154735631 and parameters: {'probability': 0.5013749386453967, 'scale': 0.6542497624618433, 'distribution': 'uniform', 'factor': 0.5626015250495638, 'self_conf': 2.2204115715353265, 'swarm_conf': 2.0394992901299918, 'version': 'constriction', 'radius': 0.10022178074236168, 'angle': 21.908056349509444, 'sigma': 0.02260578763045249}. Best is trial 0 with value: 2.0099891625045894.
[I 2024-12-22 18:25:31,882] Trial 12 finished with value: 2.890510695851887 and parameters: {'probability': 0.8150624554352104, 'scale': 0.5222979222360524, 'distribution': 'uniform', 'factor': 0.6464009928989731, 'self_conf': 2.0048148060203963, 'swarm_conf': 2.0670680199984104, 'version': 'constriction', 'radius': 0.2634728323373799, 'angle': 22.267749857922617, 'sigma': 0.0692016910330348}. Best is trial 0 with value: 2.0099891625045894.
[I 2024-12-22 18:25:32,258] Trial 13 finished with value: 6.559068845642659 and parameters: {'probability': 0.8265362137006592, 'scale': 0.4905419952395891, 'distribution': 'uniform', 'factor': 0.9135229018090641, 'self_conf': 2.4006278627533986, 'swarm_conf': 1.116554336891886, 'version': 'inertial', 'radius': 0.8530270393327407, 'angle': 21.418295018753884, 'sigma': 0.054965719132883714}. Best is trial 0 with value: 2.0099891625045894.
