Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.39464066818068844, 'distribution': 'uniform', 'gravity': 0.1465837371395332, 'alpha': 0.5001000792133685, 'beta': 2.494907619499824, 'dt': 0.843324523849551, 'expression': 'rand-to-best-and-current', 'factor': 2.6522523571867405}
Mejor rendimiento encontrado:
4.847149696908226

Stderr:
[I 2024-12-22 18:51:02,938] A new study created in memory with name: no-name-10075a51-f247-4b58-bf4c-b3638ef40311
[I 2024-12-22 18:51:06,449] Trial 0 finished with value: 8.971943722760733 and parameters: {'scale': 0.4279640574213739, 'distribution': 'uniform', 'gravity': 0.2450954591546059, 'alpha': 0.8211797482246304, 'beta': 2.471703467905996, 'dt': 0.8783471719866482, 'expression': 'rand-to-best-and-current', 'factor': 2.172056177767992}. Best is trial 0 with value: 8.971943722760733.
[I 2024-12-22 18:51:07,055] Trial 1 finished with value: 13.490527328580052 and parameters: {'scale': 0.4074717594811884, 'distribution': 'uniform', 'gravity': 0.3735158104098723, 'alpha': 0.09379111978799665, 'beta': 2.228627349993695, 'dt': 0.6174145326152656, 'expression': 'rand-to-best-and-current', 'factor': 2.1000752449285436}. Best is trial 0 with value: 8.971943722760733.
[I 2024-12-22 18:51:07,608] Trial 2 finished with value: 16.19016355938008 and parameters: {'scale': 0.7287909930927012, 'distribution': 'uniform', 'gravity': 0.07475607715651268, 'alpha': 0.4402687203029572, 'beta': 2.264486138775978, 'dt': 0.6069164149840217, 'expression': 'rand-to-best-and-current', 'factor': 2.1721048496766193}. Best is trial 0 with value: 8.971943722760733.
[I 2024-12-22 18:51:08,108] Trial 3 finished with value: 12.509859186327978 and parameters: {'scale': 0.7782275217754704, 'distribution': 'uniform', 'gravity': 0.04823386550286787, 'alpha': 0.29565775939223005, 'beta': 2.993281614765574, 'dt': 0.8395152222625706, 'expression': 'rand-to-best-and-current', 'factor': 2.89671895783553}. Best is trial 0 with value: 8.971943722760733.
[I 2024-12-22 18:51:08,565] Trial 4 finished with value: 13.321264457164272 and parameters: {'scale': 0.6831380570610064, 'distribution': 'uniform', 'gravity': 0.8569223994726924, 'alpha': 0.685632827467295, 'beta': 2.819680309133844, 'dt': 0.9258196387594615, 'expression': 'rand-to-best-and-current', 'factor': 2.9970535326329704}. Best is trial 0 with value: 8.971943722760733.
[I 2024-12-22 18:51:09,053] Trial 5 finished with value: 8.848624201659423 and parameters: {'scale': 0.6187718885720874, 'distribution': 'uniform', 'gravity': 0.49795035053451303, 'alpha': 0.14691765276407934, 'beta': 2.805496484850309, 'dt': 0.6690524680546831, 'expression': 'rand-to-best-and-current', 'factor': 2.2723291119731166}. Best is trial 5 with value: 8.848624201659423.
[I 2024-12-22 18:51:09,523] Trial 6 finished with value: 4.847149696908226 and parameters: {'scale': 0.39464066818068844, 'distribution': 'uniform', 'gravity': 0.1465837371395332, 'alpha': 0.5001000792133685, 'beta': 2.494907619499824, 'dt': 0.843324523849551, 'expression': 'rand-to-best-and-current', 'factor': 2.6522523571867405}. Best is trial 6 with value: 4.847149696908226.
[I 2024-12-22 18:51:09,992] Trial 7 finished with value: 6.150656993712446 and parameters: {'scale': 0.4992369339564148, 'distribution': 'uniform', 'gravity': 0.3778025856687145, 'alpha': 0.7023156610135715, 'beta': 2.4301769967177704, 'dt': 0.5163230556700703, 'expression': 'rand-to-best-and-current', 'factor': 1.5898264987715702}. Best is trial 6 with value: 4.847149696908226.
[I 2024-12-22 18:51:10,466] Trial 8 finished with value: 9.47173359773429 and parameters: {'scale': 0.15035859652825964, 'distribution': 'uniform', 'gravity': 0.7151363889502043, 'alpha': 0.6093252082436829, 'beta': 2.194269001604295, 'dt': 0.6934293677956755, 'expression': 'rand-to-best-and-current', 'factor': 2.8812153036481183}. Best is trial 6 with value: 4.847149696908226.
[I 2024-12-22 18:51:10,939] Trial 9 finished with value: 9.32535614695038 and parameters: {'scale': 0.33250385286849227, 'distribution': 'uniform', 'gravity': 0.3785572389335173, 'alpha': 0.7071385935883392, 'beta': 2.3023092261596148, 'dt': 0.9538625448790494, 'expression': 'rand-to-best-and-current', 'factor': 2.2440269060533082}. Best is trial 6 with value: 4.847149696908226.
[I 2024-12-22 18:51:11,411] Trial 10 finished with value: 6.403054979299748 and parameters: {'scale': 0.8966612768821427, 'distribution': 'uniform', 'gravity': 0.19613816275822932, 'alpha': 0.45864770854441295, 'beta': 2.003751472114284, 'dt': 0.7838972657866143, 'expression': 'rand-to-best-and-current', 'factor': 2.5816176115652953}. Best is trial 6 with value: 4.847149696908226.
