Exit code: 0
Stdout:
rep = 1, x_best = [ 0.00306251 -0.01163305 -0.19586278], f_best = 1.7516163029404233
rep = 2, x_best = [ 0.00306251 -0.01163305 -0.19586278], f_best = 1.7516163029404233
rep = 3, x_best = [ 0.00596788  0.013567   -0.00449822], f_best = 1.231950982493231
rep = 4, x_best = [ 0.00596788  0.013567   -0.00449822], f_best = 1.231950982493231
rep = 5, x_best = [ 0.00596788  0.013567   -0.00449822], f_best = 1.231950982493231
rep = 6, x_best = [ 0.00596788  0.013567   -0.00449822], f_best = 1.231950982493231
rep = 7, x_best = [ 0.00596788  0.013567   -0.00449822], f_best = 1.231950982493231
rep = 8, x_best = [ 0.00596788  0.013567   -0.00449822], f_best = 1.231950982493231
rep = 9, x_best = [ 0.00596788  0.013567   -0.00449822], f_best = 1.231950982493231
rep = 10, x_best = [ 0.00596788  0.013567   -0.00449822], f_best = 1.231950982493231
rep = 11, x_best = [ 0.00596788  0.013567   -0.00449822], f_best = 1.231950982493231
rep = 12, x_best = [ 0.00596788  0.013567   -0.00449822], f_best = 1.231950982493231
rep = 13, x_best = [ 0.00596788  0.013567   -0.00449822], f_best = 1.231950982493231
rep = 14, x_best = [ 0.00596788  0.013567   -0.00449822], f_best = 1.231950982493231
rep = 15, x_best = [ 0.00596788  0.013567   -0.00449822], f_best = 1.231950982493231
rep = 16, x_best = [ 0.00596788  0.013567   -0.00449822], f_best = 1.231950982493231
rep = 17, x_best = [ 0.00596788  0.013567   -0.00449822], f_best = 1.231950982493231
rep = 18, x_best = [ 0.00596788  0.013567   -0.00449822], f_best = 1.231950982493231
rep = 19, x_best = [ 0.00596788  0.013567   -0.00449822], f_best = 1.231950982493231
rep = 20, x_best = [ 0.00045803 -0.00538916  0.01301407], f_best = 1.0198612901605806
rep = 21, x_best = [ 0.00045803 -0.00538916  0.01301407], f_best = 1.0198612901605806
rep = 22, x_best = [ 0.00045803 -0.00538916  0.01301407], f_best = 1.0198612901605806
rep = 23, x_best = [ 0.00045803 -0.00538916  0.01301407], f_best = 1.0198612901605806
rep = 24, x_best = [ 0.00045803 -0.00538916  0.01301407], f_best = 1.0198612901605806
rep = 25, x_best = [ 0.00045803 -0.00538916  0.01301407], f_best = 1.0198612901605806
rep = 26, x_best = [ 0.00045803 -0.00538916  0.01301407], f_best = 1.0198612901605806
rep = 27, x_best = [ 0.00045803 -0.00538916  0.01301407], f_best = 1.0198612901605806
rep = 28, x_best = [ 0.00045803 -0.00538916  0.01301407], f_best = 1.0198612901605806
rep = 29, x_best = [ 0.00045803 -0.00538916  0.01301407], f_best = 1.0198612901605806
rep = 30, x_best = [ 0.00045803 -0.00538916  0.01301407], f_best = 1.0198612901605806

Stderr:
