Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.10735480772827949, 'distribution': 'uniform', 'gravity': 0.43317537965107994, 'alpha': 0.693958275642955, 'beta': 1.0077914399187609, 'dt': 0.3515422904607537, 'expression': 'rand-to-best', 'num_rands': 3, 'factor': 2.198680616807827}
Mejor rendimiento encontrado:
3.0726055989550867

Stderr:
[I 2024-12-22 19:27:49,944] A new study created in memory with name: no-name-4fadec2c-4ce7-4350-b31f-7568a0d52447
[I 2024-12-22 19:27:52,996] Trial 0 finished with value: 3.466554005783057 and parameters: {'scale': 0.3985002889399858, 'distribution': 'uniform', 'gravity': 0.36254484400389625, 'alpha': 0.29665114387435804, 'beta': 1.4120924210189068, 'dt': 0.7045863424012704, 'expression': 'rand-to-best', 'num_rands': 3, 'factor': 2.2860332217359147}. Best is trial 0 with value: 3.466554005783057.
[I 2024-12-22 19:27:53,530] Trial 1 finished with value: 9.781374279227883 and parameters: {'scale': 0.7903495961032243, 'distribution': 'gaussian', 'gravity': 0.6236020560897038, 'alpha': 0.9475715586874444, 'beta': 1.332552710194329, 'dt': 0.4514837188487896, 'expression': 'rand-to-best', 'num_rands': 2, 'factor': 1.29994717460175}. Best is trial 0 with value: 3.466554005783057.
[I 2024-12-22 19:27:54,040] Trial 2 finished with value: 6.219089194592407 and parameters: {'scale': 0.6857410582685852, 'distribution': 'gaussian', 'gravity': 0.19318181161932885, 'alpha': 0.27534058565686775, 'beta': 1.860807356386802, 'dt': 0.7756643767905994, 'expression': 'best', 'num_rands': 3, 'factor': 2.2465270195403177}. Best is trial 0 with value: 3.466554005783057.
[I 2024-12-22 19:27:54,507] Trial 3 finished with value: 14.069341685408622 and parameters: {'scale': 0.8723734852766424, 'distribution': 'gaussian', 'gravity': 0.42014837086876244, 'alpha': 1.2774985390509932, 'beta': 1.146873734238356, 'dt': 0.9470916775418704, 'expression': 'current', 'num_rands': 2, 'factor': 1.4947558475229752}. Best is trial 0 with value: 3.466554005783057.
[I 2024-12-22 19:27:54,929] Trial 4 finished with value: 5.8826894149479285 and parameters: {'scale': 0.21434302901033622, 'distribution': 'gaussian', 'gravity': 0.6764871373731374, 'alpha': 0.5153235897027135, 'beta': 2.828922810735291, 'dt': 0.7198837006978526, 'expression': 'rand-to-best', 'num_rands': 2, 'factor': 1.0294837257095764}. Best is trial 0 with value: 3.466554005783057.
[I 2024-12-22 19:27:55,360] Trial 5 finished with value: 11.362648317253235 and parameters: {'scale': 0.5767719634674296, 'distribution': 'gaussian', 'gravity': 0.235748641537821, 'alpha': 1.5691192065947783, 'beta': 1.4042017883206497, 'dt': 0.520529457971225, 'expression': 'best', 'num_rands': 3, 'factor': 1.0782189634627584}. Best is trial 0 with value: 3.466554005783057.
[I 2024-12-22 19:27:55,807] Trial 6 finished with value: 3.3698385235551385 and parameters: {'scale': 0.8680223610592805, 'distribution': 'gaussian', 'gravity': 0.6934087001421148, 'alpha': 0.759758930495377, 'beta': 1.5307884793058013, 'dt': 0.27378709812325785, 'expression': 'rand-to-best', 'num_rands': 2, 'factor': 1.806320240689025}. Best is trial 6 with value: 3.3698385235551385.
[I 2024-12-22 19:27:56,232] Trial 7 finished with value: 11.97911452452096 and parameters: {'scale': 0.2838794409484878, 'distribution': 'gaussian', 'gravity': 0.5885789400631521, 'alpha': 1.0111650354380837, 'beta': 1.8748072169238286, 'dt': 0.8502798449170077, 'expression': 'best', 'num_rands': 2, 'factor': 1.6264519561407558}. Best is trial 6 with value: 3.3698385235551385.
[I 2024-12-22 19:27:56,659] Trial 8 finished with value: 8.149325758899842 and parameters: {'scale': 0.5331308711799787, 'distribution': 'uniform', 'gravity': 0.617017045016765, 'alpha': 0.5159547653721746, 'beta': 2.190856501021501, 'dt': 0.7546547468175558, 'expression': 'best', 'num_rands': 3, 'factor': 1.0229683428301204}. Best is trial 6 with value: 3.3698385235551385.
[I 2024-12-22 19:27:57,081] Trial 9 finished with value: 25.026621234828472 and parameters: {'scale': 0.2980381902679624, 'distribution': 'uniform', 'gravity': 0.7234631783542079, 'alpha': 1.6208768815090717, 'beta': 2.4777493875659475, 'dt': 0.9458332679313484, 'expression': 'current', 'num_rands': 3, 'factor': 2.4709765038412748}. Best is trial 6 with value: 3.3698385235551385.
[I 2024-12-22 19:27:57,513] Trial 10 finished with value: 13.803116061068469 and parameters: {'scale': 0.6960831213700158, 'distribution': 'uniform', 'gravity': 0.8821011466630966, 'alpha': 1.9071818050411875, 'beta': 1.6930243399752254, 'dt': 0.14352047129185963, 'expression': 'rand-to-best', 'num_rands': 2, 'factor': 1.921772115567774}. Best is trial 6 with value: 3.3698385235551385.
[I 2024-12-22 19:27:57,949] Trial 11 finished with value: 19.81397656417342 and parameters: {'scale': 0.41423454090525846, 'distribution': 'uniform', 'gravity': 0.011769285644179173, 'alpha': 0.1125668550207195, 'beta': 1.5477075841686894, 'dt': 0.25168228792310443, 'expression': 'rand-to-best', 'num_rands': 3, 'factor': 1.9685733807031662}. Best is trial 6 with value: 3.3698385235551385.
[I 2024-12-22 19:27:58,384] Trial 12 finished with value: 3.0726055989550867 and parameters: {'scale': 0.10735480772827949, 'distribution': 'uniform', 'gravity': 0.43317537965107994, 'alpha': 0.693958275642955, 'beta': 1.0077914399187609, 'dt': 0.3515422904607537, 'expression': 'rand-to-best', 'num_rands': 3, 'factor': 2.198680616807827}. Best is trial 12 with value: 3.0726055989550867.
[I 2024-12-22 19:27:58,806] Trial 13 finished with value: 3.2408743324240374 and parameters: {'scale': 0.14715443260670136, 'distribution': 'uniform', 'gravity': 0.48230516129435436, 'alpha': 0.7289371004606414, 'beta': 1.0825141095145923, 'dt': 0.3589818942281839, 'expression': 'rand-to-best', 'num_rands': 2, 'factor': 1.948443854371853}. Best is trial 12 with value: 3.0726055989550867.
[I 2024-12-22 19:27:59,234] Trial 14 finished with value: 4.246806798551708 and parameters: {'scale': 0.10255518071565703, 'distribution': 'uniform', 'gravity': 0.4822901468341326, 'alpha': 0.6988976557537702, 'beta': 1.0034279001251236, 'dt': 0.4090332467187928, 'expression': 'rand-to-best', 'num_rands': 2, 'factor': 2.1316025240137706}. Best is trial 12 with value: 3.0726055989550867.
