Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'probability': 0.7192937941013037, 'scale': 1.7138823925519806, 'distribution': 'uniform', 'factor': 0.9828256580982511, 'self_conf': 2.896788067266409, 'swarm_conf': 2.034057527739249, 'version': 'constriction', 'radius': 0.7234660186768408, 'angle': 22.33445019056525, 'sigma': 0.034404383221334205}
Mejor rendimiento encontrado:
1.990573478592479

Stderr:
[I 2024-12-22 19:42:02,211] A new study created in memory with name: no-name-12a6d274-09b5-4188-a7fd-1fe0eddd88ff
[I 2024-12-22 19:42:04,266] Trial 0 finished with value: 13.556707865948145 and parameters: {'probability': 0.6464429396548566, 'scale': 1.5246279893110466, 'distribution': 'gaussian', 'factor': 0.8030461043743586, 'self_conf': 2.5626976702889883, 'swarm_conf': 1.9657941566739996, 'version': 'inertial', 'radius': 0.8634473560293552, 'angle': 24.368022774232035, 'sigma': 0.23020963411875037}. Best is trial 0 with value: 13.556707865948145.
[I 2024-12-22 19:42:04,617] Trial 1 finished with value: 11.744540201523186 and parameters: {'probability': 0.8381311985319336, 'scale': 0.8765888269530193, 'distribution': 'gaussian', 'factor': 0.5587092881153134, 'self_conf': 2.135236907017851, 'swarm_conf': 2.057415421173755, 'version': 'inertial', 'radius': 0.8958810792550184, 'angle': 21.294857366894693, 'sigma': 0.29845423412872835}. Best is trial 1 with value: 11.744540201523186.
[I 2024-12-22 19:42:04,956] Trial 2 finished with value: 6.382537477013379 and parameters: {'probability': 0.7715350082327671, 'scale': 0.92835746035664, 'distribution': 'uniform', 'factor': 0.8994310974544923, 'self_conf': 2.1756321190941166, 'swarm_conf': 1.777134166300555, 'version': 'inertial', 'radius': 0.8377851819548913, 'angle': 23.206173949786955, 'sigma': 0.19928795015755227}. Best is trial 2 with value: 6.382537477013379.
[I 2024-12-22 19:42:05,280] Trial 3 finished with value: 5.271585938546376 and parameters: {'probability': 0.803528627027809, 'scale': 1.9139071984865905, 'distribution': 'gaussian', 'factor': 0.5693267527459394, 'self_conf': 1.836254824224635, 'swarm_conf': 2.5598959447361183, 'version': 'constriction', 'radius': 0.8154293995687398, 'angle': 24.50633851225843, 'sigma': 0.10305366061487632}. Best is trial 3 with value: 5.271585938546376.
[I 2024-12-22 19:42:05,607] Trial 4 finished with value: 4.20711931143761 and parameters: {'probability': 0.7685789915814282, 'scale': 1.0347969640997021, 'distribution': 'uniform', 'factor': 0.7827091250705841, 'self_conf': 2.2361913491484526, 'swarm_conf': 1.89861864171842, 'version': 'inertial', 'radius': 0.7182823784745608, 'angle': 22.514605740156874, 'sigma': 0.10691270469026073}. Best is trial 4 with value: 4.20711931143761.
[I 2024-12-22 19:42:05,927] Trial 5 finished with value: 6.421543151056041 and parameters: {'probability': 0.6186653401451405, 'scale': 0.8239258408678668, 'distribution': 'uniform', 'factor': 0.8362019682323094, 'self_conf': 2.9052688576250434, 'swarm_conf': 1.606860441315011, 'version': 'inertial', 'radius': 0.887301875501551, 'angle': 23.96555485905545, 'sigma': 0.13912466783683688}. Best is trial 4 with value: 4.20711931143761.
[I 2024-12-22 19:42:06,251] Trial 6 finished with value: 1.990573478592479 and parameters: {'probability': 0.7192937941013037, 'scale': 1.7138823925519806, 'distribution': 'uniform', 'factor': 0.9828256580982511, 'self_conf': 2.896788067266409, 'swarm_conf': 2.034057527739249, 'version': 'constriction', 'radius': 0.7234660186768408, 'angle': 22.33445019056525, 'sigma': 0.034404383221334205}. Best is trial 6 with value: 1.990573478592479.
[I 2024-12-22 19:42:06,579] Trial 7 finished with value: 6.954492386555268 and parameters: {'probability': 0.5138152992285637, 'scale': 1.2488557971768097, 'distribution': 'uniform', 'factor': 0.952232604680614, 'self_conf': 2.4907441008368023, 'swarm_conf': 1.9598333267945975, 'version': 'inertial', 'radius': 0.7451281590548565, 'angle': 21.040514174403963, 'sigma': 0.15146351497950702}. Best is trial 6 with value: 1.990573478592479.
[I 2024-12-22 19:42:06,900] Trial 8 finished with value: 5.506621040948187 and parameters: {'probability': 0.8870679429225873, 'scale': 1.2732037362376507, 'distribution': 'uniform', 'factor': 0.6898141962150203, 'self_conf': 2.9918040929818397, 'swarm_conf': 2.345382712528948, 'version': 'inertial', 'radius': 0.7231107125540244, 'angle': 24.34180686772278, 'sigma': 0.07350199282625729}. Best is trial 6 with value: 1.990573478592479.
[I 2024-12-22 19:42:07,227] Trial 9 finished with value: 11.416587729163885 and parameters: {'probability': 0.7191817321239554, 'scale': 0.4540771908851558, 'distribution': 'gaussian', 'factor': 0.9809855811111797, 'self_conf': 2.2180892519666315, 'swarm_conf': 1.7792864687416792, 'version': 'inertial', 'radius': 0.7476761750446966, 'angle': 23.323759990080266, 'sigma': 0.07325947683222611}. Best is trial 6 with value: 1.990573478592479.
[I 2024-12-22 19:42:07,558] Trial 10 finished with value: 6.4672288437016 and parameters: {'probability': 0.5625641203155787, 'scale': 1.8452152003084101, 'distribution': 'uniform', 'factor': 0.677290052457457, 'self_conf': 1.5127245576630888, 'swarm_conf': 2.940937156402084, 'version': 'constriction', 'radius': 0.778120280512222, 'angle': 20.27457101007226, 'sigma': 0.016110307020882342}. Best is trial 6 with value: 1.990573478592479.
[I 2024-12-22 19:42:07,907] Trial 11 finished with value: 5.969749350179009 and parameters: {'probability': 0.7092688057472367, 'scale': 0.1078646266029909, 'distribution': 'uniform', 'factor': 0.7159240128726613, 'self_conf': 2.641082136137721, 'swarm_conf': 2.327826287640257, 'version': 'constriction', 'radius': 0.7066072783509023, 'angle': 22.185007032559756, 'sigma': 0.03209386976717821}. Best is trial 6 with value: 1.990573478592479.
[I 2024-12-22 19:42:08,251] Trial 12 finished with value: 4.966200904632743 and parameters: {'probability': 0.7514954106681212, 'scale': 1.5856109175388615, 'distribution': 'uniform', 'factor': 0.8690791515058809, 'self_conf': 1.9543273332965554, 'swarm_conf': 1.5360408950122246, 'version': 'constriction', 'radius': 0.770632826583515, 'angle': 22.21957565888157, 'sigma': 0.06338065135691248}. Best is trial 6 with value: 1.990573478592479.
[I 2024-12-22 19:42:08,595] Trial 13 finished with value: 5.721001250801992 and parameters: {'probability': 0.6603305715417336, 'scale': 0.6432656035553566, 'distribution': 'uniform', 'factor': 0.7768008495657017, 'self_conf': 2.414666431404125, 'swarm_conf': 2.1716547939697004, 'version': 'constriction', 'radius': 0.7023168271463147, 'angle': 22.85259752600212, 'sigma': 0.11868837146586719}. Best is trial 6 with value: 1.990573478592479.
[I 2024-12-22 19:42:08,930] Trial 14 finished with value: 3.7309221886119373 and parameters: {'probability': 0.8361061156977588, 'scale': 1.2796715083720527, 'distribution': 'uniform', 'factor': 0.6249808128918495, 'self_conf': 2.7706916210407666, 'swarm_conf': 2.4844538361239077, 'version': 'constriction', 'radius': 0.7387622559519998, 'angle': 21.623682282665076, 'sigma': 0.043888458182846535}. Best is trial 6 with value: 1.990573478592479.
