Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'probability': 0.6983976096916454, 'scale': 0.5331512334242134, 'distribution': 'uniform', 'radius': 0.5037265752814947, 'angle': 14.398662107665004, 'sigma': 0.15416507045880048, 'factor': 0.7935500696509203, 'self_conf': 1.3732995116039555, 'swarm_conf': 2.61154188020552, 'version': 'constriction'}
Mejor rendimiento encontrado:
1.5755181650915882

Stderr:
[I 2024-12-25 00:27:39,269] A new study created in memory with name: no-name-9dc4adaa-949d-43a1-b2e2-2c0595ea51f4
[I 2024-12-25 00:27:43,088] Trial 0 finished with value: 2.4232041199747023 and parameters: {'probability': 0.639308550445206, 'scale': 0.8395371806718875, 'distribution': 'uniform', 'radius': 0.6908788052656022, 'angle': 12.968635583751958, 'sigma': 0.07971265463891007, 'factor': 0.5433538658782577, 'self_conf': 1.110470618994126, 'swarm_conf': 2.292336325565807, 'version': 'inertial'}. Best is trial 0 with value: 2.4232041199747023.
[I 2024-12-25 00:27:44,102] Trial 1 finished with value: 4.2992877449820135 and parameters: {'probability': 0.6318718736747054, 'scale': 0.5957137283214532, 'distribution': 'gaussian', 'radius': 0.5736116045258313, 'angle': 22.56879277854556, 'sigma': 0.09257996477867707, 'factor': 0.6305716049901099, 'self_conf': 1.9244459626931227, 'swarm_conf': 2.2875173056941893, 'version': 'inertial'}. Best is trial 0 with value: 2.4232041199747023.
[I 2024-12-25 00:27:45,304] Trial 2 finished with value: 2.765501296642868 and parameters: {'probability': 0.6194691228552606, 'scale': 1.3493586051882678, 'distribution': 'uniform', 'radius': 0.7783153622542075, 'angle': 18.53755403900422, 'sigma': 0.1679432853756469, 'factor': 0.8790252526475557, 'self_conf': 2.8729876983663996, 'swarm_conf': 1.2478524765193562, 'version': 'constriction'}. Best is trial 0 with value: 2.4232041199747023.
[I 2024-12-25 00:27:46,514] Trial 3 finished with value: 4.131553409880657 and parameters: {'probability': 0.5667422321101634, 'scale': 1.5085241350556637, 'distribution': 'uniform', 'radius': 0.645523348346295, 'angle': 24.06713229548369, 'sigma': 0.0448032255179605, 'factor': 0.6709447238793231, 'self_conf': 2.2251018522549977, 'swarm_conf': 2.349909638497756, 'version': 'inertial'}. Best is trial 0 with value: 2.4232041199747023.
[I 2024-12-25 00:27:47,552] Trial 4 finished with value: 1.7775748851363184 and parameters: {'probability': 0.6210217710151774, 'scale': 0.39125234575098483, 'distribution': 'uniform', 'radius': 0.5805026101673445, 'angle': 23.86257081285997, 'sigma': 0.26537160837605583, 'factor': 0.5062813034541228, 'self_conf': 1.0970591744757083, 'swarm_conf': 2.793765319862631, 'version': 'inertial'}. Best is trial 4 with value: 1.7775748851363184.
[I 2024-12-25 00:27:48,588] Trial 5 finished with value: 6.068649140644988 and parameters: {'probability': 0.677054990535166, 'scale': 1.4642140515233193, 'distribution': 'gaussian', 'radius': 0.8143591957417055, 'angle': 23.63552278469138, 'sigma': 0.21602091122775993, 'factor': 0.7121124968202712, 'self_conf': 1.7529249663044533, 'swarm_conf': 1.5549196826776845, 'version': 'inertial'}. Best is trial 4 with value: 1.7775748851363184.
[I 2024-12-25 00:27:49,598] Trial 6 finished with value: 3.919387825520917 and parameters: {'probability': 0.8828968705785258, 'scale': 1.633765161593236, 'distribution': 'uniform', 'radius': 0.7555244018146441, 'angle': 16.42300300652698, 'sigma': 0.2691974373060018, 'factor': 0.7635754961830347, 'self_conf': 2.4512993843222928, 'swarm_conf': 1.5953634845418523, 'version': 'inertial'}. Best is trial 4 with value: 1.7775748851363184.
[I 2024-12-25 00:27:50,512] Trial 7 finished with value: 6.098028083410849 and parameters: {'probability': 0.7800616791960229, 'scale': 1.6750315421128585, 'distribution': 'gaussian', 'radius': 0.6972038561218301, 'angle': 12.704002557683946, 'sigma': 0.20242184385589806, 'factor': 0.6754644229399238, 'self_conf': 2.4550085729769533, 'swarm_conf': 1.958382458203154, 'version': 'inertial'}. Best is trial 4 with value: 1.7775748851363184.
[I 2024-12-25 00:27:51,384] Trial 8 finished with value: 3.331886353155788 and parameters: {'probability': 0.5755887205901223, 'scale': 1.769096333900955, 'distribution': 'uniform', 'radius': 0.586513136438071, 'angle': 19.60626042466902, 'sigma': 0.14050290300031196, 'factor': 0.5308281225785676, 'self_conf': 1.7186173227386723, 'swarm_conf': 2.5744067259545123, 'version': 'inertial'}. Best is trial 4 with value: 1.7775748851363184.
[I 2024-12-25 00:27:52,293] Trial 9 finished with value: 2.520866685162769 and parameters: {'probability': 0.8960101165486624, 'scale': 0.8941899687036173, 'distribution': 'gaussian', 'radius': 0.775624896052256, 'angle': 24.423371567489074, 'sigma': 0.2782440816555946, 'factor': 0.5868448932589304, 'self_conf': 2.404226047461245, 'swarm_conf': 2.1740980498618008, 'version': 'constriction'}. Best is trial 4 with value: 1.7775748851363184.
[I 2024-12-25 00:27:53,294] Trial 10 finished with value: 3.7311263002214696 and parameters: {'probability': 0.7542927404922628, 'scale': 0.17419565724540856, 'distribution': 'uniform', 'radius': 0.5003471898787161, 'angle': 21.060647387114848, 'sigma': 0.29701596519992113, 'factor': 0.5014460308425169, 'self_conf': 1.016256737510747, 'swarm_conf': 2.992523351942686, 'version': 'constriction'}. Best is trial 4 with value: 1.7775748851363184.
[I 2024-12-25 00:27:54,249] Trial 11 finished with value: 3.3127688100393478 and parameters: {'probability': 0.5066638320520025, 'scale': 0.4296311815809249, 'distribution': 'uniform', 'radius': 0.8782327947405036, 'angle': 10.331295000481084, 'sigma': 0.02386031465148622, 'factor': 0.5673112481054319, 'self_conf': 1.003883364072016, 'swarm_conf': 2.8450516822265515, 'version': 'inertial'}. Best is trial 4 with value: 1.7775748851363184.
[I 2024-12-25 00:27:55,170] Trial 12 finished with value: 2.9239801197121293 and parameters: {'probability': 0.7125192215478043, 'scale': 0.9439066162585015, 'distribution': 'uniform', 'radius': 0.6357845381018445, 'angle': 15.435615956236518, 'sigma': 0.0892967100303594, 'factor': 0.5807309434033754, 'self_conf': 1.3554981228033742, 'swarm_conf': 2.682821900041882, 'version': 'inertial'}. Best is trial 4 with value: 1.7775748851363184.
[I 2024-12-25 00:27:56,123] Trial 13 finished with value: 1.9948738554273202 and parameters: {'probability': 0.657029379954464, 'scale': 0.6520091509101184, 'distribution': 'uniform', 'radius': 0.5090248416652696, 'angle': 13.434527749857189, 'sigma': 0.09383611202839491, 'factor': 0.5017147598184059, 'self_conf': 1.4173317871156133, 'swarm_conf': 2.5283954307708636, 'version': 'inertial'}. Best is trial 4 with value: 1.7775748851363184.
[I 2024-12-25 00:27:57,085] Trial 14 finished with value: 1.5755181650915882 and parameters: {'probability': 0.6983976096916454, 'scale': 0.5331512334242134, 'distribution': 'uniform', 'radius': 0.5037265752814947, 'angle': 14.398662107665004, 'sigma': 0.15416507045880048, 'factor': 0.7935500696509203, 'self_conf': 1.3732995116039555, 'swarm_conf': 2.61154188020552, 'version': 'constriction'}. Best is trial 14 with value: 1.5755181650915882.
