Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.36614069935462035, 'distribution': 'uniform', 'expression': 'current', 'factor': 0.513279170265837}
Mejor rendimiento encontrado:
6.8197745759232316

Stderr:
[I 2024-12-28 17:19:06,982] A new study created in memory with name: no-name-13b32843-70cf-4d67-913e-72a0e3446776
[I 2024-12-28 17:19:09,959] Trial 0 finished with value: 12.025620952990757 and parameters: {'scale': 0.7603425943859481, 'distribution': 'uniform', 'expression': 'rand-to-best', 'factor': 0.8746744190887348}. Best is trial 0 with value: 12.025620952990757.
[I 2024-12-28 17:19:10,240] Trial 1 finished with value: 17.65037230190394 and parameters: {'scale': 0.5754288984826907, 'distribution': 'levy', 'expression': 'rand', 'factor': 1.5224319278214158}. Best is trial 0 with value: 12.025620952990757.
[I 2024-12-28 17:19:10,552] Trial 2 finished with value: 14.25469223139848 and parameters: {'scale': 0.6285966237778011, 'distribution': 'gaussian', 'expression': 'current-to-best', 'factor': 1.3630350326712017}. Best is trial 0 with value: 12.025620952990757.
[I 2024-12-28 17:19:10,864] Trial 3 finished with value: 17.67769415994732 and parameters: {'scale': 0.553671306662002, 'distribution': 'gaussian', 'expression': 'rand-to-best', 'factor': 1.7066726975712516}. Best is trial 0 with value: 12.025620952990757.
[I 2024-12-28 17:19:11,151] Trial 4 finished with value: 16.150546756888374 and parameters: {'scale': 0.23901151937160614, 'distribution': 'levy', 'expression': 'rand', 'factor': 1.2955130787038371}. Best is trial 0 with value: 12.025620952990757.
[I 2024-12-28 17:19:11,484] Trial 5 finished with value: 15.514299488532425 and parameters: {'scale': 0.6742769404745809, 'distribution': 'gaussian', 'expression': 'rand-to-best', 'factor': 1.664789230528099}. Best is trial 0 with value: 12.025620952990757.
[I 2024-12-28 17:19:11,763] Trial 6 finished with value: 13.664064519435666 and parameters: {'scale': 0.9415567555930192, 'distribution': 'levy', 'expression': 'rand-to-best-and-current', 'factor': 0.9469931065953573}. Best is trial 0 with value: 12.025620952990757.
[I 2024-12-28 17:19:11,990] Trial 7 finished with value: 15.671037469465602 and parameters: {'scale': 0.18303377681629698, 'distribution': 'uniform', 'expression': 'rand', 'factor': 1.1280831921320105}. Best is trial 0 with value: 12.025620952990757.
[I 2024-12-28 17:19:12,222] Trial 8 finished with value: 17.642753113490848 and parameters: {'scale': 0.635273061781097, 'distribution': 'levy', 'expression': 'rand', 'factor': 1.4160601108581927}. Best is trial 0 with value: 12.025620952990757.
[I 2024-12-28 17:19:12,437] Trial 9 finished with value: 11.835716609855078 and parameters: {'scale': 0.5577640569017464, 'distribution': 'uniform', 'expression': 'rand', 'factor': 1.012137455415949}. Best is trial 9 with value: 11.835716609855078.
[I 2024-12-28 17:19:12,677] Trial 10 finished with value: 7.891243059915747 and parameters: {'scale': 0.3665367234627701, 'distribution': 'uniform', 'expression': 'current', 'factor': 0.5945939135789761}. Best is trial 10 with value: 7.891243059915747.
[I 2024-12-28 17:19:12,899] Trial 11 finished with value: 7.9044757397143455 and parameters: {'scale': 0.38887059352184067, 'distribution': 'uniform', 'expression': 'current', 'factor': 0.5654152947620272}. Best is trial 10 with value: 7.891243059915747.
[I 2024-12-28 17:19:13,131] Trial 12 finished with value: 7.723767178544937 and parameters: {'scale': 0.3815503164786065, 'distribution': 'uniform', 'expression': 'current', 'factor': 0.5316471284665021}. Best is trial 12 with value: 7.723767178544937.
[I 2024-12-28 17:19:13,351] Trial 13 finished with value: 6.8197745759232316 and parameters: {'scale': 0.36614069935462035, 'distribution': 'uniform', 'expression': 'current', 'factor': 0.513279170265837}. Best is trial 13 with value: 6.8197745759232316.
[I 2024-12-28 17:19:13,575] Trial 14 finished with value: 11.106115332172529 and parameters: {'scale': 0.3880573397964744, 'distribution': 'uniform', 'expression': 'best', 'factor': 1.9453097686875174}. Best is trial 13 with value: 6.8197745759232316.
