Exit code: 0
Stdout:
rep = 1, x_best = [-0.01333527 -0.00154461  0.00209506], f_best = 0.946040945333948
rep = 2, x_best = [-0.01333527 -0.00154461  0.00209506], f_best = 0.946040945333948
rep = 3, x_best = [-0.01333527 -0.00154461  0.00209506], f_best = 0.946040945333948
rep = 4, x_best = [-0.01333527 -0.00154461  0.00209506], f_best = 0.946040945333948
rep = 5, x_best = [-0.01333527 -0.00154461  0.00209506], f_best = 0.946040945333948
rep = 6, x_best = [-0.01333527 -0.00154461  0.00209506], f_best = 0.946040945333948
rep = 7, x_best = [-0.01333527 -0.00154461  0.00209506], f_best = 0.946040945333948
rep = 8, x_best = [-0.01333527 -0.00154461  0.00209506], f_best = 0.946040945333948
rep = 9, x_best = [-0.01333527 -0.00154461  0.00209506], f_best = 0.946040945333948
rep = 10, x_best = [-0.01333527 -0.00154461  0.00209506], f_best = 0.946040945333948
rep = 11, x_best = [-0.01333527 -0.00154461  0.00209506], f_best = 0.946040945333948
rep = 12, x_best = [-0.01333527 -0.00154461  0.00209506], f_best = 0.946040945333948
rep = 13, x_best = [-0.01333527 -0.00154461  0.00209506], f_best = 0.946040945333948
rep = 14, x_best = [-0.01333527 -0.00154461  0.00209506], f_best = 0.946040945333948
rep = 15, x_best = [-0.01333527 -0.00154461  0.00209506], f_best = 0.946040945333948
rep = 16, x_best = [-0.01333527 -0.00154461  0.00209506], f_best = 0.946040945333948
rep = 17, x_best = [ 0.00353877  0.00164402 -0.00300503], f_best = 0.12603873203892135
rep = 18, x_best = [ 0.00353877  0.00164402 -0.00300503], f_best = 0.12603873203892135
rep = 19, x_best = [ 0.00353877  0.00164402 -0.00300503], f_best = 0.12603873203892135
rep = 20, x_best = [ 0.00353877  0.00164402 -0.00300503], f_best = 0.12603873203892135
rep = 21, x_best = [ 0.00353877  0.00164402 -0.00300503], f_best = 0.12603873203892135
rep = 22, x_best = [ 0.00353877  0.00164402 -0.00300503], f_best = 0.12603873203892135
rep = 23, x_best = [ 0.00353877  0.00164402 -0.00300503], f_best = 0.12603873203892135
rep = 24, x_best = [ 0.00353877  0.00164402 -0.00300503], f_best = 0.12603873203892135
rep = 25, x_best = [ 0.00353877  0.00164402 -0.00300503], f_best = 0.12603873203892135
rep = 26, x_best = [ 0.00353877  0.00164402 -0.00300503], f_best = 0.12603873203892135
rep = 27, x_best = [ 0.00353877  0.00164402 -0.00300503], f_best = 0.12603873203892135
rep = 28, x_best = [ 0.00353877  0.00164402 -0.00300503], f_best = 0.12603873203892135
rep = 29, x_best = [ 0.00353877  0.00164402 -0.00300503], f_best = 0.12603873203892135
rep = 30, x_best = [ 0.00353877  0.00164402 -0.00300503], f_best = 0.12603873203892135

Stderr:
