Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.5256457521611647, 'distribution': 'gaussian', 'gravity': 0.006514839907591067, 'alpha': 0.011303780743743691, 'beta': 2.945889273071346, 'dt': 0.11487319850337913, 'expression': 'best', 'num_rands': 1, 'factor': 0.9824458432087539}
Mejor rendimiento encontrado:
6.704025975496026

Stderr:
[I 2024-12-29 21:39:21,510] A new study created in memory with name: no-name-b70ed7e9-e38f-4f94-9155-2c699bbae2f2
[I 2024-12-29 21:39:24,512] Trial 0 finished with value: 23.305726720821436 and parameters: {'scale': 0.6504481294030456, 'distribution': 'levy', 'gravity': 0.005480780693135355, 'alpha': 0.034515873779953035, 'beta': 1.360570120683336, 'dt': 1.484112081565923, 'expression': 'current-to-best', 'num_rands': 2, 'factor': 1.365811121567138}. Best is trial 0 with value: 23.305726720821436.
[I 2024-12-29 21:39:25,035] Trial 1 finished with value: 16.49053901377038 and parameters: {'scale': 0.9652056391368009, 'distribution': 'uniform', 'gravity': 0.008563949813580557, 'alpha': 0.0018978302601836564, 'beta': 2.6104116500719865, 'dt': 1.6109288178970758, 'expression': 'best', 'num_rands': 3, 'factor': 1.7179473872926263}. Best is trial 1 with value: 16.49053901377038.
[I 2024-12-29 21:39:25,577] Trial 2 finished with value: 9.353295230182265 and parameters: {'scale': 0.7051283682318488, 'distribution': 'levy', 'gravity': 0.007231124189947132, 'alpha': 0.04502305525426444, 'beta': 1.809357151279358, 'dt': 0.5754302514953236, 'expression': 'current-to-best', 'num_rands': 1, 'factor': 0.6059347269445157}. Best is trial 2 with value: 9.353295230182265.
[I 2024-12-29 21:39:26,127] Trial 3 finished with value: 9.351651123897136 and parameters: {'scale': 0.4866337820750023, 'distribution': 'levy', 'gravity': 0.007360936570729393, 'alpha': 0.003326684588850391, 'beta': 2.0558993836691446, 'dt': 0.4492060262980199, 'expression': 'best', 'num_rands': 1, 'factor': 1.2898189787098038}. Best is trial 3 with value: 9.351651123897136.
[I 2024-12-29 21:39:26,666] Trial 4 finished with value: 13.659852059193078 and parameters: {'scale': 0.29674683618576697, 'distribution': 'uniform', 'gravity': 0.003934075897569734, 'alpha': 0.042825052337420046, 'beta': 2.17595547747178, 'dt': 0.5831646489571558, 'expression': 'best', 'num_rands': 3, 'factor': 1.2170379306531238}. Best is trial 3 with value: 9.351651123897136.
[I 2024-12-29 21:39:27,209] Trial 5 finished with value: 34.31926131869004 and parameters: {'scale': 0.33763649127444567, 'distribution': 'uniform', 'gravity': 0.001717028832635479, 'alpha': 0.0016704675963883835, 'beta': 2.4186781680982095, 'dt': 1.425319778101182, 'expression': 'rand', 'num_rands': 3, 'factor': 1.847339692634397}. Best is trial 3 with value: 9.351651123897136.
[I 2024-12-29 21:39:27,773] Trial 6 finished with value: 26.578152461410177 and parameters: {'scale': 0.8483344615813428, 'distribution': 'levy', 'gravity': 0.004429191639805676, 'alpha': 0.013006292594030553, 'beta': 2.0959368692593543, 'dt': 0.1300978348755263, 'expression': 'current-to-best', 'num_rands': 3, 'factor': 1.9648194194906672}. Best is trial 3 with value: 9.351651123897136.
[I 2024-12-29 21:39:28,290] Trial 7 finished with value: 9.050027408251733 and parameters: {'scale': 0.39552554326353334, 'distribution': 'gaussian', 'gravity': 0.004092118919780137, 'alpha': 0.022488258237019977, 'beta': 2.738222453140797, 'dt': 0.4246302812064654, 'expression': 'best', 'num_rands': 1, 'factor': 1.4635802293229456}. Best is trial 7 with value: 9.050027408251733.
[I 2024-12-29 21:39:28,799] Trial 8 finished with value: 10.628787984796773 and parameters: {'scale': 0.6973298720125708, 'distribution': 'gaussian', 'gravity': 0.0027391139566481167, 'alpha': 0.04400096149386058, 'beta': 1.964736265847503, 'dt': 1.497205222863845, 'expression': 'rand', 'num_rands': 2, 'factor': 0.7880991368853558}. Best is trial 7 with value: 9.050027408251733.
[I 2024-12-29 21:39:29,271] Trial 9 finished with value: 10.650536165466873 and parameters: {'scale': 0.3667995962734891, 'distribution': 'gaussian', 'gravity': 0.009474609144126728, 'alpha': 0.030742840103952153, 'beta': 1.3310806776519513, 'dt': 1.4773138655019757, 'expression': 'best', 'num_rands': 1, 'factor': 1.2342735217818428}. Best is trial 7 with value: 9.050027408251733.
[I 2024-12-29 21:39:29,756] Trial 10 finished with value: 16.539047203093396 and parameters: {'scale': 0.13168347661738788, 'distribution': 'gaussian', 'gravity': 0.0003211688195795615, 'alpha': 0.019053817293393432, 'beta': 2.9008513700025946, 'dt': 0.9563539391933885, 'expression': 'rand-to-best', 'num_rands': 1, 'factor': 1.5756710957330307}. Best is trial 7 with value: 9.050027408251733.
[I 2024-12-29 21:39:30,208] Trial 11 finished with value: 6.704025975496026 and parameters: {'scale': 0.5256457521611647, 'distribution': 'gaussian', 'gravity': 0.006514839907591067, 'alpha': 0.011303780743743691, 'beta': 2.945889273071346, 'dt': 0.11487319850337913, 'expression': 'best', 'num_rands': 1, 'factor': 0.9824458432087539}. Best is trial 11 with value: 6.704025975496026.
[I 2024-12-29 21:39:30,668] Trial 12 finished with value: 11.02460516306047 and parameters: {'scale': 0.5307313751222981, 'distribution': 'gaussian', 'gravity': 0.005938073786746743, 'alpha': 0.015054571199923834, 'beta': 2.9969908451842935, 'dt': 0.16439170260792882, 'expression': 'best', 'num_rands': 2, 'factor': 0.9812000041429291}. Best is trial 11 with value: 6.704025975496026.
[I 2024-12-29 21:39:31,118] Trial 13 finished with value: 7.288442679595353 and parameters: {'scale': 0.1852896767938818, 'distribution': 'gaussian', 'gravity': 0.006841529333552137, 'alpha': 0.023618373263619045, 'beta': 2.661177780556539, 'dt': 1.9959607967026347, 'expression': 'rand-to-best', 'num_rands': 1, 'factor': 0.9975104577226095}. Best is trial 11 with value: 6.704025975496026.
[I 2024-12-29 21:39:31,569] Trial 14 finished with value: 7.830092730886089 and parameters: {'scale': 0.10788936818721623, 'distribution': 'gaussian', 'gravity': 0.006897624676283341, 'alpha': 0.011184973310754073, 'beta': 2.5295478604267103, 'dt': 1.9773486624800651, 'expression': 'rand-to-best', 'num_rands': 1, 'factor': 0.9823542192853668}. Best is trial 11 with value: 6.704025975496026.
