Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.694724555041569, 'self_conf': 2.969029297978744, 'swarm_conf': 2.961426505080846, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8050708253181967, 'angle': 24.59150635168828, 'sigma': 0.29472747496705537}
Mejor rendimiento encontrado:
2.456503231488168

Stderr:
[I 2024-12-29 22:23:49,885] A new study created in memory with name: no-name-45d43369-1c82-40cf-85db-7098c0ee4f0e
[I 2024-12-29 22:23:52,130] Trial 0 finished with value: 2.5501518577509437 and parameters: {'factor': 0.9198271861821397, 'self_conf': 2.7384417413692814, 'swarm_conf': 2.991495067984383, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7150550948174522, 'angle': 21.455850686996584, 'sigma': 0.2504096827790314}. Best is trial 0 with value: 2.5501518577509437.
[I 2024-12-29 22:23:52,494] Trial 1 finished with value: 5.149782035435884 and parameters: {'factor': 0.5869654459015397, 'self_conf': 2.4059501747924377, 'swarm_conf': 1.7188987497131771, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5828463779634683, 'angle': 20.265187643606172, 'sigma': 0.23521800568365292}. Best is trial 0 with value: 2.5501518577509437.
[I 2024-12-29 22:23:52,864] Trial 2 finished with value: 5.2212826650324615 and parameters: {'factor': 0.8865327804738982, 'self_conf': 1.4155965511378201, 'swarm_conf': 2.7316900624621154, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.7481102353213533, 'angle': 12.30232923120916, 'sigma': 0.19029640045381072}. Best is trial 0 with value: 2.5501518577509437.
[I 2024-12-29 22:23:53,217] Trial 3 finished with value: 4.6905147085419685 and parameters: {'factor': 0.8739709748466973, 'self_conf': 1.6489610547637894, 'swarm_conf': 1.0077841153068718, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.574309975779905, 'angle': 18.758789299558458, 'sigma': 0.164218064809349}. Best is trial 0 with value: 2.5501518577509437.
[I 2024-12-29 22:23:53,557] Trial 4 finished with value: 5.396751148103329 and parameters: {'factor': 0.5552829921509812, 'self_conf': 2.353212887631988, 'swarm_conf': 2.1792662603214508, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.8631810053507654, 'angle': 21.657446426398078, 'sigma': 0.15031901735773467}. Best is trial 0 with value: 2.5501518577509437.
[I 2024-12-29 22:23:53,906] Trial 5 finished with value: 6.568294883935304 and parameters: {'factor': 0.9305727936447055, 'self_conf': 2.3098918657808287, 'swarm_conf': 1.289517358957684, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.6397810453717874, 'angle': 22.491034344250064, 'sigma': 0.10133570330645564}. Best is trial 0 with value: 2.5501518577509437.
[I 2024-12-29 22:23:54,252] Trial 6 finished with value: 7.011879942685153 and parameters: {'factor': 0.59964209903736, 'self_conf': 1.4726796916139047, 'swarm_conf': 2.3761138066583185, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5745803248605892, 'angle': 14.229423279804701, 'sigma': 0.015449026122580005}. Best is trial 0 with value: 2.5501518577509437.
[I 2024-12-29 22:23:54,611] Trial 7 finished with value: 4.854645635053839 and parameters: {'factor': 0.7939706098109545, 'self_conf': 1.335377072157818, 'swarm_conf': 1.917672714368104, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.6626093044116275, 'angle': 19.345270428361722, 'sigma': 0.20465910367089002}. Best is trial 0 with value: 2.5501518577509437.
[I 2024-12-29 22:23:54,963] Trial 8 finished with value: 6.437781627520645 and parameters: {'factor': 0.8195843668837426, 'self_conf': 1.5291182917896435, 'swarm_conf': 2.1162991652884786, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7047465068057636, 'angle': 22.096074494148173, 'sigma': 0.021710308247708195}. Best is trial 0 with value: 2.5501518577509437.
[I 2024-12-29 22:23:55,312] Trial 9 finished with value: 3.6662523713661406 and parameters: {'factor': 0.5220360986219229, 'self_conf': 1.1505896968531153, 'swarm_conf': 2.6735906227499875, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6425312005420105, 'angle': 22.26755741353429, 'sigma': 0.2526118014457638}. Best is trial 0 with value: 2.5501518577509437.
[I 2024-12-29 22:23:55,680] Trial 10 finished with value: 2.6407923322298616 and parameters: {'factor': 0.9900383110583668, 'self_conf': 2.805163287406253, 'swarm_conf': 2.939079117863141, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7856788909818292, 'angle': 24.919786546348544, 'sigma': 0.2753864441961609}. Best is trial 0 with value: 2.5501518577509437.
