Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.41557392820782957, 'self_conf': 2.250242919153478, 'swarm_conf': 2.743475108133401, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.7056023568073462, 'angle': 0.8201310273799196, 'sigma': 0.08307470149367797}
Mejor rendimiento encontrado:
1.7202563822836217

Stderr:
[I 2024-12-29 22:32:38,800] A new study created in memory with name: no-name-ac551ebd-b3f2-4cf8-a126-d7c2964811c4
[I 2024-12-29 22:32:40,978] Trial 0 finished with value: 5.057101801471015 and parameters: {'factor': 0.8489456556517342, 'self_conf': 2.3823551367334197, 'swarm_conf': 2.220896024211298, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.7767430157375963, 'angle': 23.403579290502094, 'sigma': 0.04409483452005498}. Best is trial 0 with value: 5.057101801471015.
[I 2024-12-29 22:32:41,248] Trial 1 finished with value: 10.115385250367279 and parameters: {'factor': 0.20624029815045386, 'self_conf': 2.415192616445333, 'swarm_conf': 2.2851652958338495, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.823826241295849, 'angle': 22.421295438575378, 'sigma': 0.027026665267214985}. Best is trial 0 with value: 5.057101801471015.
[I 2024-12-29 22:32:41,521] Trial 2 finished with value: 10.69579477329474 and parameters: {'factor': 0.1830912003746355, 'self_conf': 2.3218641268308837, 'swarm_conf': 2.58811513213531, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.3864872472131678, 'angle': 12.776676639810098, 'sigma': 0.2571926742929668}. Best is trial 0 with value: 5.057101801471015.
[I 2024-12-29 22:32:41,782] Trial 3 finished with value: 8.516747222846544 and parameters: {'factor': 0.5991781148879526, 'self_conf': 2.0700523909876214, 'swarm_conf': 2.96613561338011, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.39702095560961076, 'angle': 20.950991687207697, 'sigma': 0.17634490781436693}. Best is trial 0 with value: 5.057101801471015.
[I 2024-12-29 22:32:42,037] Trial 4 finished with value: 6.154516702337005 and parameters: {'factor': 0.20719644062038167, 'self_conf': 2.0383321450245964, 'swarm_conf': 2.5784259962594547, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.43637350843234135, 'angle': 15.959199043575762, 'sigma': 0.20569192876510367}. Best is trial 0 with value: 5.057101801471015.
[I 2024-12-29 22:32:42,291] Trial 5 finished with value: 7.9596623811699745 and parameters: {'factor': 0.7401834349370998, 'self_conf': 2.148324616295629, 'swarm_conf': 2.280615808505282, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.16478056995031612, 'angle': 15.197243765061145, 'sigma': 0.19533198812300137}. Best is trial 0 with value: 5.057101801471015.
[I 2024-12-29 22:32:42,535] Trial 6 finished with value: 7.302132722052552 and parameters: {'factor': 0.8299739729399409, 'self_conf': 2.471840686552997, 'swarm_conf': 2.474624782952405, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.6944885515909771, 'angle': 16.429044227181098, 'sigma': 0.2003044273713906}. Best is trial 0 with value: 5.057101801471015.
[I 2024-12-29 22:32:42,775] Trial 7 finished with value: 6.771128982716766 and parameters: {'factor': 0.38611723033396333, 'self_conf': 2.9599020595436984, 'swarm_conf': 2.4271921190780263, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.6534461032106251, 'angle': 20.162188604387712, 'sigma': 0.24143575747352797}. Best is trial 0 with value: 5.057101801471015.
[I 2024-12-29 22:32:43,035] Trial 8 finished with value: 2.3622235910810074 and parameters: {'factor': 0.7181655146963495, 'self_conf': 2.122048346333881, 'swarm_conf': 2.7631678259603065, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7469839169756707, 'angle': 23.552637239252558, 'sigma': 0.10295688899549717}. Best is trial 8 with value: 2.3622235910810074.
[I 2024-12-29 22:32:43,290] Trial 9 finished with value: 8.892826431791388 and parameters: {'factor': 0.1731450499189874, 'self_conf': 2.531866340802597, 'swarm_conf': 2.4132071529230483, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.27742569199341505, 'angle': 1.6185155704116956, 'sigma': 0.055000697921979674}. Best is trial 8 with value: 2.3622235910810074.
[I 2024-12-29 22:32:43,557] Trial 10 finished with value: 2.712689796385142 and parameters: {'factor': 0.5701980815637837, 'self_conf': 2.6930704581572313, 'swarm_conf': 2.859435481436066, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5856756480296049, 'angle': 5.899434285183332, 'sigma': 0.11734969021263987}. Best is trial 8 with value: 2.3622235910810074.
