Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.1925598439390771, 'distribution': 'gaussian', 'factor': 0.12677515023263927, 'self_conf': 2.8799399360977977, 'swarm_conf': 1.5254002296991571, 'version': 'constriction'}
Mejor rendimiento encontrado:
3.4165891060108633

Stderr:
[I 2024-12-30 00:03:08,707] A new study created in memory with name: no-name-bedd14d8-b42a-4374-9dc6-624891953f64
[I 2024-12-30 00:03:10,867] Trial 0 finished with value: 8.605466557615376 and parameters: {'scale': 0.49919279872125355, 'distribution': 'levy', 'factor': 0.8017767339604432, 'self_conf': 2.2647307868112128, 'swarm_conf': 2.292254930955575, 'version': 'inertial'}. Best is trial 0 with value: 8.605466557615376.
[I 2024-12-30 00:03:11,185] Trial 1 finished with value: 7.401654942572127 and parameters: {'scale': 0.2679315237396452, 'distribution': 'gaussian', 'factor': 0.7023493923566948, 'self_conf': 2.518733030419399, 'swarm_conf': 1.4945989975465115, 'version': 'constriction'}. Best is trial 1 with value: 7.401654942572127.
[I 2024-12-30 00:03:11,518] Trial 2 finished with value: 8.472639572410634 and parameters: {'scale': 0.5226519242826005, 'distribution': 'levy', 'factor': 0.5185857722516137, 'self_conf': 1.4703670117078276, 'swarm_conf': 2.519581612267206, 'version': 'inertial'}. Best is trial 1 with value: 7.401654942572127.
[I 2024-12-30 00:03:11,820] Trial 3 finished with value: 6.981163254885983 and parameters: {'scale': 0.3422131163122331, 'distribution': 'gaussian', 'factor': 0.1167277138763197, 'self_conf': 1.9923420714307154, 'swarm_conf': 1.7350263279569975, 'version': 'inertial'}. Best is trial 3 with value: 6.981163254885983.
[I 2024-12-30 00:03:12,130] Trial 4 finished with value: 8.038720161914924 and parameters: {'scale': 0.5899714237138501, 'distribution': 'levy', 'factor': 0.6285253735213606, 'self_conf': 1.8206155939127355, 'swarm_conf': 1.3431309088962093, 'version': 'constriction'}. Best is trial 3 with value: 6.981163254885983.
[I 2024-12-30 00:03:12,421] Trial 5 finished with value: 4.8111658300326425 and parameters: {'scale': 0.7032507337762162, 'distribution': 'uniform', 'factor': 0.6133195649263601, 'self_conf': 2.8362245807792363, 'swarm_conf': 1.4601960979916886, 'version': 'inertial'}. Best is trial 5 with value: 4.8111658300326425.
[I 2024-12-30 00:03:12,721] Trial 6 finished with value: 3.4165891060108633 and parameters: {'scale': 0.1925598439390771, 'distribution': 'gaussian', 'factor': 0.12677515023263927, 'self_conf': 2.8799399360977977, 'swarm_conf': 1.5254002296991571, 'version': 'constriction'}. Best is trial 6 with value: 3.4165891060108633.
[I 2024-12-30 00:03:13,014] Trial 7 finished with value: 5.945918988940842 and parameters: {'scale': 0.6730876899582112, 'distribution': 'uniform', 'factor': 0.7945537416504923, 'self_conf': 1.1324409327568696, 'swarm_conf': 2.7077169423880383, 'version': 'constriction'}. Best is trial 6 with value: 3.4165891060108633.
[I 2024-12-30 00:03:13,302] Trial 8 finished with value: 4.815329207916944 and parameters: {'scale': 0.6291618250098578, 'distribution': 'gaussian', 'factor': 0.8134296477098779, 'self_conf': 2.7678556525540623, 'swarm_conf': 2.7759637377030453, 'version': 'constriction'}. Best is trial 6 with value: 3.4165891060108633.
[I 2024-12-30 00:03:13,606] Trial 9 finished with value: 6.646164727747165 and parameters: {'scale': 0.43776252350660655, 'distribution': 'uniform', 'factor': 0.5043932835966479, 'self_conf': 2.915984972477039, 'swarm_conf': 2.4883148094720693, 'version': 'inertial'}. Best is trial 6 with value: 3.4165891060108633.
[I 2024-12-30 00:03:13,909] Trial 10 finished with value: 4.089392265524309 and parameters: {'scale': 0.017408983547420376, 'distribution': 'gaussian', 'factor': 0.1290625540837832, 'self_conf': 2.282930783677248, 'swarm_conf': 1.0200906629179824, 'version': 'constriction'}. Best is trial 6 with value: 3.4165891060108633.
[I 2024-12-30 00:03:14,212] Trial 11 finished with value: 3.456689552110528 and parameters: {'scale': 0.01752704837978969, 'distribution': 'gaussian', 'factor': 0.12008905052717271, 'self_conf': 2.3765171855183556, 'swarm_conf': 1.0594074857013125, 'version': 'constriction'}. Best is trial 6 with value: 3.4165891060108633.
[I 2024-12-30 00:03:14,530] Trial 12 finished with value: 6.03049877672213 and parameters: {'scale': 0.02341045075720516, 'distribution': 'gaussian', 'factor': 0.24803951448052583, 'self_conf': 2.4980926511962736, 'swarm_conf': 1.0224511180048221, 'version': 'constriction'}. Best is trial 6 with value: 3.4165891060108633.
[I 2024-12-30 00:03:14,852] Trial 13 finished with value: 3.4952347904426935 and parameters: {'scale': 0.18801706750473526, 'distribution': 'gaussian', 'factor': 0.32154413266402027, 'self_conf': 2.5621002667164525, 'swarm_conf': 1.876493470650316, 'version': 'constriction'}. Best is trial 6 with value: 3.4165891060108633.
[I 2024-12-30 00:03:15,165] Trial 14 finished with value: 7.093997660821852 and parameters: {'scale': 0.864167972820836, 'distribution': 'gaussian', 'factor': 0.28875725567873123, 'self_conf': 2.2221401496476285, 'swarm_conf': 1.2574515857777333, 'version': 'constriction'}. Best is trial 6 with value: 3.4165891060108633.
