Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.9480267766386352, 'self_conf': 2.532928222685076, 'swarm_conf': 2.6085275807614825, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6075879498660249, 'angle': 18.336801276968053, 'sigma': 0.06082869697490708}
Mejor rendimiento encontrado:
1.9899190636865924

Stderr:
[I 2024-12-30 14:39:22,267] A new study created in memory with name: no-name-2362d0e5-2b7f-4e1d-a4c8-8425423342b9
[I 2024-12-30 14:39:25,209] Trial 0 finished with value: 2.9994484796278584 and parameters: {'factor': 0.7290825203880791, 'self_conf': 2.6206156974604777, 'swarm_conf': 2.1657599046487244, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6898034234366833, 'angle': 23.85064670497702, 'sigma': 0.08493082623819613}. Best is trial 0 with value: 2.9994484796278584.
[I 2024-12-30 14:39:25,686] Trial 1 finished with value: 6.271923702925821 and parameters: {'factor': 0.7581184557430057, 'self_conf': 2.760300005459529, 'swarm_conf': 2.854988599619349, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8394574076778261, 'angle': 23.489773139084853, 'sigma': 0.09549617420016449}. Best is trial 0 with value: 2.9994484796278584.
[I 2024-12-30 14:39:26,175] Trial 2 finished with value: 3.97983622837317 and parameters: {'factor': 0.5058971599640398, 'self_conf': 2.5177886583204585, 'swarm_conf': 2.069465443404934, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.40484445597450897, 'angle': 15.664859071594, 'sigma': 0.09614663700178935}. Best is trial 0 with value: 2.9994484796278584.
[I 2024-12-30 14:39:26,650] Trial 3 finished with value: 5.232782364842094 and parameters: {'factor': 0.21554214426101198, 'self_conf': 2.265099280829685, 'swarm_conf': 2.236341780456093, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.24980687305369403, 'angle': 15.143399176619486, 'sigma': 0.19590068105923716}. Best is trial 0 with value: 2.9994484796278584.
[I 2024-12-30 14:39:27,061] Trial 4 finished with value: 7.343795786204679 and parameters: {'factor': 0.892807103214956, 'self_conf': 2.703501449137306, 'swarm_conf': 2.355808137920989, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.8663552385802987, 'angle': 23.946892405012388, 'sigma': 0.10126877328471272}. Best is trial 0 with value: 2.9994484796278584.
[I 2024-12-30 14:39:27,490] Trial 5 finished with value: 6.010173350946803 and parameters: {'factor': 0.7045125981534149, 'self_conf': 2.3840572158143667, 'swarm_conf': 2.179140466702461, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.7366868802183978, 'angle': 24.70783649543901, 'sigma': 0.05557258552315994}. Best is trial 0 with value: 2.9994484796278584.
[I 2024-12-30 14:39:27,953] Trial 6 finished with value: 3.667321761852566 and parameters: {'factor': 0.7978363651070091, 'self_conf': 2.067326465890384, 'swarm_conf': 2.7066418821468954, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.6809823600975534, 'angle': 20.169376875678065, 'sigma': 0.12991495236981004}. Best is trial 0 with value: 2.9994484796278584.
[I 2024-12-30 14:39:28,323] Trial 7 finished with value: 3.224867520905402 and parameters: {'factor': 0.4915726639543084, 'self_conf': 2.4312157497328633, 'swarm_conf': 2.4986592115086013, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7647972260805971, 'angle': 15.898927501683879, 'sigma': 0.04103289464116474}. Best is trial 0 with value: 2.9994484796278584.
[I 2024-12-30 14:39:28,687] Trial 8 finished with value: 3.9798311935610453 and parameters: {'factor': 0.4088181522145417, 'self_conf': 2.6283860219555137, 'swarm_conf': 2.8766296953047465, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.26741598007637607, 'angle': 22.376671030890808, 'sigma': 0.025293457187256035}. Best is trial 0 with value: 2.9994484796278584.
[I 2024-12-30 14:39:29,070] Trial 9 finished with value: 4.131174782888476 and parameters: {'factor': 0.16143438123252915, 'self_conf': 2.374687371148076, 'swarm_conf': 2.0253416689093204, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7376537772146219, 'angle': 16.5280935922154, 'sigma': 0.11554850957476685}. Best is trial 0 with value: 2.9994484796278584.
[I 2024-12-30 14:39:29,466] Trial 10 finished with value: 4.424761577264118 and parameters: {'factor': 0.652426410777376, 'self_conf': 2.8827327602644153, 'swarm_conf': 2.462031251389097, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.5224794846955281, 'angle': 21.010703165264808, 'sigma': 0.1660146037317729}. Best is trial 0 with value: 2.9994484796278584.
[I 2024-12-30 14:39:29,854] Trial 11 finished with value: 4.383772548745694 and parameters: {'factor': 0.37944028026373006, 'self_conf': 2.9672787879302875, 'swarm_conf': 2.56318604143958, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5587782126696059, 'angle': 17.97504654161747, 'sigma': 0.03705276185235682}. Best is trial 0 with value: 2.9994484796278584.
[I 2024-12-30 14:39:30,230] Trial 12 finished with value: 1.9899190636865924 and parameters: {'factor': 0.9480267766386352, 'self_conf': 2.532928222685076, 'swarm_conf': 2.6085275807614825, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6075879498660249, 'angle': 18.336801276968053, 'sigma': 0.06082869697490708}. Best is trial 12 with value: 1.9899190636865924.
[I 2024-12-30 14:39:30,619] Trial 13 finished with value: 1.995796678998646 and parameters: {'factor': 0.9759634646306194, 'self_conf': 2.5678424999126546, 'swarm_conf': 2.694018874961346, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6064238669550241, 'angle': 18.205074383954805, 'sigma': 0.07257793148383371}. Best is trial 12 with value: 1.9899190636865924.
[I 2024-12-30 14:39:30,993] Trial 14 finished with value: 2.984877180690453 and parameters: {'factor': 0.9839493469633931, 'self_conf': 2.202794706619916, 'swarm_conf': 2.699045758322629, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.41637827939515415, 'angle': 18.550404791200457, 'sigma': 0.06713878986044738}. Best is trial 12 with value: 1.9899190636865924.
