Exit code: 0
Stdout:
rep = 1, x_best = [-1.94327859e-01 -1.94327859e-01  1.19434735e-10], f_best = 1.9899181141865796
rep = 2, x_best = [ 9.94394657e-11 -7.20688629e-10 -1.94327859e-01], f_best = 0.9949590570932898
rep = 3, x_best = [-6.60493385e-10 -5.43402758e-11  3.66692610e-10], f_best = 0.0
rep = 4, x_best = [ 1.94327859e-01  2.93678044e-10 -7.23489464e-10], f_best = 0.9949590570932898
rep = 5, x_best = [ 2.58261514e-10 -1.94327859e-01 -5.68799321e-10], f_best = 0.9949590570932898
rep = 6, x_best = [-1.81064223e-10  1.94327858e-01 -6.51875729e-10], f_best = 0.9949590570932898
rep = 7, x_best = [-5.30233005e-12  1.94327859e-01 -2.25108980e-10], f_best = 0.9949590570932898
rep = 8, x_best = [0.19432786 0.19432786 0.19432786], f_best = 2.9848771712798765
rep = 9, x_best = [-1.94327859e-01 -1.94327859e-01  2.38929606e-10], f_best = 1.9899181141865796
rep = 10, x_best = [-1.90174487e-10 -5.96513994e-10  1.94327859e-01], f_best = 0.9949590570932898
rep = 11, x_best = [ 2.88432845e-10  5.91120144e-10 -1.94327859e-01], f_best = 0.9949590570932898
rep = 12, x_best = [ 1.71252466e-10 -1.94327859e-01 -2.49963741e-10], f_best = 0.9949590570932898
rep = 13, x_best = [-4.32424985e-10 -3.02046437e-10 -1.94327859e-01], f_best = 0.9949590570932898
rep = 14, x_best = [-4.60254275e-10  2.64873505e-10 -1.94327858e-01], f_best = 0.9949590570932898
rep = 15, x_best = [1.94327859e-01 1.94327859e-01 6.13685030e-10], f_best = 1.9899181141865796
rep = 16, x_best = [-3.18211694e-10 -1.94327859e-01  7.11930448e-10], f_best = 0.9949590570932898
rep = 17, x_best = [ 1.94327859e-01  1.94327858e-01 -1.46291148e-10], f_best = 1.9899181141865796
rep = 18, x_best = [ 7.07293157e-10 -3.01878677e-11  8.42334276e-11], f_best = 0.0
rep = 19, x_best = [-4.70711615e-10 -1.19406434e-10 -1.94327859e-01], f_best = 0.9949590570932898
rep = 20, x_best = [1.94327859e-01 4.36739272e-11 6.43450906e-10], f_best = 0.9949590570932898
rep = 21, x_best = [ 5.16884798e-12  1.94327859e-01 -1.94327859e-01], f_best = 1.9899181141865796
rep = 22, x_best = [ 1.70395167e-10 -1.94327859e-01 -7.31318143e-10], f_best = 0.9949590570932898
rep = 23, x_best = [-1.94327858e-01 -9.12475462e-11 -1.94327858e-01], f_best = 1.9899181141865796
rep = 24, x_best = [ 9.21856428e-10  1.94327858e-01 -6.78471678e-10], f_best = 0.9949590570932969
rep = 25, x_best = [-7.90310189e-11  5.62404317e-10 -6.35725183e-10], f_best = 0.0
rep = 26, x_best = [-5.31336134e-10 -1.82439256e-10  1.94327859e-01], f_best = 0.9949590570932898
rep = 27, x_best = [ 9.93085488e-11 -5.67819730e-10  3.91156108e-10], f_best = 0.0
rep = 28, x_best = [ 1.94327859e-01 -2.28929144e-10  2.71895627e-10], f_best = 0.9949590570932898
rep = 29, x_best = [-4.67943493e-10 -1.94327859e-01 -1.94327859e-01], f_best = 1.9899181141865796
rep = 30, x_best = [6.73823787e-12 1.97974327e-11 1.98551579e-10], f_best = 0.0

Stderr:
