Exit code: 0
Stdout:
rep = 1, x_best = [ 2.29367730e-06 -8.91832962e-06  3.75475534e-06], f_best = 5.14330025680465e-07
rep = 2, x_best = [-1.94327859e-01  3.06971655e-10 -6.75344133e-10], f_best = 0.9949590570932898
rep = 3, x_best = [3.52535276e-11 3.28735531e-10 6.37535838e-10], f_best = 0.0
rep = 4, x_best = [ 3.26670872e-10 -7.15273678e-10  2.98049710e-10], f_best = 0.0
rep = 5, x_best = [-2.52487591e-10 -3.65325310e-10 -5.59875619e-10], f_best = 0.0
rep = 6, x_best = [-1.94327859e-01 -3.20517484e-10 -4.99096673e-10], f_best = 0.9949590570932898
rep = 7, x_best = [ 3.25976315e-10  6.17336069e-10 -4.90236321e-10], f_best = 0.0
rep = 8, x_best = [-2.92049351e-10 -6.37063794e-10  2.65491301e-10], f_best = 0.0
rep = 9, x_best = [1.38525984e-10 1.94327859e-01 5.72799457e-10], f_best = 0.9949590570932898
rep = 10, x_best = [ 2.77420841e-10  2.45077527e-10 -5.94644432e-10], f_best = 0.0
rep = 11, x_best = [-8.33306046e-11 -6.70582175e-10 -1.94327859e-01], f_best = 0.9949590570932898
rep = 12, x_best = [ 0.00114889  0.00059758 -0.00069431], f_best = 0.011228107207145399
rep = 13, x_best = [-1.94327858e-01  1.33030308e-10 -1.94327859e-01], f_best = 1.9899181141865796
rep = 14, x_best = [ 3.12119410e-10 -6.59689195e-10 -1.94327859e-01], f_best = 0.9949590570932898
rep = 15, x_best = [ 2.37902982e-10 -3.71596070e-10 -1.78666263e-11], f_best = 0.0
rep = 16, x_best = [-1.94327859e-01 -8.92618579e-12 -1.14110304e-10], f_best = 0.9949590570932898
rep = 17, x_best = [-1.92864110e-10  3.28337119e-10  1.94327859e-01], f_best = 0.9949590570932898
rep = 18, x_best = [-1.09944383e-10  5.81283059e-10  2.77714550e-10], f_best = 0.0
rep = 19, x_best = [-2.70687005e-10  5.20199522e-10 -2.24025332e-10], f_best = 0.0
rep = 20, x_best = [ 5.30538030e-10  7.24892244e-12 -6.12225103e-10], f_best = 0.0
rep = 21, x_best = [-2.03128653e-10  1.94327859e-01  9.35123900e-11], f_best = 0.9949590570932898
rep = 22, x_best = [-1.40659667e-10 -6.69893739e-10 -1.94327859e-01], f_best = 0.9949590570932898
rep = 23, x_best = [ 4.41935208e-11 -1.94327859e-01 -1.27145743e-10], f_best = 0.9949590570932898
rep = 24, x_best = [3.42383097e-10 2.97020291e-10 1.94327858e-01], f_best = 0.9949590570932898
rep = 25, x_best = [ 1.94327858e-01 -1.94327859e-01 -9.88118972e-11], f_best = 1.9899181141865796
rep = 26, x_best = [ 2.29369036e-10 -7.08756939e-10 -1.79222600e-10], f_best = 0.0
rep = 27, x_best = [2.72825554e-10 6.86348866e-10 1.75795921e-11], f_best = 0.0
rep = 28, x_best = [0.1985442  0.00169078 0.00254822], f_best = 1.135975495444093
rep = 29, x_best = [ 1.94327859e-01  3.23269464e-10 -6.20832373e-11], f_best = 0.9949590570932898
rep = 30, x_best = [-1.54746111e-11  1.94327859e-01  5.74398950e-10], f_best = 0.9949590570932898

Stderr:
