Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.41488118297369725, 'distribution': 'levy', 'gravity': 0.34553941327815024, 'alpha': 1.3602157228295886, 'beta': 1.8975963889372307, 'dt': 2.0518781300027085, 'expression': 'best', 'num_rands': 1, 'factor': 0.6132345908399812}
Mejor rendimiento encontrado:
4.086412339556636

Stderr:
[I 2024-12-30 17:46:41,507] A new study created in memory with name: no-name-1a65c22b-afde-4115-b610-8749640a523a
[I 2024-12-30 17:46:43,798] Trial 0 finished with value: 17.850918815064077 and parameters: {'scale': 0.5756145059589434, 'distribution': 'levy', 'gravity': 0.4905243406900977, 'alpha': 2.987271410732063, 'beta': 14.93434878163566, 'dt': 2.26828761002107, 'expression': 'current', 'num_rands': 2, 'factor': 1.2973642640031713}. Best is trial 0 with value: 17.850918815064077.
[I 2024-12-30 17:46:44,252] Trial 1 finished with value: 12.338524332181594 and parameters: {'scale': 0.3900368439808184, 'distribution': 'gaussian', 'gravity': 0.6137953869252625, 'alpha': 0.7229936021630452, 'beta': 11.100426676414948, 'dt': 1.196055638287972, 'expression': 'rand-to-best-and-current', 'num_rands': 3, 'factor': 1.7300500986600431}. Best is trial 1 with value: 12.338524332181594.
[I 2024-12-30 17:46:44,680] Trial 2 finished with value: 12.109924875601346 and parameters: {'scale': 0.49963137712111627, 'distribution': 'uniform', 'gravity': 0.6473243879251731, 'alpha': 0.9438074389084706, 'beta': 3.943068905360258, 'dt': 1.9159489276311477, 'expression': 'current-to-best', 'num_rands': 1, 'factor': 1.6016203771373387}. Best is trial 2 with value: 12.109924875601346.
[I 2024-12-30 17:46:45,104] Trial 3 finished with value: 13.78381250155782 and parameters: {'scale': 0.8295243746081731, 'distribution': 'gaussian', 'gravity': 0.8378909402365398, 'alpha': 2.415242803857763, 'beta': 20.55877511967072, 'dt': 1.2594643742434384, 'expression': 'rand', 'num_rands': 3, 'factor': 1.2185246396872031}. Best is trial 2 with value: 12.109924875601346.
[I 2024-12-30 17:46:45,528] Trial 4 finished with value: 20.050041170799247 and parameters: {'scale': 0.299754469597418, 'distribution': 'levy', 'gravity': 0.007523428504396104, 'alpha': 0.6374033953690763, 'beta': 1.6345457351915151, 'dt': 1.1089447251766293, 'expression': 'rand', 'num_rands': 3, 'factor': 1.8228806698622373}. Best is trial 2 with value: 12.109924875601346.
[I 2024-12-30 17:46:45,960] Trial 5 finished with value: 9.218225131965884 and parameters: {'scale': 0.541515488517569, 'distribution': 'uniform', 'gravity': 0.30676930148661014, 'alpha': 0.5531227817151765, 'beta': 18.546177860128868, 'dt': 1.0014728866973461, 'expression': 'rand-to-best', 'num_rands': 2, 'factor': 0.6116476865257714}. Best is trial 5 with value: 9.218225131965884.
[I 2024-12-30 17:46:46,376] Trial 6 finished with value: 16.191248534224798 and parameters: {'scale': 0.7716575607434658, 'distribution': 'uniform', 'gravity': 0.16112594344979625, 'alpha': 2.4332679908849704, 'beta': 9.556358167404541, 'dt': 1.7661816013872926, 'expression': 'rand', 'num_rands': 2, 'factor': 1.6431297188251202}. Best is trial 5 with value: 9.218225131965884.
[I 2024-12-30 17:46:46,791] Trial 7 finished with value: 25.405454999930438 and parameters: {'scale': 0.10814282959185206, 'distribution': 'uniform', 'gravity': 0.49962519060054794, 'alpha': 0.4171798675068581, 'beta': 9.774360027830241, 'dt': 1.7550849282636451, 'expression': 'current', 'num_rands': 2, 'factor': 1.5129360621419377}. Best is trial 5 with value: 9.218225131965884.
[I 2024-12-30 17:46:47,255] Trial 8 finished with value: 4.086412339556636 and parameters: {'scale': 0.41488118297369725, 'distribution': 'levy', 'gravity': 0.34553941327815024, 'alpha': 1.3602157228295886, 'beta': 1.8975963889372307, 'dt': 2.0518781300027085, 'expression': 'best', 'num_rands': 1, 'factor': 0.6132345908399812}. Best is trial 8 with value: 4.086412339556636.
[I 2024-12-30 17:46:47,685] Trial 9 finished with value: 20.685599125528526 and parameters: {'scale': 0.03775513827236174, 'distribution': 'levy', 'gravity': 0.17357982219470644, 'alpha': 1.0429594906505224, 'beta': 20.19006891170071, 'dt': 2.751301839301092, 'expression': 'rand-to-best', 'num_rands': 1, 'factor': 1.6052800470526503}. Best is trial 8 with value: 4.086412339556636.
[I 2024-12-30 17:46:48,136] Trial 10 finished with value: 4.950345257888405 and parameters: {'scale': 0.23685272027897078, 'distribution': 'levy', 'gravity': 0.30424424187957544, 'alpha': 1.635987963536878, 'beta': 5.87210013022837, 'dt': 2.4034403925231205, 'expression': 'best', 'num_rands': 1, 'factor': 0.5249904736684501}. Best is trial 8 with value: 4.086412339556636.
