Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.7921493637383673, 'self_conf': 1.3785178317108597, 'swarm_conf': 1.734394983111914, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.6671145344570681, 'angle': 19.309820701269466, 'sigma': 0.2804217612219863}
Mejor rendimiento encontrado:
2.3798255802514854

Stderr:
[I 2024-12-30 19:54:13,101] A new study created in memory with name: no-name-deab4a28-6f3a-4ecc-b23f-fd53fa1fd900
[I 2024-12-30 19:54:15,175] Trial 0 finished with value: 7.213449525515925 and parameters: {'factor': 0.6061523099552757, 'self_conf': 2.1761767119394757, 'swarm_conf': 1.3045798871479855, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.25080856615882924, 'angle': 3.1559170232974147, 'sigma': 0.10783599481514461}. Best is trial 0 with value: 7.213449525515925.
[I 2024-12-30 19:54:15,459] Trial 1 finished with value: 3.770575695156011 and parameters: {'factor': 0.2549249415766996, 'self_conf': 1.0803926059163556, 'swarm_conf': 2.715110031925467, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6013555713366161, 'angle': 11.96265156987361, 'sigma': 0.015515540547967454}. Best is trial 1 with value: 3.770575695156011.
[I 2024-12-30 19:54:15,716] Trial 2 finished with value: 5.599672607222474 and parameters: {'factor': 0.8943865007964289, 'self_conf': 1.27401368301439, 'swarm_conf': 1.6991467711219588, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.17366251898772164, 'angle': 9.3076182750584, 'sigma': 0.1786032933677626}. Best is trial 1 with value: 3.770575695156011.
[I 2024-12-30 19:54:15,959] Trial 3 finished with value: 4.777423358162988 and parameters: {'factor': 0.7301925119887314, 'self_conf': 2.5103281598243283, 'swarm_conf': 1.728411252970762, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.4848456899768224, 'angle': 9.338619248231733, 'sigma': 0.08327607997690245}. Best is trial 1 with value: 3.770575695156011.
[I 2024-12-30 19:54:16,202] Trial 4 finished with value: 2.744565338664154 and parameters: {'factor': 0.725119765302269, 'self_conf': 1.514359193013933, 'swarm_conf': 1.1510237886712475, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.6955562251626588, 'angle': 4.627341930459215, 'sigma': 0.019931930129386294}. Best is trial 4 with value: 2.744565338664154.
[I 2024-12-30 19:54:16,448] Trial 5 finished with value: 2.3798255802514854 and parameters: {'factor': 0.7921493637383673, 'self_conf': 1.3785178317108597, 'swarm_conf': 1.734394983111914, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.6671145344570681, 'angle': 19.309820701269466, 'sigma': 0.2804217612219863}. Best is trial 5 with value: 2.3798255802514854.
[I 2024-12-30 19:54:16,690] Trial 6 finished with value: 8.15218588456445 and parameters: {'factor': 0.280693552811283, 'self_conf': 2.977031598109063, 'swarm_conf': 2.8973677660153463, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.7375296422531904, 'angle': 21.172618268397066, 'sigma': 0.24248057004364665}. Best is trial 5 with value: 2.3798255802514854.
[I 2024-12-30 19:54:16,931] Trial 7 finished with value: 13.720451822571622 and parameters: {'factor': 0.5097515834550995, 'self_conf': 1.9311092100422778, 'swarm_conf': 2.2067737370452383, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.8325331628078971, 'angle': 4.842769024773355, 'sigma': 0.030904053196120152}. Best is trial 5 with value: 2.3798255802514854.
[I 2024-12-30 19:54:17,173] Trial 8 finished with value: 3.661899603367817 and parameters: {'factor': 0.6299400594968058, 'self_conf': 2.2674163847885316, 'swarm_conf': 1.6189374939666827, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.4426389129661929, 'angle': 11.779784500149026, 'sigma': 0.29502764565243295}. Best is trial 5 with value: 2.3798255802514854.
[I 2024-12-30 19:54:17,424] Trial 9 finished with value: 3.731096473945569 and parameters: {'factor': 0.7707025545570111, 'self_conf': 2.0864756710118293, 'swarm_conf': 2.0692082474246165, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.4090469005964025, 'angle': 10.039818814822992, 'sigma': 0.19211622727853742}. Best is trial 5 with value: 2.3798255802514854.
[I 2024-12-30 19:54:17,669] Trial 10 finished with value: 8.456242297595807 and parameters: {'factor': 0.40392938183979965, 'self_conf': 1.6251169678538941, 'swarm_conf': 2.3869119567280226, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.8803138208251039, 'angle': 20.737948302078202, 'sigma': 0.27942431839345255}. Best is trial 5 with value: 2.3798255802514854.
[I 2024-12-30 19:54:17,914] Trial 11 finished with value: 3.5045803165044136 and parameters: {'factor': 0.8736634808161585, 'self_conf': 1.5145452211147272, 'swarm_conf': 1.0140064931133885, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.6531182728095262, 'angle': 16.988148665422774, 'sigma': 0.12248556940744193}. Best is trial 5 with value: 2.3798255802514854.
[I 2024-12-30 19:54:18,174] Trial 12 finished with value: 5.390785829285384 and parameters: {'factor': 0.11257929600869054, 'self_conf': 1.5774294828589994, 'swarm_conf': 1.0013868074301868, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.6426845355740558, 'angle': 17.079380337668677, 'sigma': 0.22701468177210038}. Best is trial 5 with value: 2.3798255802514854.
[I 2024-12-30 19:54:18,425] Trial 13 finished with value: 3.44404444800466 and parameters: {'factor': 0.7317651963248649, 'self_conf': 1.0186299276223012, 'swarm_conf': 1.3610743483636363, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.7683741233263246, 'angle': 24.01322402549928, 'sigma': 0.06205679034015732}. Best is trial 5 with value: 2.3798255802514854.
[I 2024-12-30 19:54:18,669] Trial 14 finished with value: 5.4722792831158635 and parameters: {'factor': 0.6406111908138442, 'self_conf': 1.3529867039025532, 'swarm_conf': 1.378574311254013, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5683922677205212, 'angle': 16.31338935510986, 'sigma': 0.15872876860474178}. Best is trial 5 with value: 2.3798255802514854.
