Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'probability': 0.751987193677899, 'scale': 0.5827626962558283, 'distribution': 'gaussian', 'radius': 0.5959438100840236, 'angle': 16.70887993039201, 'sigma': 0.14606031426842916, 'factor': 0.7553358938776729, 'self_conf': 1.55445580040638, 'swarm_conf': 2.9790877042104738, 'version': 'constriction'}
Mejor rendimiento encontrado:
1.776696397703847

Stderr:
[I 2024-12-30 20:50:51,764] A new study created in memory with name: no-name-592ecffd-923a-4174-8c05-df55abeed231
[I 2024-12-30 20:50:53,984] Trial 0 finished with value: 2.5680143808656695 and parameters: {'probability': 0.5758346342590832, 'scale': 0.5130860998498943, 'distribution': 'levy', 'radius': 0.8906887444901256, 'angle': 20.48373206318666, 'sigma': 0.09496564962711862, 'factor': 0.8000516711794592, 'self_conf': 2.8281302943015563, 'swarm_conf': 2.4028001240240293, 'version': 'constriction'}. Best is trial 0 with value: 2.5680143808656695.
[I 2024-12-30 20:50:54,431] Trial 1 finished with value: 3.9846933625488097 and parameters: {'probability': 0.5023626656061909, 'scale': 1.0912312019294537, 'distribution': 'levy', 'radius': 0.7150838754642835, 'angle': 17.950351440511557, 'sigma': 0.12072608475680377, 'factor': 0.6986516403636157, 'self_conf': 2.4585579825821147, 'swarm_conf': 1.6804162988762197, 'version': 'inertial'}. Best is trial 0 with value: 2.5680143808656695.
[I 2024-12-30 20:50:54,843] Trial 2 finished with value: 2.868861086642365 and parameters: {'probability': 0.5786100873880431, 'scale': 0.8419281228435499, 'distribution': 'gaussian', 'radius': 0.7247621314224666, 'angle': 24.60653421820924, 'sigma': 0.012547260235255936, 'factor': 0.5611881734218287, 'self_conf': 2.167051857140397, 'swarm_conf': 1.965666720046888, 'version': 'constriction'}. Best is trial 0 with value: 2.5680143808656695.
[I 2024-12-30 20:50:55,259] Trial 3 finished with value: 2.9898701027301398 and parameters: {'probability': 0.8923444734153273, 'scale': 0.4358226013187698, 'distribution': 'uniform', 'radius': 0.6506512975136486, 'angle': 11.123068419572396, 'sigma': 0.07894491956555588, 'factor': 0.8219688270658239, 'self_conf': 2.414027380313014, 'swarm_conf': 2.476222242129235, 'version': 'constriction'}. Best is trial 0 with value: 2.5680143808656695.
[I 2024-12-30 20:50:55,662] Trial 4 finished with value: 1.8779535661667515 and parameters: {'probability': 0.6893927732736241, 'scale': 0.4620237121879508, 'distribution': 'gaussian', 'radius': 0.6101357005856402, 'angle': 18.386309786632044, 'sigma': 0.11126263114231051, 'factor': 0.6990552414957385, 'self_conf': 1.6021727643028436, 'swarm_conf': 2.044421975220458, 'version': 'constriction'}. Best is trial 4 with value: 1.8779535661667515.
[I 2024-12-30 20:50:56,075] Trial 5 finished with value: 2.2520004288112343 and parameters: {'probability': 0.6574509529635927, 'scale': 0.7246392785153138, 'distribution': 'levy', 'radius': 0.6878830162295961, 'angle': 14.479889943196763, 'sigma': 0.03286232621600826, 'factor': 0.5543662415647675, 'self_conf': 1.6495815836350174, 'swarm_conf': 2.714032408564897, 'version': 'constriction'}. Best is trial 4 with value: 1.8779535661667515.
[I 2024-12-30 20:50:56,489] Trial 6 finished with value: 3.383506678299078 and parameters: {'probability': 0.7987474515191798, 'scale': 1.0208687004536479, 'distribution': 'gaussian', 'radius': 0.755053859255501, 'angle': 14.3279485388426, 'sigma': 0.093688242388125, 'factor': 0.8584252185648783, 'self_conf': 1.8123035576084217, 'swarm_conf': 2.132834443180327, 'version': 'inertial'}. Best is trial 4 with value: 1.8779535661667515.
[I 2024-12-30 20:50:56,888] Trial 7 finished with value: 1.969252520209241 and parameters: {'probability': 0.6729048681685148, 'scale': 0.4922958208268707, 'distribution': 'gaussian', 'radius': 0.5821521471973838, 'angle': 18.738729230281137, 'sigma': 0.14732845167335962, 'factor': 0.5360249610682548, 'self_conf': 1.1669987430147089, 'swarm_conf': 2.7767208153614953, 'version': 'constriction'}. Best is trial 4 with value: 1.8779535661667515.
[I 2024-12-30 20:50:57,313] Trial 8 finished with value: 1.9736150928547387 and parameters: {'probability': 0.5878329806261419, 'scale': 0.31639814350737727, 'distribution': 'levy', 'radius': 0.5481288703669851, 'angle': 18.978412762240623, 'sigma': 0.10391488596636857, 'factor': 0.5278402073683724, 'self_conf': 1.2712516262489317, 'swarm_conf': 2.282753758379937, 'version': 'inertial'}. Best is trial 4 with value: 1.8779535661667515.
[I 2024-12-30 20:50:57,735] Trial 9 finished with value: 2.1303528493828408 and parameters: {'probability': 0.5309340194240708, 'scale': 0.8654396799867455, 'distribution': 'gaussian', 'radius': 0.5456326975458956, 'angle': 21.514695329727658, 'sigma': 0.16098193688258122, 'factor': 0.5513375970783035, 'self_conf': 1.4188538770818464, 'swarm_conf': 1.1175941919392773, 'version': 'constriction'}. Best is trial 4 with value: 1.8779535661667515.
[I 2024-12-30 20:50:58,168] Trial 10 finished with value: 3.189317438909649 and parameters: {'probability': 0.7658748273460908, 'scale': 1.420323006673987, 'distribution': 'uniform', 'radius': 0.8508190462925025, 'angle': 15.547242950182083, 'sigma': 0.19186831558675826, 'factor': 0.6875357410811279, 'self_conf': 1.0338856837124084, 'swarm_conf': 1.5290668663532099, 'version': 'inertial'}. Best is trial 4 with value: 1.8779535661667515.
[I 2024-12-30 20:50:58,611] Trial 11 finished with value: 2.9630558251499215 and parameters: {'probability': 0.691148050902862, 'scale': 0.19226215986455175, 'distribution': 'gaussian', 'radius': 0.6207282904164617, 'angle': 22.615073512186953, 'sigma': 0.1446548165885075, 'factor': 0.6338573389444391, 'self_conf': 1.0089396176305712, 'swarm_conf': 2.990161153480696, 'version': 'constriction'}. Best is trial 4 with value: 1.8779535661667515.
[I 2024-12-30 20:50:59,044] Trial 12 finished with value: 1.776696397703847 and parameters: {'probability': 0.751987193677899, 'scale': 0.5827626962558283, 'distribution': 'gaussian', 'radius': 0.5959438100840236, 'angle': 16.70887993039201, 'sigma': 0.14606031426842916, 'factor': 0.7553358938776729, 'self_conf': 1.55445580040638, 'swarm_conf': 2.9790877042104738, 'version': 'constriction'}. Best is trial 12 with value: 1.776696397703847.
[I 2024-12-30 20:50:59,480] Trial 13 finished with value: 1.946524153058025 and parameters: {'probability': 0.7657152123203388, 'scale': 0.6868322252652399, 'distribution': 'gaussian', 'radius': 0.6107244690107736, 'angle': 16.152218253220575, 'sigma': 0.06492673975816136, 'factor': 0.7555202218692951, 'self_conf': 1.5698261888011125, 'swarm_conf': 1.012755815305994, 'version': 'constriction'}. Best is trial 12 with value: 1.776696397703847.
[I 2024-12-30 20:50:59,923] Trial 14 finished with value: 1.9912320906745933 and parameters: {'probability': 0.8292407022275977, 'scale': 0.21183689878403822, 'distribution': 'gaussian', 'radius': 0.5046608158923329, 'angle': 11.777095426812842, 'sigma': 0.18300625503761414, 'factor': 0.7541903037883687, 'self_conf': 1.933609825050027, 'swarm_conf': 1.761310729329696, 'version': 'constriction'}. Best is trial 12 with value: 1.776696397703847.
