Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.07618467237106213, 'distribution': 'uniform', 'gravity': 0.3040063757587233, 'alpha': 0.34900597661908556, 'beta': 2.6308955180696776, 'dt': 1.069386917678436, 'expression': 'current', 'factor': 2.468493330995613}
Mejor rendimiento encontrado:
4.150834398108308

Stderr:
[I 2024-12-30 21:06:15,818] A new study created in memory with name: no-name-07ac80c4-3721-4a34-a490-9a300ff65a8b
[I 2024-12-30 21:06:18,651] Trial 0 finished with value: 7.869400129196738 and parameters: {'scale': 0.13066797232044386, 'distribution': 'uniform', 'gravity': 0.7855490800202117, 'alpha': 0.41443731421786695, 'beta': 2.7275937480140886, 'dt': 0.6977514452606124, 'expression': 'current', 'factor': 2.290693274947057}. Best is trial 0 with value: 7.869400129196738.
[I 2024-12-30 21:06:19,185] Trial 1 finished with value: 10.850865000821987 and parameters: {'scale': 0.8054161056503165, 'distribution': 'gaussian', 'gravity': 0.6525982170135595, 'alpha': 1.848317947700252, 'beta': 1.9313461791970898, 'dt': 0.16167102938517713, 'expression': 'best', 'factor': 1.406409137769362}. Best is trial 0 with value: 7.869400129196738.
[I 2024-12-30 21:06:19,698] Trial 2 finished with value: 14.230525212119224 and parameters: {'scale': 0.23849328173243933, 'distribution': 'uniform', 'gravity': 0.8378861220118631, 'alpha': 1.4037658631077858, 'beta': 2.986909988047056, 'dt': 2.883628478152681, 'expression': 'current', 'factor': 1.3563149069050617}. Best is trial 0 with value: 7.869400129196738.
[I 2024-12-30 21:06:20,185] Trial 3 finished with value: 7.227955235580586 and parameters: {'scale': 0.8483699350905555, 'distribution': 'uniform', 'gravity': 0.2905117087646983, 'alpha': 0.4655266824170141, 'beta': 2.5756280594868377, 'dt': 2.761588947199043, 'expression': 'current', 'factor': 2.806303686282903}. Best is trial 3 with value: 7.227955235580586.
[I 2024-12-30 21:06:20,709] Trial 4 finished with value: 9.936511947131315 and parameters: {'scale': 0.8553552847551583, 'distribution': 'uniform', 'gravity': 0.6013876564426118, 'alpha': 2.3047558683301, 'beta': 2.8862065782214, 'dt': 2.149642492131819, 'expression': 'rand', 'factor': 0.9088547683393109}. Best is trial 3 with value: 7.227955235580586.
[I 2024-12-30 21:06:21,205] Trial 5 finished with value: 19.679465552308862 and parameters: {'scale': 0.3025471767244993, 'distribution': 'uniform', 'gravity': 0.797513131053388, 'alpha': 1.511616267009557, 'beta': 1.701752433946898, 'dt': 1.1180754605051246, 'expression': 'rand', 'factor': 2.9199694439675787}. Best is trial 3 with value: 7.227955235580586.
[I 2024-12-30 21:06:21,671] Trial 6 finished with value: 15.960435408180048 and parameters: {'scale': 0.5919467072755648, 'distribution': 'gaussian', 'gravity': 0.4885361215203589, 'alpha': 2.4446473876067865, 'beta': 1.5457783861047203, 'dt': 0.2525544171697799, 'expression': 'rand', 'factor': 2.146902741415307}. Best is trial 3 with value: 7.227955235580586.
[I 2024-12-30 21:06:22,110] Trial 7 finished with value: 19.84182164620941 and parameters: {'scale': 0.232748942427292, 'distribution': 'levy', 'gravity': 0.18621136840515992, 'alpha': 2.416977809944865, 'beta': 2.5046070919863213, 'dt': 0.4999238480644394, 'expression': 'current', 'factor': 2.8704196213939017}. Best is trial 3 with value: 7.227955235580586.
[I 2024-12-30 21:06:22,550] Trial 8 finished with value: 12.419044404326819 and parameters: {'scale': 0.5275002977497117, 'distribution': 'uniform', 'gravity': 0.43105263188810183, 'alpha': 2.9240568777150733, 'beta': 1.938124084924031, 'dt': 2.80740367830783, 'expression': 'best', 'factor': 2.365550394720141}. Best is trial 3 with value: 7.227955235580586.
[I 2024-12-30 21:06:22,997] Trial 9 finished with value: 12.438172212564211 and parameters: {'scale': 0.516280202650093, 'distribution': 'uniform', 'gravity': 0.4765858381415619, 'alpha': 1.131272951103854, 'beta': 2.762237204559056, 'dt': 2.7838286021297396, 'expression': 'rand', 'factor': 1.960761933208464}. Best is trial 3 with value: 7.227955235580586.
[I 2024-12-30 21:06:23,436] Trial 10 finished with value: 11.862432054597111 and parameters: {'scale': 0.7011968763758426, 'distribution': 'levy', 'gravity': 0.02158633983008562, 'alpha': 0.0670537226711363, 'beta': 2.344682217985673, 'dt': 1.9475515225049578, 'expression': 'current', 'factor': 0.19984200655995}. Best is trial 3 with value: 7.227955235580586.
