Exit code: 0
Stdout:
rep = 1, x_best = [ 5.81597847e-10 -3.24885797e-10  3.02940256e-11], f_best = 0.0
rep = 2, x_best = [-1.94327859e-01  1.51080048e-10  1.94327859e-01], f_best = 1.9899181141865796
rep = 3, x_best = [ 0.19432786 -0.19432786  0.19432786], f_best = 2.9848771712798694
rep = 4, x_best = [2.06552906e-10 6.31504494e-10 1.94327859e-01], f_best = 0.9949590570932898
rep = 5, x_best = [2.37339207e-11 2.27770581e-10 1.94327859e-01], f_best = 0.9949590570932898
rep = 6, x_best = [ 7.55471801e-11  1.94327859e-01 -4.45879538e-10], f_best = 0.9949590570932898
rep = 7, x_best = [1.83554725e-10 3.09701179e-10 1.94327859e-01], f_best = 0.9949590570932898
rep = 8, x_best = [-3.06997854e-10 -4.31589921e-10 -5.75680609e-10], f_best = 0.0
rep = 9, x_best = [ 1.94327859e-01  2.32089555e-10 -5.53793964e-10], f_best = 0.9949590570932898
rep = 10, x_best = [ 4.78711598e-10 -2.17334466e-10  4.37807690e-10], f_best = 0.0
rep = 11, x_best = [-2.70506597e-10 -4.87126154e-10 -1.94327859e-01], f_best = 0.9949590570932898
rep = 12, x_best = [ 1.94327859e-01  1.94327859e-01 -2.86438866e-10], f_best = 1.9899181141865796
rep = 13, x_best = [2.09498716e-10 1.28455550e-10 6.74903556e-10], f_best = 0.0
rep = 14, x_best = [2.74497231e-10 1.94327859e-01 6.86144156e-10], f_best = 0.9949590570932898
rep = 15, x_best = [-1.77794792e-10 -6.81282885e-11  2.60796467e-11], f_best = 0.0
rep = 16, x_best = [ 3.56403652e-11  5.52638044e-10 -6.18140143e-10], f_best = 0.0
rep = 17, x_best = [ 1.94327858e-01 -2.40803624e-10  2.60332194e-10], f_best = 0.9949590570932898
rep = 18, x_best = [-2.53152638e-10  1.94327858e-01  1.43489026e-10], f_best = 0.9949590570932898
rep = 19, x_best = [ 8.38863998e-11  1.94327859e-01 -5.06707556e-10], f_best = 0.9949590570932898
rep = 20, x_best = [-1.94327859e-01  4.51837848e-11 -1.08403398e-11], f_best = 0.9949590570932898
rep = 21, x_best = [-1.94327859e-01 -5.38034907e-11 -1.94327859e-01], f_best = 1.9899181141865796
rep = 22, x_best = [-3.11825362e-11 -7.31582197e-10 -1.94327860e-01], f_best = 0.9949590570932898
rep = 23, x_best = [-3.22713547e-11  1.94327859e-01 -5.06048806e-11], f_best = 0.9949590570932898
rep = 24, x_best = [-1.57752695e-10 -6.34955576e-10 -3.08418801e-10], f_best = 0.0
rep = 25, x_best = [ 2.48564714e-10 -1.94327859e-01  8.69679955e-11], f_best = 0.9949590570932898
rep = 26, x_best = [-5.51202096e-10  1.58758946e-10 -5.81155471e-10], f_best = 0.0
rep = 27, x_best = [-1.15397533e-09  1.94327859e-01  1.94327858e-01], f_best = 1.9899181141865867
rep = 28, x_best = [4.68998999e-10 3.79690385e-11 4.70020473e-10], f_best = 0.0
rep = 29, x_best = [3.04821596e-10 1.94327859e-01 6.04466521e-10], f_best = 0.9949590570932898
rep = 30, x_best = [1.84259158e-10 1.94327859e-01 3.28400644e-10], f_best = 0.9949590570932898

Stderr:
