Exit code: 0
Stdout:
rep = 1, x_best = [ 1.94327859e-01  1.94327859e-01 -1.25161686e-11], f_best = 1.9899181141865796
rep = 2, x_best = [-6.50158321e-11  1.94327859e-01 -1.94327859e-01], f_best = 1.9899181141865796
rep = 3, x_best = [ 1.94327860e-01 -1.94327858e-01 -4.95143492e-10], f_best = 1.9899181141865867
rep = 4, x_best = [ 4.08630374e-10  1.94327859e-01 -8.32541224e-11], f_best = 0.9949590570932898
rep = 5, x_best = [ 4.09486895e-10 -1.94327860e-01  1.94327859e-01], f_best = 1.9899181141865867
rep = 6, x_best = [-2.85309583e-10  1.94327859e-01  1.94327858e-01], f_best = 1.9899181141865796
rep = 7, x_best = [ 3.19786272e-10 -1.94327859e-01  1.94327859e-01], f_best = 1.9899181141865796
rep = 8, x_best = [-3.57577252e-08 -3.25628108e-07 -1.94327110e-01], f_best = 0.9949590605679894
rep = 9, x_best = [-2.95959807e-10  6.06356132e-10  1.94327859e-01], f_best = 0.9949590570932898
rep = 10, x_best = [ 0.19432786  0.19432786 -0.19432786], f_best = 2.9848771712798765
rep = 11, x_best = [1.97430626e-10 1.94327859e-01 1.19594087e-10], f_best = 0.9949590570932898
rep = 12, x_best = [ 1.94327858e-01  9.92041789e-12 -1.94327859e-01], f_best = 1.9899181141865796
rep = 13, x_best = [ 1.94327859e-01 -1.09280986e-10  1.30766839e-11], f_best = 0.9949590570932898
rep = 14, x_best = [-4.12150754e-10 -1.94327859e-01  3.56852883e-10], f_best = 0.9949590570932898
rep = 15, x_best = [-0.19432786 -0.19432786  0.19432786], f_best = 2.9848771712798694
rep = 16, x_best = [ 3.88181241e-10  1.94327859e-01 -6.78679325e-10], f_best = 0.9949590570932898
rep = 17, x_best = [7.76108110e-11 1.94327859e-01 1.94327859e-01], f_best = 1.9899181141865796
rep = 18, x_best = [2.50189981e-10 1.94327859e-01 3.76028287e-10], f_best = 0.9949590570932898
rep = 19, x_best = [ 2.55273061e-10  1.94327859e-01 -3.02736123e-10], f_best = 0.9949590570932898
rep = 20, x_best = [1.94327859e-01 1.94327859e-01 1.36018940e-10], f_best = 1.9899181141865796
rep = 21, x_best = [ 3.15984179e-10  1.93157401e-10 -1.94327859e-01], f_best = 0.9949590570932898
rep = 22, x_best = [-0.19432786 -0.19432786 -0.19432786], f_best = 2.9848771712798694
rep = 23, x_best = [2.05451285e-10 7.22178402e-11 4.17238721e-10], f_best = 0.0
rep = 24, x_best = [ 9.04726762e-11  1.94327859e-01 -5.19483601e-10], f_best = 0.9949590570932898
rep = 25, x_best = [-1.59787500e-10  5.89041347e-10 -3.55723221e-10], f_best = 0.0
rep = 26, x_best = [-1.18476220e-09 -1.94327859e-01  1.94327859e-01], f_best = 1.9899181141865867
rep = 27, x_best = [1.94327860e-01 1.94327860e-01 5.20480464e-10], f_best = 1.9899181141865867
rep = 28, x_best = [1.17462621e-08 1.94327863e-01 3.17993650e-08], f_best = 0.9949590570993436
rep = 29, x_best = [-1.94327859e-01 -5.82818530e-11  1.94327859e-01], f_best = 1.9899181141865796
rep = 30, x_best = [-1.94327858e-01  1.94327859e-01  2.91090426e-10], f_best = 1.9899181141865796

Stderr:
