Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.4786976333368417, 'angle': 3.0978348771027124, 'sigma': 0.21707723371157286, 'factor': 0.517947674992746, 'self_conf': 2.5, 'swarm_conf': 2.6349021736090843, 'scale': 1.0, 'beta': 1.5}
Mejor rendimiento encontrado:
3.051474235330314

Stderr:
[I 2024-11-19 23:05:38,660] A new study created in memory with name: no-name-f7caba34-07b1-4980-b970-7d24b1d35a7f
[I 2024-11-19 23:05:41,985] Trial 0 finished with value: 3.051474235330314 and parameters: {'radius': 0.4786976333368417, 'angle': 3.0978348771027124, 'sigma': 0.21707723371157286, 'factor': 0.517947674992746, 'self_conf': 2.5, 'swarm_conf': 2.6349021736090843, 'scale': 1.0, 'beta': 1.5}. Best is trial 0 with value: 3.051474235330314.
[I 2024-11-19 23:05:43,004] Trial 1 finished with value: 9.247826393467381 and parameters: {'radius': 0.6749533585061015, 'angle': 7.0057914272691875, 'sigma': 0.1409512183842458, 'factor': 0.17049812460112135, 'self_conf': 2.5, 'swarm_conf': 2.708326505739719, 'scale': 1.0, 'beta': 1.5}. Best is trial 0 with value: 3.051474235330314.
[I 2024-11-19 23:05:44,027] Trial 2 finished with value: 12.68570781530361 and parameters: {'radius': 0.2642135091485253, 'angle': 12.716973426194945, 'sigma': 0.18077581730016185, 'factor': 0.20520157985958642, 'self_conf': 2.5, 'swarm_conf': 2.930374275863153, 'scale': 1.0, 'beta': 1.5}. Best is trial 0 with value: 3.051474235330314.
[I 2024-11-19 23:05:45,010] Trial 3 finished with value: 4.977853746484529 and parameters: {'radius': 0.3858483108271739, 'angle': 5.471373217452121, 'sigma': 0.21109320234502463, 'factor': 0.8807903203722778, 'self_conf': 2.5, 'swarm_conf': 2.826787793642792, 'scale': 1.0, 'beta': 1.5}. Best is trial 0 with value: 3.051474235330314.
[I 2024-11-19 23:05:46,031] Trial 4 finished with value: 8.457144428564355 and parameters: {'radius': 0.2548661003533512, 'angle': 7.561887808939633, 'sigma': 0.2850801884431937, 'factor': 0.5774897420763323, 'self_conf': 2.5, 'swarm_conf': 2.725113696056555, 'scale': 1.0, 'beta': 1.5}. Best is trial 0 with value: 3.051474235330314.
[I 2024-11-19 23:05:47,100] Trial 5 finished with value: 5.187234017510033 and parameters: {'radius': 0.4332730525121338, 'angle': 11.046562345861336, 'sigma': 0.09512815136899976, 'factor': 0.4447585853438649, 'self_conf': 2.5, 'swarm_conf': 2.79535966671539, 'scale': 1.0, 'beta': 1.5}. Best is trial 0 with value: 3.051474235330314.
[I 2024-11-19 23:05:48,164] Trial 6 finished with value: 8.208407183874963 and parameters: {'radius': 0.24876037741789797, 'angle': 3.1935494439410608, 'sigma': 0.19625429441820158, 'factor': 0.515148690224306, 'self_conf': 2.5, 'swarm_conf': 2.7488732578843615, 'scale': 1.0, 'beta': 1.5}. Best is trial 0 with value: 3.051474235330314.
[I 2024-11-19 23:05:49,189] Trial 7 finished with value: 4.972595402662673 and parameters: {'radius': 0.3248927229318033, 'angle': 7.1872337700498035, 'sigma': 0.24893339178423812, 'factor': 0.8724225886279051, 'self_conf': 2.5, 'swarm_conf': 2.714880408605996, 'scale': 1.0, 'beta': 1.5}. Best is trial 0 with value: 3.051474235330314.
[I 2024-11-19 23:05:50,489] Trial 8 finished with value: 15.421830074774329 and parameters: {'radius': 0.11766840457374023, 'angle': 13.299266009522302, 'sigma': 0.017681876618133342, 'factor': 0.4119585816284754, 'self_conf': 2.5, 'swarm_conf': 2.6937706117710682, 'scale': 1.0, 'beta': 1.5}. Best is trial 0 with value: 3.051474235330314.
[I 2024-11-19 23:05:51,647] Trial 9 finished with value: 16.21956080309546 and parameters: {'radius': 0.7014878168835093, 'angle': 13.424104882423801, 'sigma': 0.2071472925021736, 'factor': 0.8783308132601572, 'self_conf': 2.5, 'swarm_conf': 2.906737920789204, 'scale': 1.0, 'beta': 1.5}. Best is trial 0 with value: 3.051474235330314.
[I 2024-11-19 23:05:52,810] Trial 10 finished with value: 19.27465830139451 and parameters: {'radius': 0.8825800368155239, 'angle': 2.629882142662238, 'sigma': 0.1214061006869857, 'factor': 0.652825237763202, 'self_conf': 2.5, 'swarm_conf': 2.5926968448266288, 'scale': 1.0, 'beta': 1.5}. Best is trial 0 with value: 3.051474235330314.
