Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.7105257267251734, 'angle': 1.0550135041167001, 'sigma': 0.2987575502829702, 'factor': 0.7796097139729102, 'self_conf': 1.3883131575281085, 'swarm_conf': 1.2198968209083765, 'version': 'constriction', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
2.588229793283789

Stderr:
[I 2024-11-20 08:20:21,236] A new study created in memory with name: no-name-0b28f55e-ea79-4626-8a16-ebf94c9e3771
[I 2024-11-20 08:20:24,229] Trial 0 finished with value: 5.976487513177116 and parameters: {'radius': 0.45334439623853673, 'angle': 7.297636269623629, 'sigma': 0.19351215399817612, 'factor': 0.2911171128292172, 'self_conf': 1.7263502334650886, 'swarm_conf': 1.9790542742411021, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 0 with value: 5.976487513177116.
[I 2024-11-20 08:20:25,120] Trial 1 finished with value: 24.02689532075901 and parameters: {'radius': 0.6499745717467066, 'angle': 10.683108585460559, 'sigma': 0.09277932099005401, 'factor': 0.7665719889675339, 'self_conf': 2.2000913462452516, 'swarm_conf': 2.384233776024999, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 0 with value: 5.976487513177116.
[I 2024-11-20 08:20:26,079] Trial 2 finished with value: 23.381478579160962 and parameters: {'radius': 0.10241702174433441, 'angle': 7.86586462710852, 'sigma': 0.07151677839107001, 'factor': 0.7711181424531905, 'self_conf': 2.1901908704066257, 'swarm_conf': 1.9578110001829123, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 0 with value: 5.976487513177116.
[I 2024-11-20 08:20:26,902] Trial 3 finished with value: 10.411955244888894 and parameters: {'radius': 0.6979808782505229, 'angle': 17.905510662637226, 'sigma': 0.03507877995898288, 'factor': 0.6964912911086375, 'self_conf': 2.464864898843203, 'swarm_conf': 1.0119453865007886, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 5.976487513177116.
[I 2024-11-20 08:20:27,605] Trial 4 finished with value: 10.427479009891837 and parameters: {'radius': 0.7652348426887754, 'angle': 14.278532030107502, 'sigma': 0.17536876716950991, 'factor': 0.5613264500283103, 'self_conf': 2.039202428304803, 'swarm_conf': 2.4697491473788786, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 5.976487513177116.
[I 2024-11-20 08:20:28,379] Trial 5 finished with value: 7.113611669587517 and parameters: {'radius': 0.30088459336401857, 'angle': 7.484372589921649, 'sigma': 0.182800920579043, 'factor': 0.6272385825535185, 'self_conf': 2.2865114517954144, 'swarm_conf': 2.0415399857362355, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 0 with value: 5.976487513177116.
[I 2024-11-20 08:20:29,096] Trial 6 finished with value: 11.478431869513809 and parameters: {'radius': 0.5080276794596567, 'angle': 15.011298377456178, 'sigma': 0.02960443159344281, 'factor': 0.4205529408019067, 'self_conf': 1.5674862646187853, 'swarm_conf': 1.176350340044952, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 5.976487513177116.
[I 2024-11-20 08:20:29,794] Trial 7 finished with value: 2.588229793283789 and parameters: {'radius': 0.7105257267251734, 'angle': 1.0550135041167001, 'sigma': 0.2987575502829702, 'factor': 0.7796097139729102, 'self_conf': 1.3883131575281085, 'swarm_conf': 1.2198968209083765, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 7 with value: 2.588229793283789.
[I 2024-11-20 08:20:30,562] Trial 8 finished with value: 11.316720077709606 and parameters: {'radius': 0.4573512332118355, 'angle': 6.6974055411166695, 'sigma': 0.1712151793113766, 'factor': 0.2151001859264861, 'self_conf': 2.4462055313777697, 'swarm_conf': 2.320204261350114, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 7 with value: 2.588229793283789.
[I 2024-11-20 08:20:31,341] Trial 9 finished with value: 11.939498609481333 and parameters: {'radius': 0.4174553600500799, 'angle': 18.292044653988583, 'sigma': 0.18134754166950293, 'factor': 0.11431724036238987, 'self_conf': 2.2706913567204543, 'swarm_conf': 1.1490881047747157, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 7 with value: 2.588229793283789.
[I 2024-11-20 08:20:32,233] Trial 10 finished with value: 4.974725311455639 and parameters: {'radius': 0.8626788027583399, 'angle': 1.5915929210209576, 'sigma': 0.28989001807084736, 'factor': 0.8831062322436802, 'self_conf': 1.142688181737349, 'swarm_conf': 2.962594684426292, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 7 with value: 2.588229793283789.
