Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.3151251999995789, 'angle': 17.580178314474505, 'sigma': 0.2893504557991511, 'factor': 0.18156529313863015, 'self_conf': 1.8996867735729397, 'swarm_conf': 2.3691293898299515, 'version': 'inertial', 'distribution': 'levy'}
Mejor rendimiento encontrado:
6.002890726246601

Stderr:
[I 2024-11-20 08:23:10,906] A new study created in memory with name: no-name-0b47a226-cda1-4f21-b545-c170215bc922
[I 2024-11-20 08:23:14,088] Trial 0 finished with value: 8.11820301435491 and parameters: {'radius': 0.3850455505737105, 'angle': 19.817060642441202, 'sigma': 0.7697968372068188, 'factor': 0.8783976315371183, 'self_conf': 1.3497210246924842, 'swarm_conf': 1.7127777585633281, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 0 with value: 8.11820301435491.
[I 2024-11-20 08:23:15,045] Trial 1 finished with value: 15.670589866639714 and parameters: {'radius': 0.09770256542473434, 'angle': 15.249504384131328, 'sigma': 0.09736920578823548, 'factor': 0.8844811170479605, 'self_conf': 2.2756337838273284, 'swarm_conf': 2.589619096420491, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 8.11820301435491.
[I 2024-11-20 08:23:15,976] Trial 2 finished with value: 17.414691482983358 and parameters: {'radius': 0.09172185142620036, 'angle': 4.3953501736024565, 'sigma': 0.3467121062590855, 'factor': 0.6416624507919441, 'self_conf': 2.6483550990947116, 'swarm_conf': 1.4639571885636287, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 0 with value: 8.11820301435491.
[I 2024-11-20 08:23:16,860] Trial 3 finished with value: 13.406605686230742 and parameters: {'radius': 0.1812236485775796, 'angle': 10.058331574500167, 'sigma': 0.3825198853286826, 'factor': 0.25134403824700824, 'self_conf': 2.7466862259017644, 'swarm_conf': 1.2336375935677777, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 8.11820301435491.
[I 2024-11-20 08:23:17,612] Trial 4 finished with value: 10.808675149393133 and parameters: {'radius': 0.7108489830818588, 'angle': 6.5678445843966955, 'sigma': 0.4084625069843006, 'factor': 0.21254252592318576, 'self_conf': 2.8338115998811153, 'swarm_conf': 1.8409348389272022, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 0 with value: 8.11820301435491.
[I 2024-11-20 08:23:18,379] Trial 5 finished with value: 9.233256055857666 and parameters: {'radius': 0.6243378123970058, 'angle': 22.094376577326848, 'sigma': 0.051150365894678446, 'factor': 0.568069889783462, 'self_conf': 1.432640831400114, 'swarm_conf': 2.9162407995312445, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 0 with value: 8.11820301435491.
[I 2024-11-20 08:23:19,105] Trial 6 finished with value: 11.939498609481337 and parameters: {'radius': 0.17958646460276884, 'angle': 8.17332117647517, 'sigma': 0.5670074074150867, 'factor': 0.47706353825108727, 'self_conf': 2.171889471240229, 'swarm_conf': 2.328744134505773, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 8.11820301435491.
[I 2024-11-20 08:23:19,814] Trial 7 finished with value: 6.002890726246601 and parameters: {'radius': 0.3151251999995789, 'angle': 17.580178314474505, 'sigma': 0.2893504557991511, 'factor': 0.18156529313863015, 'self_conf': 1.8996867735729397, 'swarm_conf': 2.3691293898299515, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 7 with value: 6.002890726246601.
[I 2024-11-20 08:23:20,542] Trial 8 finished with value: 25.06595100753955 and parameters: {'radius': 0.7821149344558675, 'angle': 21.269580238283048, 'sigma': 0.44375649353306673, 'factor': 0.8457152125536437, 'self_conf': 2.170484845338394, 'swarm_conf': 1.8509526696113, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 7 with value: 6.002890726246601.
[I 2024-11-20 08:23:21,290] Trial 9 finished with value: 27.706280260861785 and parameters: {'radius': 0.017349435369530364, 'angle': 4.117278305137196, 'sigma': 0.25587278542061015, 'factor': 0.05060367926920002, 'self_conf': 1.9739607966130974, 'swarm_conf': 2.204117564964771, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 7 with value: 6.002890726246601.
[I 2024-11-20 08:23:21,987] Trial 10 finished with value: 8.482329497589555 and parameters: {'radius': 0.4089511142608707, 'angle': 14.99548029921386, 'sigma': 0.6165213923910144, 'factor': 0.28296217457565453, 'self_conf': 1.7193815574257125, 'swarm_conf': 2.928988511687523, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 7 with value: 6.002890726246601.
