Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.8551942987204086, 'angle': 1.680738590848561, 'sigma': 0.30951535664727436, 'factor': 0.06656440119283502, 'self_conf': 1.0964147732257736, 'swarm_conf': 2.6440369089898135, 'version': 'constriction', 'distribution': 'gaussian'}
Mejor rendimiento encontrado:
3.1389542459594324

Stderr:
[I 2024-11-20 10:42:07,392] A new study created in memory with name: no-name-432d3bc8-6a65-435d-8e6f-ef8830a51c5e
[I 2024-11-20 10:42:10,658] Trial 0 finished with value: 6.9647083618339565 and parameters: {'radius': 0.6211716487495391, 'angle': 3.128047358230985, 'sigma': 0.28518115120563314, 'factor': 0.38342573285018366, 'self_conf': 1.207660721444262, 'swarm_conf': 2.969759340947747, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 0 with value: 6.9647083618339565.
[I 2024-11-20 10:42:11,431] Trial 1 finished with value: 18.398915112962595 and parameters: {'radius': 0.7951955396333739, 'angle': 5.608990491960013, 'sigma': 0.8401709303522957, 'factor': 0.4372315441662269, 'self_conf': 2.618989606820257, 'swarm_conf': 1.405416914877472, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 0 with value: 6.9647083618339565.
[I 2024-11-20 10:42:12,161] Trial 2 finished with value: 13.962509677023757 and parameters: {'radius': 0.6249096498104586, 'angle': 9.709235599046849, 'sigma': 0.5488154204764636, 'factor': 0.42476785174782905, 'self_conf': 1.7147331438799858, 'swarm_conf': 1.0910483183604622, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 0 with value: 6.9647083618339565.
[I 2024-11-20 10:42:12,889] Trial 3 finished with value: 9.700836952657127 and parameters: {'radius': 0.15946184343216255, 'angle': 10.431027232393436, 'sigma': 0.7266386376615166, 'factor': 0.28832321392194843, 'self_conf': 1.8727100308044802, 'swarm_conf': 1.643335826234517, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 0 with value: 6.9647083618339565.
[I 2024-11-20 10:42:13,664] Trial 4 finished with value: 10.695925335134273 and parameters: {'radius': 0.37579370277189117, 'angle': 10.061527519783422, 'sigma': 0.7702715998021619, 'factor': 0.12174962590358686, 'self_conf': 1.581286519607816, 'swarm_conf': 2.862037699211246, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 0 with value: 6.9647083618339565.
[I 2024-11-20 10:42:14,410] Trial 5 finished with value: 14.962378751201827 and parameters: {'radius': 0.4992189958916548, 'angle': 7.134414577088836, 'sigma': 0.14759520932881343, 'factor': 0.6350134680972634, 'self_conf': 1.4520352413128352, 'swarm_conf': 2.0086934643521963, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 0 with value: 6.9647083618339565.
[I 2024-11-20 10:42:15,146] Trial 6 finished with value: 8.705881675727657 and parameters: {'radius': 0.4471688491712452, 'angle': 10.487302979987897, 'sigma': 0.6113200571050952, 'factor': 0.41965118504390964, 'self_conf': 1.7974225240945911, 'swarm_conf': 2.2447176238540463, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 0 with value: 6.9647083618339565.
[I 2024-11-20 10:42:15,939] Trial 7 finished with value: 15.418768394260978 and parameters: {'radius': 0.340944781185286, 'angle': 22.60354791446009, 'sigma': 0.5051736574014354, 'factor': 0.5234898452807284, 'self_conf': 2.4064454051481574, 'swarm_conf': 2.328145917789956, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 0 with value: 6.9647083618339565.
[I 2024-11-20 10:42:16,674] Trial 8 finished with value: 8.993789021189519 and parameters: {'radius': 0.4589615311088611, 'angle': 23.84344088501557, 'sigma': 0.7145944910362414, 'factor': 0.23579473803918558, 'self_conf': 2.1146407926061666, 'swarm_conf': 2.657594024912558, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 6.9647083618339565.
[I 2024-11-20 10:42:17,401] Trial 9 finished with value: 25.37140427279523 and parameters: {'radius': 0.09144798540928141, 'angle': 20.394182760260456, 'sigma': 0.05418535448054915, 'factor': 0.600210971701123, 'self_conf': 2.706969571287858, 'swarm_conf': 1.696608699715415, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 6.9647083618339565.
[I 2024-11-20 10:42:18,158] Trial 10 finished with value: 3.1389542459594324 and parameters: {'radius': 0.8551942987204086, 'angle': 1.680738590848561, 'sigma': 0.30951535664727436, 'factor': 0.06656440119283502, 'self_conf': 1.0964147732257736, 'swarm_conf': 2.6440369089898135, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 10 with value: 3.1389542459594324.
