Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.7748495124786998, 'angle': 1.455931028117953, 'sigma': 0.7202833371470491, 'factor': 0.5664208415635777, 'self_conf': 1.5830918088329795, 'swarm_conf': 0.6154514447800692, 'version': 'inertial', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
1.514526712350822

Stderr:
[I 2024-11-20 10:56:44,320] A new study created in memory with name: no-name-36ddcff1-06d7-40ab-9290-cb1f19ed8311
[I 2024-11-20 10:56:47,404] Trial 0 finished with value: 16.36125828978204 and parameters: {'radius': 0.10112749231415558, 'angle': 11.515900269792434, 'sigma': 0.37965104906036307, 'factor': 0.24812879143465527, 'self_conf': 2.36750893721999, 'swarm_conf': 2.526695823329974, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 0 with value: 16.36125828978204.
[I 2024-11-20 10:56:48,238] Trial 1 finished with value: 12.959409306045107 and parameters: {'radius': 0.6342177245245236, 'angle': 24.757816405109338, 'sigma': 0.018107577048922994, 'factor': 0.3169730343735068, 'self_conf': 2.0175019369322134, 'swarm_conf': 2.106414081028238, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 1 with value: 12.959409306045107.
[I 2024-11-20 10:56:49,012] Trial 2 finished with value: 11.690743697672172 and parameters: {'radius': 0.2201160483281556, 'angle': 11.70462648708704, 'sigma': 0.7999632539435918, 'factor': 0.0299630237981868, 'self_conf': 0.9918196820505587, 'swarm_conf': 2.284529959740914, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 2 with value: 11.690743697672172.
[I 2024-11-20 10:56:49,731] Trial 3 finished with value: 4.9638285484636135 and parameters: {'radius': 0.3198130648335678, 'angle': 22.492512558067013, 'sigma': 0.7661850278286277, 'factor': 0.7948649814532986, 'self_conf': 1.621646429776792, 'swarm_conf': 0.3928941030763166, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 3 with value: 4.9638285484636135.
[I 2024-11-20 10:56:50,452] Trial 4 finished with value: 11.690755066335033 and parameters: {'radius': 0.5338849520580583, 'angle': 15.230635706211299, 'sigma': 0.0876265200920393, 'factor': 0.7113482778015038, 'self_conf': 0.2544121389783792, 'swarm_conf': 1.4326990992069548, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 3 with value: 4.9638285484636135.
[I 2024-11-20 10:56:51,166] Trial 5 finished with value: 5.969753083104971 and parameters: {'radius': 0.7714556855735278, 'angle': 3.8995177135805843, 'sigma': 0.8148223082023673, 'factor': 0.6211546132182972, 'self_conf': 0.48711830620123325, 'swarm_conf': 0.567978572190142, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 3 with value: 4.9638285484636135.
[I 2024-11-20 10:56:51,920] Trial 6 finished with value: 9.908241790966477 and parameters: {'radius': 0.5465818652737888, 'angle': 2.1086786205580066, 'sigma': 0.6000895116212366, 'factor': 0.7854992935919795, 'self_conf': 2.0452695085733126, 'swarm_conf': 1.7027158665408493, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 3 with value: 4.9638285484636135.
[I 2024-11-20 10:56:52,643] Trial 7 finished with value: 13.431932157302192 and parameters: {'radius': 0.40439101020358426, 'angle': 23.974966262841182, 'sigma': 0.3883112267753726, 'factor': 0.3725706009378515, 'self_conf': 0.48532099382309807, 'swarm_conf': 2.2363020521817694, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 3 with value: 4.9638285484636135.
[I 2024-11-20 10:56:53,367] Trial 8 finished with value: 12.188234595390355 and parameters: {'radius': 0.34311428622159823, 'angle': 11.350827442553896, 'sigma': 0.507944584075037, 'factor': 0.5192077202719043, 'self_conf': 0.4371785304227058, 'swarm_conf': 1.5110732103367723, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 3 with value: 4.9638285484636135.
[I 2024-11-20 10:56:54,084] Trial 9 finished with value: 16.726524595276054 and parameters: {'radius': 0.5524053738066996, 'angle': 23.979009228423834, 'sigma': 0.312987814878301, 'factor': 0.734601529045926, 'self_conf': 2.4229180972158475, 'swarm_conf': 0.6525582784069888, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 3 with value: 4.9638285484636135.
[I 2024-11-20 10:56:54,806] Trial 10 finished with value: 8.673062481440262 and parameters: {'radius': 0.04881952148403135, 'angle': 18.209803357034833, 'sigma': 0.8992632754616077, 'factor': 0.8997773667897018, 'self_conf': 1.2905903075909548, 'swarm_conf': 0.07912893588437836, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 3 with value: 4.9638285484636135.
