Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.3622750819890639, 'angle': 1.4094444135712476, 'sigma': 0.1437984143324269, 'factor': 0.8832461123707531, 'self_conf': 2.1237359508036175, 'swarm_conf': 3.337102978349878, 'version': 'constriction', 'distribution': 'gaussian', 'scale': 1.4876992230634862, 'beta': 1.4852663196340163}
Mejor rendimiento encontrado:
3.979836228373159

Stderr:
[I 2024-11-20 11:00:04,757] A new study created in memory with name: no-name-56c24f41-1572-499f-8181-98467859f35b
[I 2024-11-20 11:00:08,340] Trial 0 finished with value: 10.424718472222695 and parameters: {'radius': 0.35093719291030956, 'angle': 11.862999726149146, 'sigma': 0.25906371542188966, 'factor': 0.55781497057971, 'self_conf': 3.5201141191272347, 'swarm_conf': 2.651522871861956, 'version': 'inertial', 'distribution': 'levy', 'scale': 0.6406771715007054, 'beta': 1.6490177604968872}. Best is trial 0 with value: 10.424718472222695.
[I 2024-11-20 11:00:09,430] Trial 1 finished with value: 7.806902395133722 and parameters: {'radius': 0.6674530003663808, 'angle': 19.890464755429463, 'sigma': 0.2310788289930148, 'factor': 0.6971532477019886, 'self_conf': 2.9539712040168338, 'swarm_conf': 3.1676172154158047, 'version': 'constriction', 'distribution': 'levy', 'scale': 1.3270745064174627, 'beta': 1.9716452089424208}. Best is trial 1 with value: 7.806902395133722.
[I 2024-11-20 11:00:10,526] Trial 2 finished with value: 12.934447579576938 and parameters: {'radius': 0.14761849721517611, 'angle': 16.12119969999181, 'sigma': 0.1301242358882564, 'factor': 0.6966206498124964, 'self_conf': 2.5053139477193325, 'swarm_conf': 2.026565717943144, 'version': 'inertial', 'distribution': 'uniform', 'scale': 0.9466726652806494, 'beta': 1.870716479323137}. Best is trial 1 with value: 7.806902395133722.
[I 2024-11-20 11:00:11,572] Trial 3 finished with value: 4.035853623080328 and parameters: {'radius': 0.6597316938735674, 'angle': 6.625255843953273, 'sigma': 0.1939352410725856, 'factor': 0.8563820638867973, 'self_conf': 2.3039018088476997, 'swarm_conf': 3.677875758537759, 'version': 'constriction', 'distribution': 'gaussian', 'scale': 1.419122178601529, 'beta': 1.5121505460565743}. Best is trial 3 with value: 4.035853623080328.
[I 2024-11-20 11:00:12,655] Trial 4 finished with value: 23.4267409752839 and parameters: {'radius': 0.766298439154259, 'angle': 22.118648792304743, 'sigma': 0.17444335079121073, 'factor': 0.8127908582899561, 'self_conf': 3.3422955185896535, 'swarm_conf': 2.859761724343282, 'version': 'inertial', 'distribution': 'gaussian', 'scale': 1.3451732303207784, 'beta': 1.7528286365773593}. Best is trial 3 with value: 4.035853623080328.
[I 2024-11-20 11:00:13,677] Trial 5 finished with value: 4.974795285467534 and parameters: {'radius': 0.6657313814611311, 'angle': 12.252168156712477, 'sigma': 0.09421398644915169, 'factor': 0.704622551551361, 'self_conf': 2.8848676054797355, 'swarm_conf': 3.5509732304099675, 'version': 'constriction', 'distribution': 'gaussian', 'scale': 0.9389580940615916, 'beta': 1.7012532158269127}. Best is trial 3 with value: 4.035853623080328.
[I 2024-11-20 11:00:14,706] Trial 6 finished with value: 7.710927654653977 and parameters: {'radius': 0.4388890414034751, 'angle': 13.419505300042294, 'sigma': 0.2568831061099203, 'factor': 0.6882346648076166, 'self_conf': 2.4973895850080425, 'swarm_conf': 2.294164429376343, 'version': 'constriction', 'distribution': 'gaussian', 'scale': 0.785505280886702, 'beta': 1.161793406334907}. Best is trial 3 with value: 4.035853623080328.
[I 2024-11-20 11:00:15,901] Trial 7 finished with value: 4.207934325447361 and parameters: {'radius': 0.5930303622223537, 'angle': 5.170611022202839, 'sigma': 0.20935129861832372, 'factor': 0.7756086434085017, 'self_conf': 2.542268671996603, 'swarm_conf': 2.846992518776947, 'version': 'constriction', 'distribution': 'gaussian', 'scale': 1.2841175669688591, 'beta': 1.3975991625216921}. Best is trial 3 with value: 4.035853623080328.
[I 2024-11-20 11:00:16,926] Trial 8 finished with value: 7.018474109856632 and parameters: {'radius': 0.6851596803069455, 'angle': 11.418941615896156, 'sigma': 0.08439946685245228, 'factor': 0.5316863191730183, 'self_conf': 2.2512266036606525, 'swarm_conf': 3.725250898715368, 'version': 'constriction', 'distribution': 'uniform', 'scale': 1.1402126948973308, 'beta': 1.397374395269865}. Best is trial 3 with value: 4.035853623080328.
[I 2024-11-20 11:00:18,078] Trial 9 finished with value: 13.142570455348666 and parameters: {'radius': 0.18033507806384516, 'angle': 6.5894262668836205, 'sigma': 0.26426301290964704, 'factor': 0.8469929473717795, 'self_conf': 3.1613023934036444, 'swarm_conf': 2.678520372410207, 'version': 'constriction', 'distribution': 'uniform', 'scale': 1.0637813711634982, 'beta': 1.1978325687051343}. Best is trial 3 with value: 4.035853623080328.
[I 2024-11-20 11:00:19,091] Trial 10 finished with value: 15.645928854552718 and parameters: {'radius': 0.4866102934313204, 'angle': 1.5798158938506326, 'sigma': 0.024420168320979346, 'factor': 0.8942429858162537, 'self_conf': 3.9378002320239895, 'swarm_conf': 3.933423102359574, 'version': 'inertial', 'distribution': 'gaussian', 'scale': 0.5005186222963891, 'beta': 1.0006778978671882}. Best is trial 3 with value: 4.035853623080328.
[I 2024-11-20 11:00:20,127] Trial 11 finished with value: 3.979839610874464 and parameters: {'radius': 0.5342858069240726, 'angle': 5.123666465622012, 'sigma': 0.19340999903509062, 'factor': 0.7925337066140767, 'self_conf': 2.0505209946643173, 'swarm_conf': 3.2727951049259834, 'version': 'constriction', 'distribution': 'gaussian', 'scale': 1.4555672296714595, 'beta': 1.4397562660479788}. Best is trial 11 with value: 3.979839610874464.
[I 2024-11-20 11:00:21,218] Trial 12 finished with value: 4.205183725390478 and parameters: {'radius': 0.5315397267030748, 'angle': 6.497941680941809, 'sigma': 0.18094683054945104, 'factor': 0.7760763604259115, 'self_conf': 2.010821518671201, 'swarm_conf': 3.3506300577088988, 'version': 'constriction', 'distribution': 'gaussian', 'scale': 1.4568636541928799, 'beta': 1.5217068701450855}. Best is trial 11 with value: 3.979839610874464.
[I 2024-11-20 11:00:22,350] Trial 13 finished with value: 3.979836228373159 and parameters: {'radius': 0.3622750819890639, 'angle': 1.4094444135712476, 'sigma': 0.1437984143324269, 'factor': 0.8832461123707531, 'self_conf': 2.1237359508036175, 'swarm_conf': 3.337102978349878, 'version': 'constriction', 'distribution': 'gaussian', 'scale': 1.4876992230634862, 'beta': 1.4852663196340163}. Best is trial 13 with value: 3.979836228373159.
[I 2024-11-20 11:00:23,410] Trial 14 finished with value: 5.969749304740667 and parameters: {'radius': 0.31682995445373835, 'angle': 1.089108694567937, 'sigma': 0.13627715045763733, 'factor': 0.8872172443099876, 'self_conf': 2.017401280588949, 'swarm_conf': 3.230090291353149, 'version': 'constriction', 'distribution': 'gaussian', 'scale': 1.1726030399463359, 'beta': 1.3369818786133207}. Best is trial 13 with value: 3.979836228373159.
