Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.019979356282263595, 'angle': 10.015784624901434, 'sigma': 0.21550168860508123, 'factor': 0.4609475987367314, 'self_conf': 2.328498042557928, 'swarm_conf': 2.6464645614922797, 'version': 'inertial', 'distribution': 'levy'}
Mejor rendimiento encontrado:
4.819428567482763

Stderr:
[I 2024-11-20 11:29:49,871] A new study created in memory with name: no-name-c18ebb74-2057-4958-b9d2-92ac3d316e1b
[I 2024-11-20 11:29:53,378] Trial 0 finished with value: 15.504799528285213 and parameters: {'radius': 0.7867098459229123, 'angle': 22.59350751323783, 'sigma': 0.28053654423862684, 'factor': 0.18480567828677516, 'self_conf': 2.8253960823564963, 'swarm_conf': 2.7615980364080066, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 0 with value: 15.504799528285213.
[I 2024-11-20 11:29:54,441] Trial 1 finished with value: 10.946713288123245 and parameters: {'radius': 0.16413838168385375, 'angle': 8.333904551360389, 'sigma': 0.8083165498470206, 'factor': 0.6475708122020578, 'self_conf': 2.230955518679476, 'swarm_conf': 2.6179750360774383, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 10.946713288123245.
[I 2024-11-20 11:29:55,430] Trial 2 finished with value: 11.579808283590939 and parameters: {'radius': 0.22832644799727558, 'angle': 10.258161375192719, 'sigma': 1.7514715031398558, 'factor': 0.6213194410874558, 'self_conf': 2.0496485357322114, 'swarm_conf': 2.8562044086017853, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 1 with value: 10.946713288123245.
[I 2024-11-20 11:29:56,457] Trial 3 finished with value: 22.396781331486395 and parameters: {'radius': 0.32151806295344926, 'angle': 6.032116451299682, 'sigma': 2.377771001801102, 'factor': 0.08983178016534861, 'self_conf': 2.891469101967423, 'swarm_conf': 2.7293369859526306, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 1 with value: 10.946713288123245.
[I 2024-11-20 11:29:57,470] Trial 4 finished with value: 11.642245127199523 and parameters: {'radius': 0.5329537108168335, 'angle': 24.397299423802927, 'sigma': 0.45375509797652785, 'factor': 0.4207996502309342, 'self_conf': 2.9989933138908684, 'swarm_conf': 2.5867277503085986, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 1 with value: 10.946713288123245.
[I 2024-11-20 11:29:58,458] Trial 5 finished with value: 14.172675548856427 and parameters: {'radius': 0.4423217611049677, 'angle': 14.41692036186463, 'sigma': 2.20407742240518, 'factor': 0.28343703613464427, 'self_conf': 2.68917299518021, 'swarm_conf': 2.750794716786974, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 1 with value: 10.946713288123245.
[I 2024-11-20 11:29:59,446] Trial 6 finished with value: 18.014555582813387 and parameters: {'radius': 0.5778843023266366, 'angle': 12.089036703228837, 'sigma': 2.699269092184844, 'factor': 0.5985444465486021, 'self_conf': 2.6331083254079632, 'swarm_conf': 2.6238248557845356, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 1 with value: 10.946713288123245.
[I 2024-11-20 11:30:00,457] Trial 7 finished with value: 4.819428567482763 and parameters: {'radius': 0.019979356282263595, 'angle': 10.015784624901434, 'sigma': 0.21550168860508123, 'factor': 0.4609475987367314, 'self_conf': 2.328498042557928, 'swarm_conf': 2.6464645614922797, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 7 with value: 4.819428567482763.
[I 2024-11-20 11:30:01,442] Trial 8 finished with value: 14.184972763231194 and parameters: {'radius': 0.6127478207109036, 'angle': 15.365441275761217, 'sigma': 0.9219257945459264, 'factor': 0.5131561856535303, 'self_conf': 2.2708541381875844, 'swarm_conf': 2.887133455343045, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 7 with value: 4.819428567482763.
[I 2024-11-20 11:30:02,451] Trial 9 finished with value: 18.14346434286564 and parameters: {'radius': 0.4243514930618598, 'angle': 3.2764968474993195, 'sigma': 1.3337499121754797, 'factor': 0.5911203352731709, 'self_conf': 2.1590884798349186, 'swarm_conf': 2.8559573875132624, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 7 with value: 4.819428567482763.
[I 2024-11-20 11:30:03,448] Trial 10 finished with value: 8.793488833662309 and parameters: {'radius': 0.04373188270928896, 'angle': 18.780535540531474, 'sigma': 0.013528312144815091, 'factor': 0.3676444246492073, 'self_conf': 2.4228917532220797, 'swarm_conf': 2.9720684173047363, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 7 with value: 4.819428567482763.
[I 2024-11-20 11:30:04,433] Trial 11 finished with value: 12.065156494086635 and parameters: {'radius': 0.0190568413536518, 'angle': 18.418964868684405, 'sigma': 0.011496054234088992, 'factor': 0.37093866676658704, 'self_conf': 2.4106517710121578, 'swarm_conf': 2.9812668283250034, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 7 with value: 4.819428567482763.
[I 2024-11-20 11:30:05,427] Trial 12 finished with value: 9.48407297573028 and parameters: {'radius': 0.01614642146594404, 'angle': 18.75397445439436, 'sigma': 0.7201683400027505, 'factor': 0.4758661431689777, 'self_conf': 2.415274334165467, 'swarm_conf': 2.5311865102812248, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 7 with value: 4.819428567482763.
[I 2024-11-20 11:30:06,428] Trial 13 finished with value: 10.483603722176746 and parameters: {'radius': 0.15795870751144805, 'angle': 18.577290346551926, 'sigma': 0.03791770701413974, 'factor': 0.25991042708368667, 'self_conf': 2.45593402900123, 'swarm_conf': 2.6824275207519888, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 7 with value: 4.819428567482763.
[I 2024-11-20 11:30:07,421] Trial 14 finished with value: 16.199788885493888 and parameters: {'radius': 0.10452132266124266, 'angle': 1.8211428795797122, 'sigma': 1.3001526334148505, 'factor': 0.31216470360193205, 'self_conf': 2.5672443016066566, 'swarm_conf': 2.990467187559333, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 7 with value: 4.819428567482763.
