Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.7825135238210027, 'angle': 1.129984412412032, 'sigma': 0.4573211261770078, 'factor': 0.5944273265348748, 'self_conf': 2.310615045921775, 'swarm_conf': 2.682691702134039, 'version': 'inertial', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
3.0319065003493755

Stderr:
[I 2024-11-20 11:34:00,340] A new study created in memory with name: no-name-7977c2c7-5701-4272-a465-ee47b686c088
[I 2024-11-20 11:34:04,867] Trial 0 finished with value: 10.98888967408645 and parameters: {'radius': 0.754594690131346, 'angle': 11.379332443029217, 'sigma': 0.039367079283190394, 'factor': 0.4758748616240346, 'self_conf': 2.3122976120843126, 'swarm_conf': 2.714790087186973, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 0 with value: 10.98888967408645.
[I 2024-11-20 11:34:06,086] Trial 1 finished with value: 13.112837799430537 and parameters: {'radius': 0.6422141584476394, 'angle': 18.872571607124033, 'sigma': 0.09266464904802582, 'factor': 0.3304041877340188, 'self_conf': 2.2196394206009713, 'swarm_conf': 2.3812076123470565, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 0 with value: 10.98888967408645.
[I 2024-11-20 11:34:07,068] Trial 2 finished with value: 3.0319065003493755 and parameters: {'radius': 0.7825135238210027, 'angle': 1.129984412412032, 'sigma': 0.4573211261770078, 'factor': 0.5944273265348748, 'self_conf': 2.310615045921775, 'swarm_conf': 2.682691702134039, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 2 with value: 3.0319065003493755.
[I 2024-11-20 11:34:08,117] Trial 3 finished with value: 8.677663499297353 and parameters: {'radius': 0.5856277211898244, 'angle': 2.813375094794556, 'sigma': 0.04069618177686168, 'factor': 0.4047141063410794, 'self_conf': 2.1450878862356157, 'swarm_conf': 2.534532364120187, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 3.0319065003493755.
[I 2024-11-20 11:34:09,149] Trial 4 finished with value: 10.33736263250288 and parameters: {'radius': 0.6622771121180286, 'angle': 12.498389085513223, 'sigma': 0.33890384537506907, 'factor': 0.3616666705840568, 'self_conf': 2.1173840400075084, 'swarm_conf': 2.34978178323865, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 3.0319065003493755.
[I 2024-11-20 11:34:10,158] Trial 5 finished with value: 11.442016562025149 and parameters: {'radius': 0.4104443785075065, 'angle': 5.291511558482903, 'sigma': 0.35882421661945785, 'factor': 0.42325043795576184, 'self_conf': 2.3677087502119885, 'swarm_conf': 2.4172293157411997, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 2 with value: 3.0319065003493755.
[I 2024-11-20 11:34:11,104] Trial 6 finished with value: 13.64899073803858 and parameters: {'radius': 0.44761546798792295, 'angle': 14.20807857477057, 'sigma': 0.16070122773824078, 'factor': 0.4713168633717007, 'self_conf': 2.2697618331205462, 'swarm_conf': 2.3663287946634863, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 2 with value: 3.0319065003493755.
[I 2024-11-20 11:34:12,046] Trial 7 finished with value: 20.774668491229516 and parameters: {'radius': 0.6415849166236329, 'angle': 16.817448400874433, 'sigma': 0.09626430457461074, 'factor': 0.39096775670862566, 'self_conf': 2.0284273485958337, 'swarm_conf': 2.285577066994623, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 2 with value: 3.0319065003493755.
[I 2024-11-20 11:34:13,027] Trial 8 finished with value: 17.29937702440261 and parameters: {'radius': 0.27867832480189286, 'angle': 2.8930691395918164, 'sigma': 0.05853635563491823, 'factor': 0.5404854366953723, 'self_conf': 2.176907340122806, 'swarm_conf': 2.642111872962753, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 3.0319065003493755.
[I 2024-11-20 11:34:13,929] Trial 9 finished with value: 28.874402676023735 and parameters: {'radius': 0.7187217118313186, 'angle': 3.8247929242946546, 'sigma': 0.052252626031459734, 'factor': 0.38406284773805976, 'self_conf': 2.328468951637314, 'swarm_conf': 2.436340262951481, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 2 with value: 3.0319065003493755.
[I 2024-11-20 11:34:14,834] Trial 10 finished with value: 10.69579721125902 and parameters: {'radius': 0.10430828482830318, 'angle': 7.970088301380379, 'sigma': 0.4996592286239132, 'factor': 0.564553467408106, 'self_conf': 2.39605139066893, 'swarm_conf': 2.1181015753494714, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 2 with value: 3.0319065003493755.
[I 2024-11-20 11:34:15,706] Trial 11 finished with value: 20.845083716543844 and parameters: {'radius': 0.5449850415294718, 'angle': 2.057560193330538, 'sigma': 0.23752118073351525, 'factor': 0.5951923462322519, 'self_conf': 2.139416852109802, 'swarm_conf': 2.5905406778409867, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 2 with value: 3.0319065003493755.
[I 2024-11-20 11:34:16,566] Trial 12 finished with value: 29.474878434142244 and parameters: {'radius': 0.7820671698393231, 'angle': 1.1687178913382112, 'sigma': 0.4850410458375468, 'factor': 0.5149187832955259, 'self_conf': 2.066989718954496, 'swarm_conf': 2.786024358115586, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 2 with value: 3.0319065003493755.
[I 2024-11-20 11:34:17,487] Trial 13 finished with value: 12.250369962600915 and parameters: {'radius': 0.5430636758612476, 'angle': 7.5011289854154, 'sigma': 0.3792816616486124, 'factor': 0.3001841157702655, 'self_conf': 2.2474719113950985, 'swarm_conf': 2.574947915348855, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 3.0319065003493755.
[I 2024-11-20 11:34:18,400] Trial 14 finished with value: 15.777034142162854 and parameters: {'radius': 0.3339828900673998, 'angle': 6.630159251187525, 'sigma': 0.2417165822677554, 'factor': 0.4339471253156964, 'self_conf': 2.1820126300281633, 'swarm_conf': 2.5210800295044415, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 2 with value: 3.0319065003493755.
