Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'spiral_radius': 0.5191274637889512, 'spiral_angle': 5.283057175940421, 'spiral_sigma': 0.07601913018755578, 'swarm_factor': 0.31139241967873105, 'swarm_self_conf': 2.5794945056607888, 'swarm_swarm_conf': 2.350434436987093, 'swarm_version': 'constriction', 'swarm_distribution': 'gaussian'}
Mejor rendimiento encontrado:
7.841311371260122

Stderr:
[I 2024-11-20 12:17:45,293] A new study created in memory with name: no-name-5bd1d0f9-a714-4f74-b611-3af69cb667c4
[I 2024-11-20 12:17:47,916] Trial 0 finished with value: 23.06874468182552 and parameters: {'spiral_radius': 0.664559491492437, 'spiral_angle': 14.240949977605604, 'spiral_sigma': 0.063685696941057, 'swarm_factor': 0.5222873073979631, 'swarm_self_conf': 2.1201374159051296, 'swarm_swarm_conf': 2.3761613717556638, 'swarm_version': 'inertial', 'swarm_distribution': 'levy'}. Best is trial 0 with value: 23.06874468182552.
[I 2024-11-20 12:17:48,694] Trial 1 finished with value: 14.300452296044552 and parameters: {'spiral_radius': 0.43872325303557913, 'spiral_angle': 13.557960066477474, 'spiral_sigma': 0.05703017017191676, 'swarm_factor': 0.3744747227925838, 'swarm_self_conf': 2.0175624081313424, 'swarm_swarm_conf': 2.4403741586939747, 'swarm_version': 'inertial', 'swarm_distribution': 'gaussian'}. Best is trial 1 with value: 14.300452296044552.
[I 2024-11-20 12:17:49,484] Trial 2 finished with value: 7.95966741892725 and parameters: {'spiral_radius': 0.4468356330162057, 'spiral_angle': 9.581620073431136, 'spiral_sigma': 0.05472579467680387, 'swarm_factor': 0.3405663450447363, 'swarm_self_conf': 2.322108803268401, 'swarm_swarm_conf': 2.677680574409538, 'swarm_version': 'inertial', 'swarm_distribution': 'uniform'}. Best is trial 2 with value: 7.95966741892725.
[I 2024-11-20 12:17:50,219] Trial 3 finished with value: 13.962467974039898 and parameters: {'spiral_radius': 0.8340313904918603, 'spiral_angle': 5.4422908503483605, 'spiral_sigma': 0.011686439863496071, 'swarm_factor': 0.36848800478486404, 'swarm_self_conf': 2.4780187420145348, 'swarm_swarm_conf': 2.987840924554564, 'swarm_version': 'inertial', 'swarm_distribution': 'uniform'}. Best is trial 2 with value: 7.95966741892725.
[I 2024-11-20 12:17:50,963] Trial 4 finished with value: 19.270173915946593 and parameters: {'spiral_radius': 0.5652557164541281, 'spiral_angle': 14.944120126685076, 'spiral_sigma': 0.06731669950618233, 'swarm_factor': 0.5278140353185069, 'swarm_self_conf': 2.4485426558722327, 'swarm_swarm_conf': 2.7501749419804318, 'swarm_version': 'inertial', 'swarm_distribution': 'gaussian'}. Best is trial 2 with value: 7.95966741892725.
[I 2024-11-20 12:17:51,733] Trial 5 finished with value: 12.276447634477888 and parameters: {'spiral_radius': 0.3822814262280789, 'spiral_angle': 5.537483985641085, 'spiral_sigma': 0.03840292481665905, 'swarm_factor': 0.4918822094634707, 'swarm_self_conf': 2.656792774787852, 'swarm_swarm_conf': 2.3110600009636153, 'swarm_version': 'inertial', 'swarm_distribution': 'gaussian'}. Best is trial 2 with value: 7.95966741892725.
[I 2024-11-20 12:17:52,552] Trial 6 finished with value: 7.841311371260122 and parameters: {'spiral_radius': 0.5191274637889512, 'spiral_angle': 5.283057175940421, 'spiral_sigma': 0.07601913018755578, 'swarm_factor': 0.31139241967873105, 'swarm_self_conf': 2.5794945056607888, 'swarm_swarm_conf': 2.350434436987093, 'swarm_version': 'constriction', 'swarm_distribution': 'gaussian'}. Best is trial 6 with value: 7.841311371260122.
[I 2024-11-20 12:17:53,324] Trial 7 finished with value: 7.861743460190295 and parameters: {'spiral_radius': 0.6835719522061592, 'spiral_angle': 13.455606969146022, 'spiral_sigma': 0.012135907533619364, 'swarm_factor': 0.3525968456954311, 'swarm_self_conf': 2.567063967846529, 'swarm_swarm_conf': 2.7599144563865456, 'swarm_version': 'inertial', 'swarm_distribution': 'uniform'}. Best is trial 6 with value: 7.841311371260122.
[I 2024-11-20 12:17:54,125] Trial 8 finished with value: 16.665533945321332 and parameters: {'spiral_radius': 0.14016525863028298, 'spiral_angle': 19.30718844218401, 'spiral_sigma': 0.014604231862559328, 'swarm_factor': 0.4462536761650013, 'swarm_self_conf': 2.7673682862953086, 'swarm_swarm_conf': 2.7898909096309454, 'swarm_version': 'inertial', 'swarm_distribution': 'levy'}. Best is trial 6 with value: 7.841311371260122.
[I 2024-11-20 12:17:54,962] Trial 9 finished with value: 16.55276219078811 and parameters: {'spiral_radius': 0.20486039517916643, 'spiral_angle': 7.436901574373341, 'spiral_sigma': 0.05823543833220841, 'swarm_factor': 0.48452208807247316, 'swarm_self_conf': 2.6674297321216986, 'swarm_swarm_conf': 2.221961009031176, 'swarm_version': 'constriction', 'swarm_distribution': 'gaussian'}. Best is trial 6 with value: 7.841311371260122.
[I 2024-11-20 12:17:55,759] Trial 10 finished with value: 10.959644915917831 and parameters: {'spiral_radius': 0.896853735551129, 'spiral_angle': 10.123145921987724, 'spiral_sigma': 0.09753799346984411, 'swarm_factor': 0.5934972901291797, 'swarm_self_conf': 2.9882838746779212, 'swarm_swarm_conf': 2.0271220505484333, 'swarm_version': 'constriction', 'swarm_distribution': 'gaussian'}. Best is trial 6 with value: 7.841311371260122.
