Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.10828219685314336, 'angle': 1.5974550516549546, 'sigma': 0.34945812719329333, 'factor': 0.5657610230008652, 'self_conf': 3.6367588944394402, 'swarm_conf': 1.7760267883428036, 'version': 'inertial', 'distribution': 'levy'}
Mejor rendimiento encontrado:
2.000881979504646

Stderr:
[I 2024-11-20 12:21:04,767] A new study created in memory with name: no-name-9f2bfadf-8a36-4e60-a184-3799ad86dac2
[I 2024-11-20 12:21:08,293] Trial 0 finished with value: 9.877885629436634 and parameters: {'radius': 0.29739514890848506, 'angle': 21.211493988699093, 'sigma': 0.4541744713411011, 'factor': 0.4004514955879546, 'self_conf': 3.3259796573042166, 'swarm_conf': 1.159762057204539, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 0 with value: 9.877885629436634.
[I 2024-11-20 12:21:09,215] Trial 1 finished with value: 10.944543330752353 and parameters: {'radius': 0.403553471099127, 'angle': 5.549977862212529, 'sigma': 0.13771701621770494, 'factor': 0.6939578366062593, 'self_conf': 3.0861655335030864, 'swarm_conf': 1.0898015481377992, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 0 with value: 9.877885629436634.
[I 2024-11-20 12:21:10,048] Trial 2 finished with value: 9.816529645834505 and parameters: {'radius': 0.41414969460809026, 'angle': 9.4926986372974, 'sigma': 0.34718547132455324, 'factor': 0.45860543454330466, 'self_conf': 3.4132237559417664, 'swarm_conf': 1.1446384998186812, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 2 with value: 9.816529645834505.
[I 2024-11-20 12:21:10,873] Trial 3 finished with value: 15.67057077617286 and parameters: {'radius': 0.24730995520311919, 'angle': 18.264527972289354, 'sigma': 0.1117001443018188, 'factor': 0.4511240704787137, 'self_conf': 2.4385874563229883, 'swarm_conf': 2.206086068491418, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 2 with value: 9.816529645834505.
[I 2024-11-20 12:21:11,666] Trial 4 finished with value: 20.458023238359942 and parameters: {'radius': 0.8460684574033732, 'angle': 11.567362323858932, 'sigma': 0.19503519209715942, 'factor': 0.8886786195410094, 'self_conf': 2.0880813871595505, 'swarm_conf': 3.1699647991834397, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 2 with value: 9.816529645834505.
[I 2024-11-20 12:21:12,459] Trial 5 finished with value: 19.743518510288382 and parameters: {'radius': 0.765668565181015, 'angle': 8.428721205160144, 'sigma': 0.21396647131396093, 'factor': 0.5432341717965885, 'self_conf': 3.917709774372962, 'swarm_conf': 2.481913104890303, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 2 with value: 9.816529645834505.
[I 2024-11-20 12:21:13,252] Trial 6 finished with value: 5.969754346247887 and parameters: {'radius': 0.47571599770669537, 'angle': 12.938978425804919, 'sigma': 0.13062661214954183, 'factor': 0.3462379379227328, 'self_conf': 2.692882680352716, 'swarm_conf': 3.446299347075522, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 6 with value: 5.969754346247887.
[I 2024-11-20 12:21:14,097] Trial 7 finished with value: 13.183123930235668 and parameters: {'radius': 0.3390014031586562, 'angle': 21.62690411507049, 'sigma': 0.4609512895226902, 'factor': 0.6455727691449411, 'self_conf': 2.4008013144539304, 'swarm_conf': 3.4650687519538654, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 6 with value: 5.969754346247887.
[I 2024-11-20 12:21:14,905] Trial 8 finished with value: 22.302828231459777 and parameters: {'radius': 0.8855134611142643, 'angle': 11.856903598920853, 'sigma': 0.47795888106566053, 'factor': 0.30294324900526204, 'self_conf': 2.339364992945402, 'swarm_conf': 1.3379105594604208, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 6 with value: 5.969754346247887.
[I 2024-11-20 12:21:15,711] Trial 9 finished with value: 18.416579007964653 and parameters: {'radius': 0.7962678716852353, 'angle': 17.416636510700812, 'sigma': 0.4453730500040696, 'factor': 0.3539613268463046, 'self_conf': 2.495460093225449, 'swarm_conf': 1.352481722255293, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 6 with value: 5.969754346247887.
[I 2024-11-20 12:21:16,517] Trial 10 finished with value: 27.595563142838976 and parameters: {'radius': 0.6106103091986118, 'angle': 15.857310314107465, 'sigma': 0.017801387740508365, 'factor': 0.7844600615835937, 'self_conf': 2.793378886508388, 'swarm_conf': 3.9185414508757352, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 6 with value: 5.969754346247887.
