Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'self_conf': 0.7349886025784094, 'swarm_conf': 2.665057830738751, 'version': 'inertial', 'radius': 0.5021392394715066, 'angle': 0.20071936209445168, 'sigma': 0.876130951284041}
Mejor rendimiento encontrado:
1.9655349227022327

Stderr:
[I 2024-11-20 12:34:09,584] A new study created in memory with name: no-name-22cb87a1-cfa5-4a1e-b9c0-ce4d38d159a5
[I 2024-11-20 12:34:12,463] Trial 0 finished with value: 24.90171439264971 and parameters: {'self_conf': 2.0323368294099913, 'swarm_conf': 2.9585129261821193, 'version': 'inertial', 'radius': 0.8852693008464607, 'angle': 23.127332055912753, 'sigma': 0.3975502322041894}. Best is trial 0 with value: 24.90171439264971.
[I 2024-11-20 12:34:13,320] Trial 1 finished with value: 9.239881753439917 and parameters: {'self_conf': 1.331663570689223, 'swarm_conf': 0.9405939861339195, 'version': 'constriction', 'radius': 0.4880650124881905, 'angle': 18.135779642182516, 'sigma': 0.017259131902825853}. Best is trial 1 with value: 9.239881753439917.
[I 2024-11-20 12:34:14,217] Trial 2 finished with value: 5.97084264935657 and parameters: {'self_conf': 0.32573422431788507, 'swarm_conf': 2.0015767603293004, 'version': 'constriction', 'radius': 0.4521096108072865, 'angle': 10.621211079206196, 'sigma': 0.67253493043805}. Best is trial 2 with value: 5.97084264935657.
[I 2024-11-20 12:34:15,128] Trial 3 finished with value: 9.69931203244779 and parameters: {'self_conf': 1.6018175216847723, 'swarm_conf': 0.353565959990463, 'version': 'inertial', 'radius': 0.0293545389754127, 'angle': 15.65697266731977, 'sigma': 0.8278404518515765}. Best is trial 2 with value: 5.97084264935657.
[I 2024-11-20 12:34:16,058] Trial 4 finished with value: 9.23116080459791 and parameters: {'self_conf': 1.875603106169606, 'swarm_conf': 0.1765988701508374, 'version': 'constriction', 'radius': 0.4069116160641035, 'angle': 20.76477435669042, 'sigma': 0.19360806496004856}. Best is trial 2 with value: 5.97084264935657.
[I 2024-11-20 12:34:17,003] Trial 5 finished with value: 10.6455016292332 and parameters: {'self_conf': 0.25947122269105927, 'swarm_conf': 2.1001871864394586, 'version': 'constriction', 'radius': 0.44440186088814915, 'angle': 18.688918300708245, 'sigma': 0.3559407976287017}. Best is trial 2 with value: 5.97084264935657.
[I 2024-11-20 12:34:17,934] Trial 6 finished with value: 7.6749678120413805 and parameters: {'self_conf': 2.582127370798622, 'swarm_conf': 0.3655097026926167, 'version': 'inertial', 'radius': 0.49270181169928084, 'angle': 14.290969711305515, 'sigma': 0.6823526018920439}. Best is trial 2 with value: 5.97084264935657.
[I 2024-11-20 12:34:18,854] Trial 7 finished with value: 3.924846614918099 and parameters: {'self_conf': 1.0052085001392799, 'swarm_conf': 0.25498971254984365, 'version': 'inertial', 'radius': 0.5012633110330874, 'angle': 5.645835347162829, 'sigma': 0.8109768927908849}. Best is trial 7 with value: 3.924846614918099.
[I 2024-11-20 12:34:19,797] Trial 8 finished with value: 4.4008050650984245 and parameters: {'self_conf': 1.3273619943274289, 'swarm_conf': 2.093870364588531, 'version': 'inertial', 'radius': 0.07497806854165762, 'angle': 7.774860363610158, 'sigma': 0.49925042280599136}. Best is trial 7 with value: 3.924846614918099.
[I 2024-11-20 12:34:20,732] Trial 9 finished with value: 1.9655349227022327 and parameters: {'self_conf': 0.7349886025784094, 'swarm_conf': 2.665057830738751, 'version': 'inertial', 'radius': 0.5021392394715066, 'angle': 0.20071936209445168, 'sigma': 0.876130951284041}. Best is trial 9 with value: 1.9655349227022327.
[I 2024-11-20 12:34:21,712] Trial 10 finished with value: 3.3735111462145078 and parameters: {'self_conf': 0.8162907191390775, 'swarm_conf': 2.770623123214058, 'version': 'inertial', 'radius': 0.7570095539461603, 'angle': 0.2908959530857107, 'sigma': 0.8952375631711765}. Best is trial 9 with value: 1.9655349227022327.
[I 2024-11-20 12:34:22,823] Trial 11 finished with value: 5.779639121164301 and parameters: {'self_conf': 0.7963138685064857, 'swarm_conf': 2.971610297040175, 'version': 'inertial', 'radius': 0.7606560091180097, 'angle': 1.3108299229734115, 'sigma': 0.890414947753199}. Best is trial 9 with value: 1.9655349227022327.
[I 2024-11-20 12:34:23,869] Trial 12 finished with value: 2.946853142123164 and parameters: {'self_conf': 0.7816738580265064, 'swarm_conf': 2.4896027693707516, 'version': 'inertial', 'radius': 0.6843016060743461, 'angle': 0.4799760406385404, 'sigma': 0.675927548039051}. Best is trial 9 with value: 1.9655349227022327.
[I 2024-11-20 12:34:24,828] Trial 13 finished with value: 4.974431393811365 and parameters: {'self_conf': 0.5421650817417052, 'swarm_conf': 2.466732325553762, 'version': 'inertial', 'radius': 0.6510616818558088, 'angle': 4.479119775083922, 'sigma': 0.6449059854793047}. Best is trial 9 with value: 1.9655349227022327.
[I 2024-11-20 12:34:25,819] Trial 14 finished with value: 10.695799788114721 and parameters: {'self_conf': 0.1378936454503722, 'swarm_conf': 1.4835277080125744, 'version': 'inertial', 'radius': 0.32822178980621747, 'angle': 3.3612814377827505, 'sigma': 0.5211315370377234}. Best is trial 9 with value: 1.9655349227022327.
