Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'swarm_factor': 0.7045492563427614, 'self_confidence': 2.3279354792081692, 'swarm_configuration': 2.9199406600377853, 'constriction_version': 'constriction', 'particle_distribution': 'gaussian', 'dynamic_radius': 0.7530381658256193, 'dynamic_angle': 23.95815112260195, 'dynamic_sigma': 0.1549794946582415}
Mejor rendimiento encontrado:
3.994995950878595

Stderr:
[I 2024-11-20 12:52:03,775] A new study created in memory with name: no-name-e2ce4149-1bef-4e55-be81-1699e9cc4030
[I 2024-11-20 12:52:07,133] Trial 0 finished with value: 7.003397242426351 and parameters: {'swarm_factor': 0.7345549239113469, 'self_confidence': 2.2284686163296015, 'swarm_configuration': 2.829426738021848, 'constriction_version': 'constriction', 'particle_distribution': 'levy', 'dynamic_radius': 0.6821233327607455, 'dynamic_angle': 23.192734641397927, 'dynamic_sigma': 0.15008180129551973}. Best is trial 0 with value: 7.003397242426351.
[I 2024-11-20 12:52:08,098] Trial 1 finished with value: 10.944540811842785 and parameters: {'swarm_factor': 0.8866878511273194, 'self_confidence': 2.226667876498613, 'swarm_configuration': 2.7468293112553415, 'constriction_version': 'constriction', 'particle_distribution': 'uniform', 'dynamic_radius': 0.8414718098760903, 'dynamic_angle': 26.335424236935214, 'dynamic_sigma': 0.08623369590399028}. Best is trial 0 with value: 7.003397242426351.
[I 2024-11-20 12:52:08,888] Trial 2 finished with value: 11.690753807388939 and parameters: {'swarm_factor': 0.8500906324532593, 'self_confidence': 2.057503738703514, 'swarm_configuration': 2.7257624158757885, 'constriction_version': 'constriction', 'particle_distribution': 'uniform', 'dynamic_radius': 0.6080376349603691, 'dynamic_angle': 27.076258879645646, 'dynamic_sigma': 0.19610502610303382}. Best is trial 0 with value: 7.003397242426351.
[I 2024-11-20 12:52:09,680] Trial 3 finished with value: 23.27508746718615 and parameters: {'swarm_factor': 0.8769568866273233, 'self_confidence': 2.704650529864192, 'swarm_configuration': 2.6865035132882773, 'constriction_version': 'inertial', 'particle_distribution': 'levy', 'dynamic_radius': 0.8739860085804596, 'dynamic_angle': 24.09322863233204, 'dynamic_sigma': 0.07983633091511114}. Best is trial 0 with value: 7.003397242426351.
[I 2024-11-20 12:52:10,463] Trial 4 finished with value: 10.231136751187503 and parameters: {'swarm_factor': 0.956480408391067, 'self_confidence': 2.8238311259484554, 'swarm_configuration': 2.5417610845045644, 'constriction_version': 'inertial', 'particle_distribution': 'levy', 'dynamic_radius': 0.5043397975083874, 'dynamic_angle': 21.428713074135924, 'dynamic_sigma': 0.1282881386586098}. Best is trial 0 with value: 7.003397242426351.
[I 2024-11-20 12:52:11,235] Trial 5 finished with value: 15.134303819357502 and parameters: {'swarm_factor': 0.8021505874940255, 'self_confidence': 2.387594065284876, 'swarm_configuration': 2.8374808380849936, 'constriction_version': 'constriction', 'particle_distribution': 'levy', 'dynamic_radius': 0.8377535859878502, 'dynamic_angle': 20.539987522049294, 'dynamic_sigma': 0.06918567123004897}. Best is trial 0 with value: 7.003397242426351.
[I 2024-11-20 12:52:11,985] Trial 6 finished with value: 14.732053323773764 and parameters: {'swarm_factor': 0.7789616820519233, 'self_confidence': 2.994730735851779, 'swarm_configuration': 2.859733052819487, 'constriction_version': 'inertial', 'particle_distribution': 'uniform', 'dynamic_radius': 0.6577876439349413, 'dynamic_angle': 29.666297681260147, 'dynamic_sigma': 0.18718319388001997}. Best is trial 0 with value: 7.003397242426351.
[I 2024-11-20 12:52:12,776] Trial 7 finished with value: 10.198319000113308 and parameters: {'swarm_factor': 0.9342823040677437, 'self_confidence': 2.251155326271281, 'swarm_configuration': 2.668842458814919, 'constriction_version': 'constriction', 'particle_distribution': 'uniform', 'dynamic_radius': 0.577594106755527, 'dynamic_angle': 27.67026703506815, 'dynamic_sigma': 0.09068847806069273}. Best is trial 0 with value: 7.003397242426351.
[I 2024-11-20 12:52:13,537] Trial 8 finished with value: 22.533168413584445 and parameters: {'swarm_factor': 0.8432801909105716, 'self_confidence': 2.9896449544297172, 'swarm_configuration': 2.8474517842729004, 'constriction_version': 'inertial', 'particle_distribution': 'levy', 'dynamic_radius': 0.7447168354320179, 'dynamic_angle': 22.88012415347436, 'dynamic_sigma': 0.065645930724731}. Best is trial 0 with value: 7.003397242426351.
[I 2024-11-20 12:52:14,291] Trial 9 finished with value: 17.294559278087817 and parameters: {'swarm_factor': 0.7106535070622186, 'self_confidence': 2.07426104232418, 'swarm_configuration': 2.717269106941737, 'constriction_version': 'inertial', 'particle_distribution': 'gaussian', 'dynamic_radius': 0.6609368855469338, 'dynamic_angle': 24.94385003537636, 'dynamic_sigma': 0.12098350007338791}. Best is trial 0 with value: 7.003397242426351.
[I 2024-11-20 12:52:15,054] Trial 10 finished with value: 8.693458805352455 and parameters: {'swarm_factor': 0.7184615050951857, 'self_confidence': 2.551095586140363, 'swarm_configuration': 2.9802404117480408, 'constriction_version': 'constriction', 'particle_distribution': 'gaussian', 'dynamic_radius': 0.9918370954687521, 'dynamic_angle': 22.639668689556267, 'dynamic_sigma': 0.15943371588571542}. Best is trial 0 with value: 7.003397242426351.
[I 2024-11-20 12:52:15,822] Trial 11 finished with value: 8.361048655974608 and parameters: {'swarm_factor': 0.7049202436718227, 'self_confidence': 2.535208748353784, 'swarm_configuration': 2.9743232291539563, 'constriction_version': 'constriction', 'particle_distribution': 'gaussian', 'dynamic_radius': 0.9851199098413655, 'dynamic_angle': 22.46050220514835, 'dynamic_sigma': 0.159647013406613}. Best is trial 0 with value: 7.003397242426351.
[I 2024-11-20 12:52:16,571] Trial 12 finished with value: 9.045016295472237 and parameters: {'swarm_factor': 0.755880838185383, 'self_confidence': 2.5014728199614034, 'swarm_configuration': 2.995970761463886, 'constriction_version': 'constriction', 'particle_distribution': 'gaussian', 'dynamic_radius': 0.9945007528557733, 'dynamic_angle': 22.830458126153086, 'dynamic_sigma': 0.15854890303315283}. Best is trial 0 with value: 7.003397242426351.
[I 2024-11-20 12:52:17,327] Trial 13 finished with value: 3.994995950878595 and parameters: {'swarm_factor': 0.7045492563427614, 'self_confidence': 2.3279354792081692, 'swarm_configuration': 2.9199406600377853, 'constriction_version': 'constriction', 'particle_distribution': 'gaussian', 'dynamic_radius': 0.7530381658256193, 'dynamic_angle': 23.95815112260195, 'dynamic_sigma': 0.1549794946582415}. Best is trial 13 with value: 3.994995950878595.
[I 2024-11-20 12:52:18,093] Trial 14 finished with value: 8.110471605730142 and parameters: {'swarm_factor': 0.7557716448785662, 'self_confidence': 2.2960462585425327, 'swarm_configuration': 2.903449586019491, 'constriction_version': 'constriction', 'particle_distribution': 'levy', 'dynamic_radius': 0.7173128227827803, 'dynamic_angle': 24.402636060178803, 'dynamic_sigma': 0.13040683888693622}. Best is trial 13 with value: 3.994995950878595.
