Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.3447429519217552, 'distribution': 'uniform', 'factor': 0.5447404174084542, 'self_conf': 2.058843309362061, 'swarm_conf': 2.6999594091417176, 'version': 'constriction'}
Mejor rendimiento encontrado:
18.89762365680435

Stderr:
[I 2025-01-06 12:10:57,970] A new study created in memory with name: no-name-a2b18956-07f2-4242-aa52-35d28a3888da
[I 2025-01-06 12:11:00,832] Trial 0 finished with value: 47.686151862013695 and parameters: {'scale': 0.19270916423346654, 'distribution': 'uniform', 'factor': 0.9549238238667783, 'self_conf': 1.97850217176695, 'swarm_conf': 2.9826985649042195, 'version': 'inertial'}. Best is trial 0 with value: 47.686151862013695.
[I 2025-01-06 12:11:01,094] Trial 1 finished with value: 61.291301555205216 and parameters: {'scale': 0.7821065138829937, 'distribution': 'gaussian', 'factor': 0.74111207989192, 'self_conf': 2.4856475220040983, 'swarm_conf': 2.9681366614995346, 'version': 'inertial'}. Best is trial 0 with value: 47.686151862013695.
[I 2025-01-06 12:11:01,341] Trial 2 finished with value: 38.09364987180872 and parameters: {'scale': 0.10762318070967423, 'distribution': 'uniform', 'factor': 0.8346316189448888, 'self_conf': 1.7179366394803224, 'swarm_conf': 2.6257654841483684, 'version': 'inertial'}. Best is trial 2 with value: 38.09364987180872.
[I 2025-01-06 12:11:01,607] Trial 3 finished with value: 24.565176196474418 and parameters: {'scale': 0.185427701069586, 'distribution': 'uniform', 'factor': 0.7123229076248183, 'self_conf': 1.5463373895427994, 'swarm_conf': 2.4757344131670864, 'version': 'constriction'}. Best is trial 3 with value: 24.565176196474418.
[I 2025-01-06 12:11:01,849] Trial 4 finished with value: 53.86938933124415 and parameters: {'scale': 0.7030887867224868, 'distribution': 'gaussian', 'factor': 0.6667380643838295, 'self_conf': 1.7828038567026656, 'swarm_conf': 2.3567279852501466, 'version': 'constriction'}. Best is trial 3 with value: 24.565176196474418.
[I 2025-01-06 12:11:02,094] Trial 5 finished with value: 30.297171291903766 and parameters: {'scale': 0.7969711700220538, 'distribution': 'uniform', 'factor': 0.34268002737474507, 'self_conf': 2.3214368146894495, 'swarm_conf': 2.2671720771989827, 'version': 'constriction'}. Best is trial 3 with value: 24.565176196474418.
[I 2025-01-06 12:11:02,325] Trial 6 finished with value: 52.52107585883522 and parameters: {'scale': 0.4182659620151428, 'distribution': 'uniform', 'factor': 0.922937672314363, 'self_conf': 1.7163085026730434, 'swarm_conf': 2.7178541167865564, 'version': 'inertial'}. Best is trial 3 with value: 24.565176196474418.
[I 2025-01-06 12:11:02,595] Trial 7 finished with value: 64.04395108873483 and parameters: {'scale': 0.802757784549629, 'distribution': 'gaussian', 'factor': 0.9316657488763265, 'self_conf': 1.6743892448580908, 'swarm_conf': 2.0113833634350753, 'version': 'inertial'}. Best is trial 3 with value: 24.565176196474418.
[I 2025-01-06 12:11:02,868] Trial 8 finished with value: 62.237902255103535 and parameters: {'scale': 0.8613336068525665, 'distribution': 'gaussian', 'factor': 0.45148798283957886, 'self_conf': 1.7364708293478524, 'swarm_conf': 2.0443053982627175, 'version': 'inertial'}. Best is trial 3 with value: 24.565176196474418.
[I 2025-01-06 12:11:03,128] Trial 9 finished with value: 50.22498384858377 and parameters: {'scale': 0.7569793350848748, 'distribution': 'gaussian', 'factor': 0.6024334971760784, 'self_conf': 2.8667393842327455, 'swarm_conf': 2.4335067315081433, 'version': 'constriction'}. Best is trial 3 with value: 24.565176196474418.
[I 2025-01-06 12:11:03,371] Trial 10 finished with value: 18.89762365680435 and parameters: {'scale': 0.3447429519217552, 'distribution': 'uniform', 'factor': 0.5447404174084542, 'self_conf': 2.058843309362061, 'swarm_conf': 2.6999594091417176, 'version': 'constriction'}. Best is trial 10 with value: 18.89762365680435.
[I 2025-01-06 12:11:03,620] Trial 11 finished with value: 21.40674517371425 and parameters: {'scale': 0.3472890889024865, 'distribution': 'uniform', 'factor': 0.5416823251631154, 'self_conf': 2.101302998260675, 'swarm_conf': 2.6985625485657994, 'version': 'constriction'}. Best is trial 10 with value: 18.89762365680435.
[I 2025-01-06 12:11:03,863] Trial 12 finished with value: 20.29691343823819 and parameters: {'scale': 0.39749468900610385, 'distribution': 'uniform', 'factor': 0.5246271024909898, 'self_conf': 2.0799287009190457, 'swarm_conf': 2.746840346945893, 'version': 'constriction'}. Best is trial 10 with value: 18.89762365680435.
[I 2025-01-06 12:11:04,106] Trial 13 finished with value: 22.42079433951934 and parameters: {'scale': 0.514259190929173, 'distribution': 'uniform', 'factor': 0.4966577403849963, 'self_conf': 2.4528274921642708, 'swarm_conf': 2.8095555402441, 'version': 'constriction'}. Best is trial 10 with value: 18.89762365680435.
[I 2025-01-06 12:11:04,362] Trial 14 finished with value: 25.291284958311135 and parameters: {'scale': 0.5610523145306192, 'distribution': 'uniform', 'factor': 0.373240481146972, 'self_conf': 2.0926177184928623, 'swarm_conf': 2.826244336467063, 'version': 'constriction'}. Best is trial 10 with value: 18.89762365680435.
