Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.1762394455863434, 'distribution': 'uniform', 'gravity': 0.0028534381782677905, 'alpha': 0.09905665781767779, 'beta': 3.83228076872624, 'factor': 0.5843890307412092, 'self_conf': 2.17539308915773, 'swarm_conf': 2.1766408917758766, 'version': 'constriction', 'radius': 0.8233890789859447, 'angle': 21.65118895444667, 'sigma': 0.21990570640578527}
Mejor rendimiento encontrado:
16.36852191745193

Stderr:
[I 2025-01-07 12:57:39,064] A new study created in memory with name: no-name-5ba3f4cc-5fce-4183-a4b2-5d3186cce3b5
[I 2025-01-07 12:57:41,916] Trial 0 finished with value: 21.281592416448568 and parameters: {'scale': 1.99994705589346, 'distribution': 'levy', 'gravity': 0.004494428146107351, 'alpha': 0.06030636945224376, 'beta': 2.8958510124000703, 'factor': 0.6895264887246672, 'self_conf': 2.834972683162375, 'swarm_conf': 2.000601319945175, 'version': 'constriction', 'radius': 0.5103619411838279, 'angle': 24.655739545605634, 'sigma': 0.11325012684905654}. Best is trial 0 with value: 21.281592416448568.
[I 2025-01-07 12:57:42,520] Trial 1 finished with value: 28.781830423969144 and parameters: {'scale': 0.49144731156161053, 'distribution': 'levy', 'gravity': 0.004367562975369657, 'alpha': 0.009775199402755688, 'beta': 2.3866675744662924, 'factor': 0.9038431130561156, 'self_conf': 2.416161361148051, 'swarm_conf': 2.3777753530430146, 'version': 'constriction', 'radius': 0.5737044900141122, 'angle': 20.424930660066494, 'sigma': 0.19180841051110722}. Best is trial 0 with value: 21.281592416448568.
[I 2025-01-07 12:57:43,098] Trial 2 finished with value: 20.007863083515076 and parameters: {'scale': 0.7242007894793137, 'distribution': 'gaussian', 'gravity': 0.009692438479495545, 'alpha': 0.04230730829948746, 'beta': 2.4580743901622486, 'factor': 0.4525215759900408, 'self_conf': 2.605786282362388, 'swarm_conf': 2.3422685914919565, 'version': 'constriction', 'radius': 0.667136495291129, 'angle': 24.191843383822818, 'sigma': 0.2891240725060591}. Best is trial 2 with value: 20.007863083515076.
[I 2025-01-07 12:57:43,690] Trial 3 finished with value: 19.40698788535364 and parameters: {'scale': 1.2141555230955035, 'distribution': 'levy', 'gravity': 0.007605512075695853, 'alpha': 0.06638849433855905, 'beta': 3.0714366562689435, 'factor': 0.3958986227287254, 'self_conf': 2.3574070163981355, 'swarm_conf': 2.7247924175982297, 'version': 'constriction', 'radius': 0.6212855098644225, 'angle': 22.173972804973978, 'sigma': 0.08372506780242635}. Best is trial 3 with value: 19.40698788535364.
[I 2025-01-07 12:57:44,273] Trial 4 finished with value: 30.118202586181308 and parameters: {'scale': 1.0480049454756761, 'distribution': 'uniform', 'gravity': 0.008876756515636651, 'alpha': 0.06177769413982658, 'beta': 3.0430588081051524, 'factor': 0.34183965048422815, 'self_conf': 2.2512150919322815, 'swarm_conf': 2.4464256040704893, 'version': 'inertial', 'radius': 0.7702027914326872, 'angle': 23.98177153915566, 'sigma': 0.2682230104510195}. Best is trial 3 with value: 19.40698788535364.
[I 2025-01-07 12:57:44,871] Trial 5 finished with value: 45.838923223026896 and parameters: {'scale': 1.8450493129871983, 'distribution': 'levy', 'gravity': 0.005876786446046064, 'alpha': 0.08834662453447964, 'beta': 1.6015725282320288, 'factor': 0.5570058612669838, 'self_conf': 2.921105093335104, 'swarm_conf': 2.9347467339772324, 'version': 'inertial', 'radius': 0.8076428413131859, 'angle': 22.25919475593201, 'sigma': 0.1622732456542394}. Best is trial 3 with value: 19.40698788535364.
[I 2025-01-07 12:57:45,459] Trial 6 finished with value: 19.321153359721023 and parameters: {'scale': 0.6834235380717607, 'distribution': 'levy', 'gravity': 0.005498545468408676, 'alpha': 0.055904085085844796, 'beta': 3.1424129611890366, 'factor': 0.9379493704531691, 'self_conf': 2.57515520671146, 'swarm_conf': 2.7977608836429773, 'version': 'constriction', 'radius': 0.5151093329123336, 'angle': 24.56754767347725, 'sigma': 0.0593973383882811}. Best is trial 6 with value: 19.321153359721023.
[I 2025-01-07 12:57:46,051] Trial 7 finished with value: 16.692144420453232 and parameters: {'scale': 1.4621402284065692, 'distribution': 'uniform', 'gravity': 0.005408738458673622, 'alpha': 0.09783434517373495, 'beta': 3.3869345423374755, 'factor': 0.3981004681087895, 'self_conf': 2.131325484121546, 'swarm_conf': 2.221407776292005, 'version': 'constriction', 'radius': 0.8618605002262333, 'angle': 24.560274737637876, 'sigma': 0.28055978329521225}. Best is trial 7 with value: 16.692144420453232.
[I 2025-01-07 12:57:46,641] Trial 8 finished with value: 23.48680719300937 and parameters: {'scale': 1.9554592782660731, 'distribution': 'uniform', 'gravity': 0.004581013439680478, 'alpha': 0.031813033948077565, 'beta': 2.9938998814609192, 'factor': 0.4215004239257435, 'self_conf': 2.515429050850851, 'swarm_conf': 2.1861141175501473, 'version': 'inertial', 'radius': 0.6314941235654897, 'angle': 22.961909118359618, 'sigma': 0.2715430889303911}. Best is trial 7 with value: 16.692144420453232.
[I 2025-01-07 12:57:47,233] Trial 9 finished with value: 32.322221415236456 and parameters: {'scale': 0.8355853156135713, 'distribution': 'gaussian', 'gravity': 0.003524704966927908, 'alpha': 0.0987658371977024, 'beta': 4.255329756930121, 'factor': 0.5451900246322844, 'self_conf': 2.452621445395181, 'swarm_conf': 2.344323017006123, 'version': 'inertial', 'radius': 0.5253831785998804, 'angle': 23.342899712993077, 'sigma': 0.25926609996391553}. Best is trial 7 with value: 16.692144420453232.
[I 2025-01-07 12:57:47,838] Trial 10 finished with value: 18.686234439215607 and parameters: {'scale': 1.4705617688259887, 'distribution': 'uniform', 'gravity': 0.000671993597112599, 'alpha': 0.08212047160234598, 'beta': 3.979501056112744, 'factor': 0.6798773088972754, 'self_conf': 2.0707194076914277, 'swarm_conf': 2.029214602072567, 'version': 'constriction', 'radius': 0.8852817366229894, 'angle': 21.058893409396454, 'sigma': 0.19823284238518146}. Best is trial 7 with value: 16.692144420453232.
