Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.8309232619908188, 'self_conf': 2.8401206880667185, 'swarm_conf': 2.5030401628631234, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5223028497983582, 'angle': 24.54147722028314, 'sigma': 0.010243736188053076}
Mejor rendimiento encontrado:
21.443343697118063

Stderr:
[I 2025-01-07 13:10:59,431] A new study created in memory with name: no-name-ccb0ec9d-2fbc-47ef-bb7a-d1f8ed9baa03
[I 2025-01-07 13:11:09,856] Trial 0 finished with value: 26.83801366945692 and parameters: {'factor': 0.7341103824141506, 'self_conf': 2.4116698235930674, 'swarm_conf': 2.9265850032187366, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5130075528050206, 'angle': 20.77932819646063, 'sigma': 0.15939977611680028}. Best is trial 0 with value: 26.83801366945692.
[I 2025-01-07 13:11:10,515] Trial 1 finished with value: 21.64182146427213 and parameters: {'factor': 0.8568870266293579, 'self_conf': 2.3508700847216346, 'swarm_conf': 2.841588232483313, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6536831110857672, 'angle': 20.236996174614944, 'sigma': 0.14817786984129389}. Best is trial 1 with value: 21.64182146427213.
[I 2025-01-07 13:11:11,357] Trial 2 finished with value: 33.11040067830257 and parameters: {'factor': 0.9340586578136119, 'self_conf': 2.205399454857677, 'swarm_conf': 2.2501738949476615, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8568150495311785, 'angle': 23.780109134862837, 'sigma': 0.11125072052697241}. Best is trial 1 with value: 21.64182146427213.
[I 2025-01-07 13:11:12,136] Trial 3 finished with value: 35.944253396316626 and parameters: {'factor': 0.967453389827532, 'self_conf': 2.696342601053804, 'swarm_conf': 2.0950660597869555, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.733291942977057, 'angle': 22.67836457766344, 'sigma': 0.1739110089086984}. Best is trial 1 with value: 21.64182146427213.
[I 2025-01-07 13:11:12,865] Trial 4 finished with value: 26.71196341066969 and parameters: {'factor': 0.5292984543952597, 'self_conf': 2.2255361212913023, 'swarm_conf': 2.996880228892839, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.6893434885947355, 'angle': 23.345820605546315, 'sigma': 0.14082705298083242}. Best is trial 1 with value: 21.64182146427213.
[I 2025-01-07 13:11:13,881] Trial 5 finished with value: 34.124695679251204 and parameters: {'factor': 0.9817393093673034, 'self_conf': 2.933078203326646, 'swarm_conf': 2.637732202250201, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.6551423109257164, 'angle': 24.5213214871457, 'sigma': 0.10735179107277036}. Best is trial 1 with value: 21.64182146427213.
[I 2025-01-07 13:11:14,760] Trial 6 finished with value: 25.036356644659186 and parameters: {'factor': 0.6589057812019667, 'self_conf': 2.348418160603299, 'swarm_conf': 2.478681724679579, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.548814223071406, 'angle': 22.60401374447523, 'sigma': 0.1361050824834085}. Best is trial 1 with value: 21.64182146427213.
[I 2025-01-07 13:11:15,307] Trial 7 finished with value: 29.220649937014485 and parameters: {'factor': 0.8609709493812073, 'self_conf': 2.8708535943547675, 'swarm_conf': 2.1347817165055334, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.7953613058817725, 'angle': 24.602321567398327, 'sigma': 0.04426488805409541}. Best is trial 1 with value: 21.64182146427213.
[I 2025-01-07 13:11:15,961] Trial 8 finished with value: 28.19052060635217 and parameters: {'factor': 0.5492884989411944, 'self_conf': 2.2913406237944143, 'swarm_conf': 2.4124233635808667, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8664543932649305, 'angle': 20.82842726294799, 'sigma': 0.1358479832648384}. Best is trial 1 with value: 21.64182146427213.
[I 2025-01-07 13:11:16,639] Trial 9 finished with value: 21.443343697118063 and parameters: {'factor': 0.8309232619908188, 'self_conf': 2.8401206880667185, 'swarm_conf': 2.5030401628631234, 'version': 'constriction', 'distribution': 'uniform', 'radius': 0.5223028497983582, 'angle': 24.54147722028314, 'sigma': 0.010243736188053076}. Best is trial 9 with value: 21.443343697118063.
[I 2025-01-07 13:11:17,323] Trial 10 finished with value: 28.86197373938826 and parameters: {'factor': 0.7614465626465661, 'self_conf': 2.6845095627662254, 'swarm_conf': 2.6700078038783643, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.5845818229098821, 'angle': 21.784426261227424, 'sigma': 0.013666865493994568}. Best is trial 9 with value: 21.443343697118063.
