Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.038082469852601546, 'distribution': 'uniform', 'gravity': 0.00314943410997236, 'alpha': 0.9836992991618201, 'beta': 2.1056964872151736, 'factor': 0.6195821214192347, 'self_conf': 2.248914005734117, 'swarm_conf': 2.419838211226165, 'version': 'constriction'}
Mejor rendimiento encontrado:
15.483031388247024

Stderr:
[I 2025-01-07 13:32:35,325] A new study created in memory with name: no-name-45133e22-602b-48cf-89ac-43b70b8c38a9
[I 2025-01-07 13:32:37,729] Trial 0 finished with value: 34.271817768509734 and parameters: {'scale': 0.04102777252780491, 'distribution': 'uniform', 'gravity': 0.003981896596255641, 'alpha': 0.7462733198375432, 'beta': 2.670508335398514, 'factor': 0.6850280843755961, 'self_conf': 2.156163796174349, 'swarm_conf': 2.417465718616372, 'version': 'inertial'}. Best is trial 0 with value: 34.271817768509734.
[I 2025-01-07 13:32:38,176] Trial 1 finished with value: 26.151376776002273 and parameters: {'scale': 0.030035451263085274, 'distribution': 'gaussian', 'gravity': 0.006983296403407751, 'alpha': 0.7316565102643523, 'beta': 2.915008392879747, 'factor': 0.6691110393797254, 'self_conf': 1.8400119660530452, 'swarm_conf': 2.9757031949650985, 'version': 'constriction'}. Best is trial 1 with value: 26.151376776002273.
[I 2025-01-07 13:32:38,612] Trial 2 finished with value: 63.33012895339269 and parameters: {'scale': 0.022829183040488678, 'distribution': 'gaussian', 'gravity': 0.0036799013206893767, 'alpha': 0.8286443326610432, 'beta': 2.101661360201965, 'factor': 0.6307841870540576, 'self_conf': 1.5168137944073903, 'swarm_conf': 2.1041037557540134, 'version': 'constriction'}. Best is trial 1 with value: 26.151376776002273.
[I 2025-01-07 13:32:39,037] Trial 3 finished with value: 36.834008526383 and parameters: {'scale': 0.0038332945694889748, 'distribution': 'uniform', 'gravity': 0.003395688324674744, 'alpha': 0.9120239688299837, 'beta': 3.0435960705429985, 'factor': 0.646875594757372, 'self_conf': 2.1191119603871096, 'swarm_conf': 2.763250988047611, 'version': 'inertial'}. Best is trial 1 with value: 26.151376776002273.
[I 2025-01-07 13:32:39,453] Trial 4 finished with value: 40.18030468634119 and parameters: {'scale': 0.0261017779251942, 'distribution': 'gaussian', 'gravity': 0.007705428083178968, 'alpha': 0.7398969944449957, 'beta': 2.564750028798007, 'factor': 0.7160540680977362, 'self_conf': 2.224591904039359, 'swarm_conf': 2.2265701506004483, 'version': 'constriction'}. Best is trial 1 with value: 26.151376776002273.
[I 2025-01-07 13:32:39,879] Trial 5 finished with value: 15.483031388247024 and parameters: {'scale': 0.038082469852601546, 'distribution': 'uniform', 'gravity': 0.00314943410997236, 'alpha': 0.9836992991618201, 'beta': 2.1056964872151736, 'factor': 0.6195821214192347, 'self_conf': 2.248914005734117, 'swarm_conf': 2.419838211226165, 'version': 'constriction'}. Best is trial 5 with value: 15.483031388247024.
[I 2025-01-07 13:32:40,304] Trial 6 finished with value: 69.91938095296732 and parameters: {'scale': 0.008355516310743268, 'distribution': 'gaussian', 'gravity': 0.002796552671839007, 'alpha': 0.7064023149812645, 'beta': 2.485951834673613, 'factor': 0.601720788087626, 'self_conf': 1.698525712577986, 'swarm_conf': 2.244144977583158, 'version': 'inertial'}. Best is trial 5 with value: 15.483031388247024.
[I 2025-01-07 13:32:40,737] Trial 7 finished with value: 76.64335769523194 and parameters: {'scale': 0.007789344732626602, 'distribution': 'gaussian', 'gravity': 0.001242562801646246, 'alpha': 0.7286121680166301, 'beta': 2.5744554902191004, 'factor': 0.6790670184564312, 'self_conf': 2.2409036626530368, 'swarm_conf': 2.0440309553153533, 'version': 'inertial'}. Best is trial 5 with value: 15.483031388247024.
[I 2025-01-07 13:32:41,192] Trial 8 finished with value: 49.868845877235415 and parameters: {'scale': 0.04813933964609819, 'distribution': 'gaussian', 'gravity': 0.0006491611924126434, 'alpha': 0.8765996359104549, 'beta': 3.353217473194935, 'factor': 0.7938402402118104, 'self_conf': 1.8522636077005776, 'swarm_conf': 2.3692967756576153, 'version': 'constriction'}. Best is trial 5 with value: 15.483031388247024.
[I 2025-01-07 13:32:41,643] Trial 9 finished with value: 74.9733233189676 and parameters: {'scale': 0.0018991975898467696, 'distribution': 'gaussian', 'gravity': 0.007221742122344298, 'alpha': 0.7289338232104953, 'beta': 2.534350665756287, 'factor': 0.6426893564551055, 'self_conf': 2.0249039117163488, 'swarm_conf': 2.7488574312583456, 'version': 'inertial'}. Best is trial 5 with value: 15.483031388247024.
[I 2025-01-07 13:32:42,105] Trial 10 finished with value: 16.726068037408233 and parameters: {'scale': 0.03551529377058035, 'distribution': 'uniform', 'gravity': 0.005733038033656216, 'alpha': 0.9971363730928937, 'beta': 2.0220514849453894, 'factor': 0.7346313420605743, 'self_conf': 2.47268928541083, 'swarm_conf': 2.660551829388864, 'version': 'constriction'}. Best is trial 5 with value: 15.483031388247024.
[I 2025-01-07 13:32:42,565] Trial 11 finished with value: 17.27415000564131 and parameters: {'scale': 0.03650549582822977, 'distribution': 'uniform', 'gravity': 0.005759680687610289, 'alpha': 0.9904674361165252, 'beta': 2.044727874572511, 'factor': 0.7349085109306657, 'self_conf': 2.4899756400534283, 'swarm_conf': 2.6099893529219527, 'version': 'constriction'}. Best is trial 5 with value: 15.483031388247024.
[I 2025-01-07 13:32:43,051] Trial 12 finished with value: 17.602845008397495 and parameters: {'scale': 0.03636366277272934, 'distribution': 'uniform', 'gravity': 0.009497514993745466, 'alpha': 0.9912682726178941, 'beta': 2.2552612907817027, 'factor': 0.7585459972507766, 'self_conf': 2.494738398544028, 'swarm_conf': 2.5798912719194838, 'version': 'constriction'}. Best is trial 5 with value: 15.483031388247024.
[I 2025-01-07 13:32:43,595] Trial 13 finished with value: 18.138775762562926 and parameters: {'scale': 0.049821413129326086, 'distribution': 'uniform', 'gravity': 0.005167267446798414, 'alpha': 0.9384542021554126, 'beta': 2.276820125689873, 'factor': 0.7529234956280005, 'self_conf': 2.359577752189721, 'swarm_conf': 2.8360264295842015, 'version': 'constriction'}. Best is trial 5 with value: 15.483031388247024.
[I 2025-01-07 13:32:44,082] Trial 14 finished with value: 23.160292896623712 and parameters: {'scale': 0.017246175960851363, 'distribution': 'uniform', 'gravity': 0.002038448336824027, 'alpha': 0.9478474118335363, 'beta': 2.0089469986578785, 'factor': 0.7133136661840818, 'self_conf': 2.3800848409198943, 'swarm_conf': 2.521299008266799, 'version': 'constriction'}. Best is trial 5 with value: 15.483031388247024.
