Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'radius': 0.5000189893840966, 'angle': 15.489207292978199, 'factor': 0.30119994296486247, 'self_conf': 2.9117413555896583, 'swarm_conf': 2.8790186752720666, 'version': 'inertial', 'distribution': 'uniform'}
Mejor rendimiento encontrado:
13.68068199049053

Stderr:
[I 2025-01-07 13:44:03,350] A new study created in memory with name: no-name-a161b25e-9591-4f40-bf1a-599da4e58fe1
[I 2025-01-07 13:44:06,417] Trial 0 finished with value: 28.300729883719224 and parameters: {'radius': 0.7521972406080423, 'angle': 21.51598463145164, 'factor': 0.3744437508513907, 'self_conf': 2.4362702859432535, 'swarm_conf': 2.629005424405499, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 0 with value: 28.300729883719224.
[I 2025-01-07 13:44:07,013] Trial 1 finished with value: 13.68068199049053 and parameters: {'radius': 0.5000189893840966, 'angle': 15.489207292978199, 'factor': 0.30119994296486247, 'self_conf': 2.9117413555896583, 'swarm_conf': 2.8790186752720666, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 13.68068199049053.
[I 2025-01-07 13:44:07,503] Trial 2 finished with value: 22.889592857691405 and parameters: {'radius': 0.4672486451683495, 'angle': 24.905815672385625, 'factor': 0.3301074881916646, 'self_conf': 1.9919818365999522, 'swarm_conf': 2.8477612637749363, 'version': 'constriction', 'distribution': 'levy'}. Best is trial 1 with value: 13.68068199049053.
[I 2025-01-07 13:44:07,973] Trial 3 finished with value: 17.608319500862684 and parameters: {'radius': 0.5306510065540513, 'angle': 20.47683876585171, 'factor': 0.5683775114864456, 'self_conf': 1.856733113959524, 'swarm_conf': 2.107758426575709, 'version': 'constriction', 'distribution': 'gaussian'}. Best is trial 1 with value: 13.68068199049053.
[I 2025-01-07 13:44:08,455] Trial 4 finished with value: 18.251455321643995 and parameters: {'radius': 0.7760177338995426, 'angle': 23.089195055269286, 'factor': 0.5892057097779214, 'self_conf': 2.048260658183612, 'swarm_conf': 2.621346430813095, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 1 with value: 13.68068199049053.
[I 2025-01-07 13:44:08,929] Trial 5 finished with value: 16.914301752318842 and parameters: {'radius': 0.5689159592388603, 'angle': 19.023989683662432, 'factor': 0.3379975573993144, 'self_conf': 1.9235984936795378, 'swarm_conf': 2.373991682080146, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 13.68068199049053.
[I 2025-01-07 13:44:09,422] Trial 6 finished with value: 20.59892556133147 and parameters: {'radius': 0.48197553152587247, 'angle': 24.44737212397589, 'factor': 0.42498613182187184, 'self_conf': 2.0895980769724694, 'swarm_conf': 2.3115167006340727, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 1 with value: 13.68068199049053.
[I 2025-01-07 13:44:09,902] Trial 7 finished with value: 27.06092380788346 and parameters: {'radius': 0.15614418964751486, 'angle': 15.211581247633536, 'factor': 0.3560706034252812, 'self_conf': 2.507778325741784, 'swarm_conf': 2.6358970884351134, 'version': 'inertial', 'distribution': 'gaussian'}. Best is trial 1 with value: 13.68068199049053.
[I 2025-01-07 13:44:10,399] Trial 8 finished with value: 17.678488470882016 and parameters: {'radius': 0.8812693389399463, 'angle': 24.073454210178962, 'factor': 0.43620357612511107, 'self_conf': 1.8036660426618254, 'swarm_conf': 2.4907523281363333, 'version': 'constriction', 'distribution': 'uniform'}. Best is trial 1 with value: 13.68068199049053.
[I 2025-01-07 13:44:10,929] Trial 9 finished with value: 31.553536039024202 and parameters: {'radius': 0.878900534932981, 'angle': 18.172777424153445, 'factor': 0.6102358999581016, 'self_conf': 2.202566846548415, 'swarm_conf': 2.3959970923333533, 'version': 'inertial', 'distribution': 'levy'}. Best is trial 1 with value: 13.68068199049053.
[I 2025-01-07 13:44:11,453] Trial 10 finished with value: 22.42044390352014 and parameters: {'radius': 0.25780011134848246, 'angle': 15.109775268709898, 'factor': 0.48333919548362086, 'self_conf': 2.9877784814937645, 'swarm_conf': 2.993541753770925, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 13.68068199049053.
[I 2025-01-07 13:44:11,960] Trial 11 finished with value: 15.348897894675677 and parameters: {'radius': 0.5927084376498507, 'angle': 17.69172552318721, 'factor': 0.3053119400772423, 'self_conf': 1.6001702552854822, 'swarm_conf': 2.810017323671559, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 13.68068199049053.
[I 2025-01-07 13:44:12,471] Trial 12 finished with value: 17.91470682062943 and parameters: {'radius': 0.31280924181180625, 'angle': 16.835459432442015, 'factor': 0.4196449419219458, 'self_conf': 1.570869105490959, 'swarm_conf': 2.8327332039540964, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 13.68068199049053.
[I 2025-01-07 13:44:12,957] Trial 13 finished with value: 27.226454389670565 and parameters: {'radius': 0.6432267217912482, 'angle': 16.948509696690746, 'factor': 0.6698740923365916, 'self_conf': 2.9655883114165844, 'swarm_conf': 2.802234759110251, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 13.68068199049053.
[I 2025-01-07 13:44:13,479] Trial 14 finished with value: 19.95767046451785 and parameters: {'radius': 0.3380518988811073, 'angle': 17.103894672966753, 'factor': 0.31097657927162464, 'self_conf': 2.698946900172495, 'swarm_conf': 2.970930817932519, 'version': 'inertial', 'distribution': 'uniform'}. Best is trial 1 with value: 13.68068199049053.
