Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.011690771955423849, 'distribution': 'uniform', 'gravity': 0.0009619944448479293, 'alpha': 1.414196720998301, 'beta': 2.627812990943991, 'factor': 1.00435940998965, 'self_conf': 2.399163401270318, 'swarm_conf': 2.3164441461224703, 'version': 'constriction'}
Mejor rendimiento encontrado:
21.52241376941467

Stderr:
[I 2025-01-09 19:47:52,580] A new study created in memory with name: no-name-9c4dca02-4a6d-4a5d-943d-cfc7ac634997
[I 2025-01-09 19:47:58,023] Trial 0 finished with value: 92.02701670280302 and parameters: {'scale': 0.015333171673709713, 'distribution': 'gaussian', 'gravity': 0.0014870567018978212, 'alpha': 2.088806942827567, 'beta': 3.8817405458483973, 'factor': 1.1862303032111354, 'self_conf': 2.466688469750678, 'swarm_conf': 2.5509152716740973, 'version': 'inertial'}. Best is trial 0 with value: 92.02701670280302.
[I 2025-01-09 19:48:01,277] Trial 1 finished with value: 91.51293203253803 and parameters: {'scale': 0.0024520930177993738, 'distribution': 'uniform', 'gravity': 0.0018814570592721315, 'alpha': 1.9141307544382673, 'beta': 3.6266496774294366, 'factor': 0.9041580693446039, 'self_conf': 2.5546934642225096, 'swarm_conf': 2.650901587166828, 'version': 'inertial'}. Best is trial 1 with value: 91.51293203253803.
[I 2025-01-09 19:48:04,488] Trial 2 finished with value: 160.03781461449012 and parameters: {'scale': 0.014168200620506286, 'distribution': 'uniform', 'gravity': 0.0011039933840825327, 'alpha': 1.0705897087897027, 'beta': 3.2439509427487554, 'factor': 0.8116238900258477, 'self_conf': 2.619385550175839, 'swarm_conf': 2.422344295924039, 'version': 'inertial'}. Best is trial 1 with value: 91.51293203253803.
[I 2025-01-09 19:48:07,754] Trial 3 finished with value: 102.07990611277538 and parameters: {'scale': 0.009003401296937425, 'distribution': 'levy', 'gravity': 0.0015462758335887178, 'alpha': 2.29945905164402, 'beta': 2.0720017347228312, 'factor': 0.8051900292651392, 'self_conf': 2.4768278026469948, 'swarm_conf': 2.3440161921969986, 'version': 'constriction'}. Best is trial 1 with value: 91.51293203253803.
[I 2025-01-09 19:48:10,873] Trial 4 finished with value: 21.52241376941467 and parameters: {'scale': 0.011690771955423849, 'distribution': 'uniform', 'gravity': 0.0009619944448479293, 'alpha': 1.414196720998301, 'beta': 2.627812990943991, 'factor': 1.00435940998965, 'self_conf': 2.399163401270318, 'swarm_conf': 2.3164441461224703, 'version': 'constriction'}. Best is trial 4 with value: 21.52241376941467.
[I 2025-01-09 19:48:14,124] Trial 5 finished with value: 79.83895662281556 and parameters: {'scale': 0.007326373615183214, 'distribution': 'levy', 'gravity': 0.001865310658651206, 'alpha': 1.5503889225049527, 'beta': 2.5360450854979626, 'factor': 1.1995314500154215, 'self_conf': 2.562412854130693, 'swarm_conf': 2.452933408925772, 'version': 'constriction'}. Best is trial 4 with value: 21.52241376941467.
[I 2025-01-09 19:48:17,237] Trial 6 finished with value: 85.7339783132633 and parameters: {'scale': 0.017727324167561058, 'distribution': 'uniform', 'gravity': 0.0013388941428222605, 'alpha': 2.6593719749005196, 'beta': 4.180055070560272, 'factor': 0.8885833866915696, 'self_conf': 2.4843859082689623, 'swarm_conf': 2.610322369960743, 'version': 'constriction'}. Best is trial 4 with value: 21.52241376941467.
[I 2025-01-09 19:48:20,344] Trial 7 finished with value: 82.78852452549026 and parameters: {'scale': 0.018264228171663125, 'distribution': 'uniform', 'gravity': 0.0005414295078871174, 'alpha': 2.8733110013742786, 'beta': 3.388828976727808, 'factor': 0.9611099847175804, 'self_conf': 2.5719435240632453, 'swarm_conf': 2.3852886276795466, 'version': 'constriction'}. Best is trial 4 with value: 21.52241376941467.
[I 2025-01-09 19:48:23,485] Trial 8 finished with value: 75.7035052402968 and parameters: {'scale': 0.012811930359892587, 'distribution': 'gaussian', 'gravity': 0.0010170697408078944, 'alpha': 2.5460872830916794, 'beta': 3.8260601634217197, 'factor': 1.1476889060686837, 'self_conf': 2.6515276081371915, 'swarm_conf': 2.6068075019418426, 'version': 'inertial'}. Best is trial 4 with value: 21.52241376941467.
[I 2025-01-09 19:48:26,608] Trial 9 finished with value: 91.14978329297934 and parameters: {'scale': 0.005701793174523017, 'distribution': 'uniform', 'gravity': 0.0016848556264510563, 'alpha': 2.424326080969479, 'beta': 4.358123646772258, 'factor': 0.931399739458915, 'self_conf': 2.614414129033929, 'swarm_conf': 2.5994151293178254, 'version': 'constriction'}. Best is trial 4 with value: 21.52241376941467.
[I 2025-01-09 19:48:29,991] Trial 10 finished with value: 118.08018586020788 and parameters: {'scale': 0.011243781096371046, 'distribution': 'gaussian', 'gravity': 0.0007328552284887764, 'alpha': 1.1115851818312685, 'beta': 1.5538320855365195, 'factor': 1.0619035577972642, 'self_conf': 2.3399567220246573, 'swarm_conf': 2.3108902724159943, 'version': 'constriction'}. Best is trial 4 with value: 21.52241376941467.
