Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'factor': 0.5327574395900689, 'self_conf': 2.5138475301025682, 'swarm_conf': 2.761677262163555, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5278982648005619, 'angle': 22.678878206747896, 'sigma': 0.12092398214596778}
Mejor rendimiento encontrado:
61.385086112235626

Stderr:
[I 2025-01-09 20:36:59,990] A new study created in memory with name: no-name-61813930-e2bb-405d-831e-515089c23ecf
[I 2025-01-09 20:37:05,976] Trial 0 finished with value: 119.88454265496809 and parameters: {'factor': 0.5861321667284501, 'self_conf': 2.0408806253279295, 'swarm_conf': 2.6288946487668357, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.5032165021646777, 'angle': 21.646698040933707, 'sigma': 0.15019204707982367}. Best is trial 0 with value: 119.88454265496809.
[I 2025-01-09 20:37:09,514] Trial 1 finished with value: 126.94630530552348 and parameters: {'factor': 0.8108775803614025, 'self_conf': 2.1651766019820764, 'swarm_conf': 2.049055732239141, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.6872190509246856, 'angle': 23.905543329065146, 'sigma': 0.159557708349903}. Best is trial 0 with value: 119.88454265496809.
[I 2025-01-09 20:37:12,704] Trial 2 finished with value: 149.94014629475598 and parameters: {'factor': 0.7460431458279504, 'self_conf': 2.8155676587052647, 'swarm_conf': 2.0277941682238256, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.7384832378423171, 'angle': 21.963901294910507, 'sigma': 0.21935864621780807}. Best is trial 0 with value: 119.88454265496809.
[I 2025-01-09 20:37:15,677] Trial 3 finished with value: 146.37731274042778 and parameters: {'factor': 0.7732523324802644, 'self_conf': 2.776318529223129, 'swarm_conf': 2.2603007049488633, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.8888998887392594, 'angle': 24.826378244873023, 'sigma': 0.027285879148658713}. Best is trial 0 with value: 119.88454265496809.
[I 2025-01-09 20:37:18,744] Trial 4 finished with value: 125.2961158701808 and parameters: {'factor': 0.6015523672026537, 'self_conf': 2.4698288946516036, 'swarm_conf': 2.858559447547125, 'version': 'inertial', 'distribution': 'uniform', 'radius': 0.5314362437795046, 'angle': 22.929289977848683, 'sigma': 0.18456182762172713}. Best is trial 0 with value: 119.88454265496809.
[I 2025-01-09 20:37:21,570] Trial 5 finished with value: 132.05859124061993 and parameters: {'factor': 0.6663173979566217, 'self_conf': 2.308962813471284, 'swarm_conf': 2.6540586608569203, 'version': 'inertial', 'distribution': 'gaussian', 'radius': 0.5464324840200491, 'angle': 20.525763083199344, 'sigma': 0.27098517849349996}. Best is trial 0 with value: 119.88454265496809.
[I 2025-01-09 20:37:24,469] Trial 6 finished with value: 144.08508454494034 and parameters: {'factor': 0.6653910016042235, 'self_conf': 2.688683617579038, 'swarm_conf': 2.8980875317697024, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.8035719792851376, 'angle': 23.170728905276448, 'sigma': 0.05126450938980525}. Best is trial 0 with value: 119.88454265496809.
[I 2025-01-09 20:37:27,498] Trial 7 finished with value: 61.385086112235626 and parameters: {'factor': 0.5327574395900689, 'self_conf': 2.5138475301025682, 'swarm_conf': 2.761677262163555, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5278982648005619, 'angle': 22.678878206747896, 'sigma': 0.12092398214596778}. Best is trial 7 with value: 61.385086112235626.
[I 2025-01-09 20:37:30,441] Trial 8 finished with value: 124.005312370255 and parameters: {'factor': 0.544450148457537, 'self_conf': 2.4691477197164344, 'swarm_conf': 2.0874042381767866, 'version': 'constriction', 'distribution': 'gaussian', 'radius': 0.8435563469187678, 'angle': 20.115672147610116, 'sigma': 0.23268096809302785}. Best is trial 7 with value: 61.385086112235626.
[I 2025-01-09 20:37:33,359] Trial 9 finished with value: 136.39973360859796 and parameters: {'factor': 0.9955497824970589, 'self_conf': 2.7044595764275376, 'swarm_conf': 2.798019422723597, 'version': 'inertial', 'distribution': 'levy', 'radius': 0.6421232391101144, 'angle': 22.656037885347146, 'sigma': 0.20203273406991268}. Best is trial 7 with value: 61.385086112235626.
[I 2025-01-09 20:37:36,196] Trial 10 finished with value: 117.28331420403887 and parameters: {'factor': 0.877676704091009, 'self_conf': 2.9458400382270793, 'swarm_conf': 2.388926308113408, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.6082840302321173, 'angle': 21.35350011626991, 'sigma': 0.10037337278448026}. Best is trial 7 with value: 61.385086112235626.
[I 2025-01-09 20:37:39,028] Trial 11 finished with value: 118.74957424983957 and parameters: {'factor': 0.9207911737200942, 'self_conf': 2.983858779868549, 'swarm_conf': 2.3942105731407675, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.591141150346979, 'angle': 21.193032084167708, 'sigma': 0.07927487204762787}. Best is trial 7 with value: 61.385086112235626.
[I 2025-01-09 20:37:41,829] Trial 12 finished with value: 113.27930539462213 and parameters: {'factor': 0.8518891547335586, 'self_conf': 2.988175994268204, 'swarm_conf': 2.4900402071879784, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.6143479276922571, 'angle': 21.02635799871805, 'sigma': 0.10019436002714201}. Best is trial 7 with value: 61.385086112235626.
[I 2025-01-09 20:37:44,621] Trial 13 finished with value: 69.25104355343993 and parameters: {'factor': 0.5139712924602367, 'self_conf': 2.5426464215824347, 'swarm_conf': 2.627210188644116, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5793587169247169, 'angle': 23.71753053808151, 'sigma': 0.12328731610512142}. Best is trial 7 with value: 61.385086112235626.
[I 2025-01-09 20:37:49,648] Trial 14 finished with value: 81.36237467955021 and parameters: {'factor': 0.5089952250004545, 'self_conf': 2.556160499703644, 'swarm_conf': 2.6881322121101947, 'version': 'constriction', 'distribution': 'levy', 'radius': 0.5664722401124159, 'angle': 23.969521685356373, 'sigma': 0.13284469644306585}. Best is trial 7 with value: 61.385086112235626.
