Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.01979870720114884, 'distribution': 'uniform', 'gravity': 0.009259282364160107, 'alpha': 0.061935829181420925, 'beta': 2.1016425037319766, 'dt': 1.9890702489202914, 'factor': 0.7256267652518907, 'self_conf': 2.6359063863395957, 'swarm_conf': 2.745207852261716, 'version': 'constriction'}
Mejor rendimiento encontrado:
25.78661446607083

Stderr:
[I 2025-01-09 20:45:52,111] A new study created in memory with name: no-name-a567656d-53e9-45f3-b3ae-6e263384683c
[I 2025-01-09 20:45:59,520] Trial 0 finished with value: 175.92670571864943 and parameters: {'scale': 0.07998317329864753, 'distribution': 'levy', 'gravity': 0.006446641520163407, 'alpha': 0.031310562585178246, 'beta': 4.056137773254523, 'dt': 0.9023721987244058, 'factor': 0.7932310622361762, 'self_conf': 2.958951353584839, 'swarm_conf': 2.952847021738539, 'version': 'inertial'}. Best is trial 0 with value: 175.92670571864943.
[I 2025-01-09 20:46:04,172] Trial 1 finished with value: 136.13281111400178 and parameters: {'scale': 0.03251653200789737, 'distribution': 'levy', 'gravity': 0.0078122596667857674, 'alpha': 0.013630933271025531, 'beta': 1.7946741236770376, 'dt': 1.396259259272004, 'factor': 0.7473408446163667, 'self_conf': 2.8293710717688043, 'swarm_conf': 2.5657186448086367, 'version': 'inertial'}. Best is trial 1 with value: 136.13281111400178.
[I 2025-01-09 20:46:09,486] Trial 2 finished with value: 117.6077006314465 and parameters: {'scale': 0.05083250297648383, 'distribution': 'gaussian', 'gravity': 0.00571954314727509, 'alpha': 0.04115799046484475, 'beta': 3.222387332739544, 'dt': 0.69966971245547, 'factor': 0.7955980514411207, 'self_conf': 2.593483351321903, 'swarm_conf': 2.959113610994113, 'version': 'constriction'}. Best is trial 2 with value: 117.6077006314465.
[I 2025-01-09 20:46:13,861] Trial 3 finished with value: 173.8505443205516 and parameters: {'scale': 0.09677103524094736, 'distribution': 'levy', 'gravity': 0.003720872431278755, 'alpha': 0.031951372555131335, 'beta': 1.6224348194956661, 'dt': 1.6806139744790332, 'factor': 0.7725260984196202, 'self_conf': 2.56644640366469, 'swarm_conf': 2.8003060399659025, 'version': 'inertial'}. Best is trial 2 with value: 117.6077006314465.
[I 2025-01-09 20:46:17,447] Trial 4 finished with value: 30.290929955573652 and parameters: {'scale': 0.03715188670993786, 'distribution': 'uniform', 'gravity': 0.006605219238313812, 'alpha': 0.07308220261404072, 'beta': 2.7404465915163145, 'dt': 1.689521707475968, 'factor': 0.7347084098082801, 'self_conf': 2.6710582803341834, 'swarm_conf': 2.614055774593739, 'version': 'constriction'}. Best is trial 4 with value: 30.290929955573652.
[I 2025-01-09 20:46:21,136] Trial 5 finished with value: 165.7561249804316 and parameters: {'scale': 0.09589237846792735, 'distribution': 'levy', 'gravity': 0.0021084259944606394, 'alpha': 0.05091243246012618, 'beta': 1.9566836091229143, 'dt': 1.2596607038058714, 'factor': 0.7657096332554899, 'self_conf': 2.871176504681695, 'swarm_conf': 2.971043939773844, 'version': 'inertial'}. Best is trial 4 with value: 30.290929955573652.
[I 2025-01-09 20:46:24,950] Trial 6 finished with value: 158.88146422388672 and parameters: {'scale': 0.09643878156474138, 'distribution': 'levy', 'gravity': 0.008171476979680228, 'alpha': 0.015137682599740663, 'beta': 2.942152092560451, 'dt': 0.5261394326881692, 'factor': 0.7849393405270122, 'self_conf': 2.6949315311070854, 'swarm_conf': 2.795065284740968, 'version': 'constriction'}. Best is trial 4 with value: 30.290929955573652.
[I 2025-01-09 20:46:29,268] Trial 7 finished with value: 171.93210959261242 and parameters: {'scale': 0.09164560898490821, 'distribution': 'uniform', 'gravity': 0.0023828296865185776, 'alpha': 0.06826034566511731, 'beta': 3.487569015281989, 'dt': 0.9746661456185471, 'factor': 0.7519232083626377, 'self_conf': 2.8821438737281584, 'swarm_conf': 2.8992689367482503, 'version': 'inertial'}. Best is trial 4 with value: 30.290929955573652.
[I 2025-01-09 20:46:33,294] Trial 8 finished with value: 160.25114581336396 and parameters: {'scale': 0.07175369504445549, 'distribution': 'levy', 'gravity': 0.008427779177264092, 'alpha': 0.09631301049005908, 'beta': 2.8824155002297176, 'dt': 1.9276006862130532, 'factor': 0.7054422774347398, 'self_conf': 2.918426347556822, 'swarm_conf': 2.603103724491166, 'version': 'inertial'}. Best is trial 4 with value: 30.290929955573652.
[I 2025-01-09 20:46:37,618] Trial 9 finished with value: 137.88888750719838 and parameters: {'scale': 0.03181006979830182, 'distribution': 'levy', 'gravity': 0.007411484040636402, 'alpha': 0.010115591204014179, 'beta': 2.667403462363933, 'dt': 0.5526111695131224, 'factor': 0.7415047568171003, 'self_conf': 2.8382690405996267, 'swarm_conf': 2.6482433445720477, 'version': 'inertial'}. Best is trial 4 with value: 30.290929955573652.
[I 2025-01-09 20:46:41,779] Trial 10 finished with value: 27.5395822272882 and parameters: {'scale': 0.013785910826701522, 'distribution': 'uniform', 'gravity': 0.009923547302160947, 'alpha': 0.07859419078158404, 'beta': 2.4353586105264524, 'dt': 1.6053423072406954, 'factor': 0.717564377927208, 'self_conf': 2.7046599465611303, 'swarm_conf': 2.706292566918351, 'version': 'constriction'}. Best is trial 10 with value: 27.5395822272882.
