Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.3780700568903595, 'distribution': 'uniform', 'factor': 0.5208726602361291, 'self_conf': 2.6819722798367507, 'swarm_conf': 2.4226051313133, 'version': 'constriction', 'radius': 0.5030286417166663, 'angle': 29.599443827298664, 'sigma': 0.032257964884433214}
Mejor rendimiento encontrado:
43.17170269553922

Stderr:
[I 2025-01-09 21:04:05,747] A new study created in memory with name: no-name-0ffd91f0-3374-42bd-b861-a812aac2bc3a
[I 2025-01-09 21:04:12,755] Trial 0 finished with value: 117.89965477008806 and parameters: {'scale': 0.17879541849366787, 'distribution': 'gaussian', 'factor': 0.8813400472872246, 'self_conf': 1.9316476970241596, 'swarm_conf': 2.3217707798628666, 'version': 'inertial', 'radius': 0.6124376741261681, 'angle': 20.196851580306614, 'sigma': 0.03500176894657671}. Best is trial 0 with value: 117.89965477008806.
[I 2025-01-09 21:04:16,101] Trial 1 finished with value: 125.73907846833188 and parameters: {'scale': 0.29433173406915397, 'distribution': 'gaussian', 'factor': 0.6679646659057349, 'self_conf': 1.8326870631256877, 'swarm_conf': 2.3216419894710256, 'version': 'constriction', 'radius': 0.7503101942515344, 'angle': 20.23056119444695, 'sigma': 0.018393341957353215}. Best is trial 0 with value: 117.89965477008806.
[I 2025-01-09 21:04:19,106] Trial 2 finished with value: 54.47382046149291 and parameters: {'scale': 0.48858268248238107, 'distribution': 'uniform', 'factor': 0.8050036247036092, 'self_conf': 1.831924550678196, 'swarm_conf': 2.3323196479638533, 'version': 'constriction', 'radius': 0.5544746746772805, 'angle': 26.679109082745086, 'sigma': 0.038749970175663076}. Best is trial 2 with value: 54.47382046149291.
[I 2025-01-09 21:04:22,186] Trial 3 finished with value: 44.181538505253855 and parameters: {'scale': 0.11201260372293231, 'distribution': 'uniform', 'factor': 0.7370236750710766, 'self_conf': 2.220932632009154, 'swarm_conf': 2.488613552275894, 'version': 'constriction', 'radius': 0.6377625464586489, 'angle': 22.457128087107925, 'sigma': 0.02821767460283239}. Best is trial 3 with value: 44.181538505253855.
[I 2025-01-09 21:04:25,034] Trial 4 finished with value: 127.79612585187901 and parameters: {'scale': 0.19782365307560404, 'distribution': 'uniform', 'factor': 0.7666740042933294, 'self_conf': 2.0854880034664225, 'swarm_conf': 2.360459618783729, 'version': 'inertial', 'radius': 0.8777340648169384, 'angle': 21.037014673252344, 'sigma': 0.026210172511272854}. Best is trial 3 with value: 44.181538505253855.
[I 2025-01-09 21:04:27,843] Trial 5 finished with value: 121.73213047293842 and parameters: {'scale': 0.13531605516156558, 'distribution': 'gaussian', 'factor': 0.9967420503594393, 'self_conf': 2.2613429597555808, 'swarm_conf': 2.348195880171712, 'version': 'inertial', 'radius': 0.657469810254145, 'angle': 22.580023427291568, 'sigma': 0.01117332854484844}. Best is trial 3 with value: 44.181538505253855.
[I 2025-01-09 21:04:30,781] Trial 6 finished with value: 52.48394765897039 and parameters: {'scale': 0.21521226151777736, 'distribution': 'uniform', 'factor': 0.913040498739667, 'self_conf': 2.0063716228134636, 'swarm_conf': 2.5616579618267106, 'version': 'constriction', 'radius': 0.7895145572922732, 'angle': 25.397336519076987, 'sigma': 0.016304022089580882}. Best is trial 3 with value: 44.181538505253855.
[I 2025-01-09 21:04:33,600] Trial 7 finished with value: 101.43900092906377 and parameters: {'scale': 0.13001662410216622, 'distribution': 'gaussian', 'factor': 0.6133136381330218, 'self_conf': 2.359932684744057, 'swarm_conf': 2.325067082120431, 'version': 'constriction', 'radius': 0.7119228716678833, 'angle': 21.881744735135133, 'sigma': 0.02675687799673769}. Best is trial 3 with value: 44.181538505253855.
[I 2025-01-09 21:04:36,504] Trial 8 finished with value: 49.25027894660641 and parameters: {'scale': 0.4087140758083181, 'distribution': 'uniform', 'factor': 0.9611733640047542, 'self_conf': 2.0472366802184188, 'swarm_conf': 2.473679163291135, 'version': 'constriction', 'radius': 0.7145201491742299, 'angle': 21.33203964947052, 'sigma': 0.024154217153279648}. Best is trial 3 with value: 44.181538505253855.
[I 2025-01-09 21:04:39,300] Trial 9 finished with value: 123.88760369091132 and parameters: {'scale': 0.2812999702638525, 'distribution': 'uniform', 'factor': 0.6524015361494423, 'self_conf': 2.4281817771834104, 'swarm_conf': 2.4923828501101077, 'version': 'inertial', 'radius': 0.8230395982255326, 'angle': 25.460983065141097, 'sigma': 0.032963348043473166}. Best is trial 3 with value: 44.181538505253855.
[I 2025-01-09 21:04:42,554] Trial 10 finished with value: 43.836843972369245 and parameters: {'scale': 0.37635876506315974, 'distribution': 'uniform', 'factor': 0.5319860711156699, 'self_conf': 2.684956533602449, 'swarm_conf': 2.4106374056417446, 'version': 'constriction', 'radius': 0.5267152677029164, 'angle': 29.14674884739715, 'sigma': 0.03252946135396322}. Best is trial 10 with value: 43.836843972369245.
