Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.8968084681545709, 'distribution': 'uniform', 'beta': 2.1196653397047034, 'factor': 0.6766185557924459, 'self_conf': 2.6249540530983704, 'swarm_conf': 2.0172725902428326, 'version': 'constriction'}
Mejor rendimiento encontrado:
19.975322241924026

Stderr:
[I 2025-01-09 21:10:10,338] A new study created in memory with name: no-name-2645165f-4e07-4c53-8870-234f5ea26b45
[I 2025-01-09 21:10:15,084] Trial 0 finished with value: 186.5687738258049 and parameters: {'scale': 0.21065228687244028, 'distribution': 'gaussian', 'beta': 1.5004276412711917, 'factor': 0.8138726357770931, 'self_conf': 2.8556003431014614, 'swarm_conf': 2.664124266474955, 'version': 'inertial'}. Best is trial 0 with value: 186.5687738258049.
[I 2025-01-09 21:10:16,669] Trial 1 finished with value: 35.88406271401415 and parameters: {'scale': 0.44320606288625997, 'distribution': 'uniform', 'beta': 4.381119920363922, 'factor': 0.8841264786903335, 'self_conf': 2.117295532539415, 'swarm_conf': 2.368031407026652, 'version': 'constriction'}. Best is trial 1 with value: 35.88406271401415.
[I 2025-01-09 21:10:18,255] Trial 2 finished with value: 138.9127979365818 and parameters: {'scale': 0.12117366104779403, 'distribution': 'gaussian', 'beta': 3.340461511380881, 'factor': 0.6483333895550674, 'self_conf': 2.0659095556219422, 'swarm_conf': 2.408335612641269, 'version': 'constriction'}. Best is trial 1 with value: 35.88406271401415.
[I 2025-01-09 21:10:19,794] Trial 3 finished with value: 183.50972125442829 and parameters: {'scale': 0.7382286683805294, 'distribution': 'uniform', 'beta': 2.9513977059161483, 'factor': 0.7437031850611574, 'self_conf': 2.897271200211834, 'swarm_conf': 2.429496280145169, 'version': 'inertial'}. Best is trial 1 with value: 35.88406271401415.
[I 2025-01-09 21:10:21,317] Trial 4 finished with value: 167.0072748140638 and parameters: {'scale': 0.3817431334115445, 'distribution': 'uniform', 'beta': 1.3562762645945874, 'factor': 0.6034165269332132, 'self_conf': 2.8417418194421336, 'swarm_conf': 2.043191459287102, 'version': 'inertial'}. Best is trial 1 with value: 35.88406271401415.
[I 2025-01-09 21:10:22,859] Trial 5 finished with value: 172.27495461943752 and parameters: {'scale': 0.4015934521805129, 'distribution': 'gaussian', 'beta': 3.571660831937374, 'factor': 0.6077194422918631, 'self_conf': 2.3458459905031703, 'swarm_conf': 2.511991588970586, 'version': 'inertial'}. Best is trial 1 with value: 35.88406271401415.
[I 2025-01-09 21:10:24,352] Trial 6 finished with value: 78.08499926440902 and parameters: {'scale': 0.6431714968457132, 'distribution': 'gaussian', 'beta': 3.532657763084045, 'factor': 0.8544729538111469, 'self_conf': 2.3491958754131583, 'swarm_conf': 2.9057744371851735, 'version': 'constriction'}. Best is trial 1 with value: 35.88406271401415.
[I 2025-01-09 21:10:25,811] Trial 7 finished with value: 29.80915496035545 and parameters: {'scale': 0.7940817413588479, 'distribution': 'uniform', 'beta': 2.035490418932297, 'factor': 0.6974372862122055, 'self_conf': 2.1819446812089627, 'swarm_conf': 2.453934218150383, 'version': 'constriction'}. Best is trial 7 with value: 29.80915496035545.
[I 2025-01-09 21:10:27,210] Trial 8 finished with value: 185.8326817473338 and parameters: {'scale': 0.5306234466583469, 'distribution': 'uniform', 'beta': 4.216475838625982, 'factor': 0.6225032469441352, 'self_conf': 2.8429688896015253, 'swarm_conf': 2.7501868231492947, 'version': 'inertial'}. Best is trial 7 with value: 29.80915496035545.
[I 2025-01-09 21:10:28,632] Trial 9 finished with value: 86.90011776622053 and parameters: {'scale': 0.27885163485604014, 'distribution': 'gaussian', 'beta': 3.077578059932497, 'factor': 0.7262103070706948, 'self_conf': 2.87967357889017, 'swarm_conf': 2.508387568641719, 'version': 'constriction'}. Best is trial 7 with value: 29.80915496035545.
[I 2025-01-09 21:10:30,026] Trial 10 finished with value: 23.170466710914987 and parameters: {'scale': 0.8554588546228983, 'distribution': 'uniform', 'beta': 1.8701532507565095, 'factor': 0.6901283775514243, 'self_conf': 2.587503016014419, 'swarm_conf': 2.1325444893329797, 'version': 'constriction'}. Best is trial 10 with value: 23.170466710914987.
[I 2025-01-09 21:10:31,377] Trial 11 finished with value: 20.11790227741296 and parameters: {'scale': 0.8898930542157887, 'distribution': 'uniform', 'beta': 2.1134630279727538, 'factor': 0.6891896363120027, 'self_conf': 2.598451890723075, 'swarm_conf': 2.0781961898184815, 'version': 'constriction'}. Best is trial 11 with value: 20.11790227741296.
[I 2025-01-09 21:10:32,741] Trial 12 finished with value: 19.975322241924026 and parameters: {'scale': 0.8968084681545709, 'distribution': 'uniform', 'beta': 2.1196653397047034, 'factor': 0.6766185557924459, 'self_conf': 2.6249540530983704, 'swarm_conf': 2.0172725902428326, 'version': 'constriction'}. Best is trial 12 with value: 19.975322241924026.
[I 2025-01-09 21:10:34,115] Trial 13 finished with value: 27.92274121085242 and parameters: {'scale': 0.8856469045372355, 'distribution': 'uniform', 'beta': 2.3887755877164927, 'factor': 0.7763582920995369, 'self_conf': 2.6389775362502776, 'swarm_conf': 2.202028489533879, 'version': 'constriction'}. Best is trial 12 with value: 19.975322241924026.
[I 2025-01-09 21:10:35,462] Trial 14 finished with value: 22.183317977767864 and parameters: {'scale': 0.6892269313669384, 'distribution': 'uniform', 'beta': 2.4051287768338803, 'factor': 0.6725024237567251, 'self_conf': 2.68142761937958, 'swarm_conf': 2.0279743522409275, 'version': 'constriction'}. Best is trial 12 with value: 19.975322241924026.
