Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.005286234693202038, 'distribution': 'uniform', 'factor': 0.6985102963231126, 'self_conf': 2.136374742160269, 'swarm_conf': 2.691754642797297, 'version': 'constriction', 'radius': 0.7034564041054041, 'angle': 22.094605228683537, 'sigma': 0.06277387239751933}
Mejor rendimiento encontrado:
36.584866838134104

Stderr:
[I 2025-01-09 23:26:42,346] A new study created in memory with name: no-name-2da00641-eeca-4b32-8451-9be8fd719303
[I 2025-01-09 23:26:46,848] Trial 0 finished with value: 108.78609841344247 and parameters: {'scale': 0.0445359433058907, 'distribution': 'gaussian', 'factor': 0.5494365108330089, 'self_conf': 2.6466259473537015, 'swarm_conf': 2.8401560362732416, 'version': 'constriction', 'radius': 0.8692496728695526, 'angle': 20.307450169283218, 'sigma': 0.06958529827377481}. Best is trial 0 with value: 108.78609841344247.
[I 2025-01-09 23:26:49,186] Trial 1 finished with value: 127.56099915995559 and parameters: {'scale': 0.02546588051437585, 'distribution': 'gaussian', 'factor': 0.7690530365917368, 'self_conf': 2.9762430070273904, 'swarm_conf': 2.2932741744856884, 'version': 'inertial', 'radius': 0.7311133768502869, 'angle': 21.176560473997334, 'sigma': 0.08918313248205817}. Best is trial 0 with value: 108.78609841344247.
[I 2025-01-09 23:26:51,458] Trial 2 finished with value: 44.04387113722969 and parameters: {'scale': 0.024992949370005707, 'distribution': 'uniform', 'factor': 0.560570803506065, 'self_conf': 1.7024447780152552, 'swarm_conf': 2.7916183349280512, 'version': 'constriction', 'radius': 0.7280580481779837, 'angle': 20.60396097168055, 'sigma': 0.06643101606822008}. Best is trial 2 with value: 44.04387113722969.
[I 2025-01-09 23:26:53,777] Trial 3 finished with value: 123.61805715535115 and parameters: {'scale': 0.029683426583925976, 'distribution': 'gaussian', 'factor': 0.8016657608057844, 'self_conf': 2.3930506605173876, 'swarm_conf': 2.943064266585216, 'version': 'inertial', 'radius': 0.750185068303501, 'angle': 21.500548490253625, 'sigma': 0.07424056614947404}. Best is trial 2 with value: 44.04387113722969.
[I 2025-01-09 23:26:56,086] Trial 4 finished with value: 137.80422207345745 and parameters: {'scale': 0.014111699195423459, 'distribution': 'gaussian', 'factor': 0.5301850364626154, 'self_conf': 1.5777187907140424, 'swarm_conf': 1.785906392189193, 'version': 'inertial', 'radius': 0.8678390750929544, 'angle': 23.559608198125343, 'sigma': 0.07481926045470232}. Best is trial 2 with value: 44.04387113722969.
[I 2025-01-09 23:26:58,376] Trial 5 finished with value: 103.5168193342424 and parameters: {'scale': 0.0861242468742345, 'distribution': 'gaussian', 'factor': 0.6997920220830204, 'self_conf': 2.499973369436219, 'swarm_conf': 2.8877685029806974, 'version': 'constriction', 'radius': 0.7568386518674484, 'angle': 24.276933926666125, 'sigma': 0.09589447927843882}. Best is trial 2 with value: 44.04387113722969.
[I 2025-01-09 23:27:00,616] Trial 6 finished with value: 122.80667139444385 and parameters: {'scale': 0.0581351655173196, 'distribution': 'uniform', 'factor': 0.8517877277752348, 'self_conf': 2.6909924342237694, 'swarm_conf': 2.305782439318725, 'version': 'inertial', 'radius': 0.7397570730295655, 'angle': 23.69599133841584, 'sigma': 0.06621236243573264}. Best is trial 2 with value: 44.04387113722969.
[I 2025-01-09 23:27:02,850] Trial 7 finished with value: 40.21215166253714 and parameters: {'scale': 0.09538051458181836, 'distribution': 'uniform', 'factor': 0.8090676145417238, 'self_conf': 2.751897302192448, 'swarm_conf': 2.9125180288930848, 'version': 'constriction', 'radius': 0.7702927243487553, 'angle': 24.933322132132602, 'sigma': 0.07066826611393003}. Best is trial 7 with value: 40.21215166253714.
[I 2025-01-09 23:27:05,116] Trial 8 finished with value: 105.81661428514188 and parameters: {'scale': 0.053338348951392146, 'distribution': 'uniform', 'factor': 0.82138417287845, 'self_conf': 1.9629280080650797, 'swarm_conf': 1.5365139918203707, 'version': 'inertial', 'radius': 0.7707243191844776, 'angle': 23.029755650270634, 'sigma': 0.09458253582512852}. Best is trial 7 with value: 40.21215166253714.
[I 2025-01-09 23:27:07,391] Trial 9 finished with value: 134.49996251020954 and parameters: {'scale': 0.07924222081132704, 'distribution': 'gaussian', 'factor': 0.6060382209599798, 'self_conf': 1.842552213215767, 'swarm_conf': 1.7659609484907246, 'version': 'inertial', 'radius': 0.8407393514116068, 'angle': 20.152698726125376, 'sigma': 0.050328553825382344}. Best is trial 7 with value: 40.21215166253714.
[I 2025-01-09 23:27:09,603] Trial 10 finished with value: 44.52400720346471 and parameters: {'scale': 0.09831971177648109, 'distribution': 'uniform', 'factor': 0.8983062277839804, 'self_conf': 2.999220279055471, 'swarm_conf': 2.4999418262120536, 'version': 'constriction', 'radius': 0.8321445580728126, 'angle': 24.66882328213116, 'sigma': 0.054780870540159884}. Best is trial 7 with value: 40.21215166253714.
