Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.07805436758777234, 'distribution': 'uniform', 'gravity': 0.001725451039142446, 'alpha': 0.09540482420198948, 'beta': 3.8031934001867, 'dt': 1.9665519567498992, 'factor': 0.7028641523524904, 'self_conf': 2.8137028621222924, 'swarm_conf': 2.9460403934093584, 'version': 'constriction'}
Mejor rendimiento encontrado:
85.22216287126128

Stderr:
[I 2025-01-10 00:00:12,594] A new study created in memory with name: no-name-643cf084-a53d-426f-9204-885b063826dd
[I 2025-01-10 00:00:18,749] Trial 0 finished with value: 140.77858070951814 and parameters: {'scale': 0.012202814599272254, 'distribution': 'gaussian', 'gravity': 0.004495990621777205, 'alpha': 0.010681096301992776, 'beta': 4.376369520052609, 'dt': 1.404343070412061, 'factor': 0.8760021864776764, 'self_conf': 2.263419963085257, 'swarm_conf': 2.5370789400817944, 'version': 'inertial'}. Best is trial 0 with value: 140.77858070951814.
[I 2025-01-10 00:00:22,732] Trial 1 finished with value: 138.3921184203365 and parameters: {'scale': 0.010317529486989782, 'distribution': 'levy', 'gravity': 0.006484104420398231, 'alpha': 0.03553561068924732, 'beta': 2.1781041286417535, 'dt': 0.9570274080813105, 'factor': 0.7699056771118485, 'self_conf': 2.462355268539607, 'swarm_conf': 2.3898964236252853, 'version': 'constriction'}. Best is trial 1 with value: 138.3921184203365.
[I 2025-01-10 00:00:26,787] Trial 2 finished with value: 143.38844557819007 and parameters: {'scale': 0.026009293793423795, 'distribution': 'levy', 'gravity': 0.00777272261236797, 'alpha': 0.028154627043280547, 'beta': 3.0168671250887025, 'dt': 1.7546085512768512, 'factor': 0.8966242175941993, 'self_conf': 2.7375339911956003, 'swarm_conf': 2.217721895948472, 'version': 'constriction'}. Best is trial 1 with value: 138.3921184203365.
[I 2025-01-10 00:00:30,828] Trial 3 finished with value: 140.6478420928411 and parameters: {'scale': 0.09879262395797218, 'distribution': 'gaussian', 'gravity': 0.009535597881523706, 'alpha': 0.05911403162904484, 'beta': 2.7671998737581105, 'dt': 0.6295890600500063, 'factor': 0.7547372185485967, 'self_conf': 2.2174432366606562, 'swarm_conf': 2.855261670096377, 'version': 'constriction'}. Best is trial 1 with value: 138.3921184203365.
[I 2025-01-10 00:00:35,055] Trial 4 finished with value: 142.55352825546453 and parameters: {'scale': 0.07053410098116879, 'distribution': 'levy', 'gravity': 0.0065761907803960065, 'alpha': 0.05445967346182086, 'beta': 3.19212014331105, 'dt': 1.5076964746419146, 'factor': 0.88647307715824, 'self_conf': 2.2727614428775196, 'swarm_conf': 2.3788216788601533, 'version': 'constriction'}. Best is trial 1 with value: 138.3921184203365.
[I 2025-01-10 00:00:39,151] Trial 5 finished with value: 144.8962296895276 and parameters: {'scale': 0.05024207735024356, 'distribution': 'uniform', 'gravity': 0.0010856447673748943, 'alpha': 0.011605369677980341, 'beta': 3.5622283470860996, 'dt': 0.9804545676130941, 'factor': 0.8922642642001707, 'self_conf': 2.485763185351909, 'swarm_conf': 2.518051150318231, 'version': 'inertial'}. Best is trial 1 with value: 138.3921184203365.
[I 2025-01-10 00:00:43,342] Trial 6 finished with value: 139.08310580608065 and parameters: {'scale': 0.09417765271176626, 'distribution': 'gaussian', 'gravity': 0.009917230378477178, 'alpha': 0.08440584034374682, 'beta': 2.926910207299235, 'dt': 0.685320702747285, 'factor': 0.8296667431443235, 'self_conf': 2.1169724453081127, 'swarm_conf': 2.3216847402592067, 'version': 'inertial'}. Best is trial 1 with value: 138.3921184203365.
[I 2025-01-10 00:00:47,563] Trial 7 finished with value: 138.4101870273649 and parameters: {'scale': 0.04129855854662459, 'distribution': 'uniform', 'gravity': 0.004406192155813561, 'alpha': 0.02323375798064964, 'beta': 2.624602633907557, 'dt': 0.7783521788669625, 'factor': 0.8146865250687648, 'self_conf': 2.6958169495782034, 'swarm_conf': 2.0934813953588307, 'version': 'inertial'}. Best is trial 1 with value: 138.3921184203365.
[I 2025-01-10 00:00:51,857] Trial 8 finished with value: 143.0561991875253 and parameters: {'scale': 0.025903925936104088, 'distribution': 'gaussian', 'gravity': 0.0026098296076616633, 'alpha': 0.03452395563112348, 'beta': 2.76028668565334, 'dt': 1.3057443411644791, 'factor': 0.7374552829092894, 'self_conf': 2.48354964986821, 'swarm_conf': 2.257699269062358, 'version': 'constriction'}. Best is trial 1 with value: 138.3921184203365.
[I 2025-01-10 00:00:56,202] Trial 9 finished with value: 88.75859252234976 and parameters: {'scale': 0.011440980864439282, 'distribution': 'uniform', 'gravity': 0.0036262502407220106, 'alpha': 0.07250471055226952, 'beta': 4.448306849793369, 'dt': 1.3575003704890023, 'factor': 0.7580639930344402, 'self_conf': 2.971034947064972, 'swarm_conf': 2.6656407535433964, 'version': 'constriction'}. Best is trial 9 with value: 88.75859252234976.
[I 2025-01-10 00:01:00,565] Trial 10 finished with value: 87.80677654887691 and parameters: {'scale': 0.07385475116307263, 'distribution': 'uniform', 'gravity': 0.003240834050365264, 'alpha': 0.09979277284347118, 'beta': 4.457147938929652, 'dt': 1.944751552837532, 'factor': 0.7101205572973326, 'self_conf': 2.944505251100289, 'swarm_conf': 2.7985870553276015, 'version': 'constriction'}. Best is trial 10 with value: 87.80677654887691.
[I 2025-01-10 00:01:04,893] Trial 11 finished with value: 85.56915344557076 and parameters: {'scale': 0.07223462457262797, 'distribution': 'uniform', 'gravity': 0.0029031321762371175, 'alpha': 0.09678292011043244, 'beta': 4.370392341331971, 'dt': 1.9732067219137894, 'factor': 0.7007566746460071, 'self_conf': 2.987456929506922, 'swarm_conf': 2.8206969700814963, 'version': 'constriction'}. Best is trial 11 with value: 85.56915344557076.
[I 2025-01-10 00:01:09,207] Trial 12 finished with value: 86.46363082151264 and parameters: {'scale': 0.07253845427661175, 'distribution': 'uniform', 'gravity': 0.0019585428941364573, 'alpha': 0.09864199816753669, 'beta': 3.8821425493165655, 'dt': 1.9801289428955897, 'factor': 0.7000940000875574, 'self_conf': 2.9345770837578513, 'swarm_conf': 2.8689294191476074, 'version': 'constriction'}. Best is trial 11 with value: 85.56915344557076.
[I 2025-01-10 00:01:13,472] Trial 13 finished with value: 85.22216287126128 and parameters: {'scale': 0.07805436758777234, 'distribution': 'uniform', 'gravity': 0.001725451039142446, 'alpha': 0.09540482420198948, 'beta': 3.8031934001867, 'dt': 1.9665519567498992, 'factor': 0.7028641523524904, 'self_conf': 2.8137028621222924, 'swarm_conf': 2.9460403934093584, 'version': 'constriction'}. Best is trial 13 with value: 85.22216287126128.
[I 2025-01-10 00:01:17,750] Trial 14 finished with value: 91.61240790182708 and parameters: {'scale': 0.08455519055945003, 'distribution': 'uniform', 'gravity': 0.001019910369487116, 'alpha': 0.08388378466820332, 'beta': 3.9245130390265563, 'dt': 1.696021482368772, 'factor': 0.7233157433457776, 'self_conf': 2.7683070466338724, 'swarm_conf': 2.973977575845615, 'version': 'constriction'}. Best is trial 13 with value: 85.22216287126128.
