Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.2347731572675416, 'distribution': 'uniform', 'gravity': 0.15272749210033187, 'alpha': 0.5129532214008398, 'beta': 1.7672887323585988, 'factor': 0.8630179474615391, 'self_conf': 2.7461653191276594, 'swarm_conf': 2.685637406633233, 'version': 'constriction'}
Mejor rendimiento encontrado:
79.77492226546585

Stderr:
[I 2025-01-10 10:21:59,661] A new study created in memory with name: no-name-60b9bb1e-0742-4dd1-89db-481b47bf8100
[I 2025-01-10 10:22:02,753] Trial 0 finished with value: 106.06510501158363 and parameters: {'scale': 0.45152452702503015, 'distribution': 'uniform', 'gravity': 0.014437174328412237, 'alpha': 0.03128347185493567, 'beta': 1.421138509954003, 'factor': 0.8183559874193194, 'self_conf': 2.6310951514878993, 'swarm_conf': 2.8141513641748745, 'version': 'constriction'}. Best is trial 0 with value: 106.06510501158363.
[I 2025-01-10 10:22:03,956] Trial 1 finished with value: 83.12855679307076 and parameters: {'scale': 0.07789159917428375, 'distribution': 'uniform', 'gravity': 0.11505089885055345, 'alpha': 0.8108063282728802, 'beta': 2.5383933331941337, 'factor': 0.821462349717381, 'self_conf': 2.89264587157122, 'swarm_conf': 2.854740340668673, 'version': 'constriction'}. Best is trial 1 with value: 83.12855679307076.
[I 2025-01-10 10:22:05,179] Trial 2 finished with value: 104.77155262890905 and parameters: {'scale': 0.5704381465335029, 'distribution': 'levy', 'gravity': 0.7331616433361965, 'alpha': 0.265598321503522, 'beta': 1.3660521003107582, 'factor': 0.8878889633458216, 'self_conf': 2.7933601300777933, 'swarm_conf': 2.955230197699916, 'version': 'constriction'}. Best is trial 1 with value: 83.12855679307076.
[I 2025-01-10 10:22:06,448] Trial 3 finished with value: 95.39775801239165 and parameters: {'scale': 0.6668694550771258, 'distribution': 'levy', 'gravity': 0.7790204807898541, 'alpha': 0.16320493156410107, 'beta': 2.3970250657302845, 'factor': 0.8323146154889091, 'self_conf': 2.8413157132716114, 'swarm_conf': 2.9604792038177443, 'version': 'inertial'}. Best is trial 1 with value: 83.12855679307076.
[I 2025-01-10 10:22:07,672] Trial 4 finished with value: 95.86007195598538 and parameters: {'scale': 0.6147085505105979, 'distribution': 'gaussian', 'gravity': 0.2904173526686728, 'alpha': 0.5437981397673975, 'beta': 1.7482856079288915, 'factor': 0.8107100825782806, 'self_conf': 2.9571934397493878, 'swarm_conf': 2.7661341798864907, 'version': 'constriction'}. Best is trial 1 with value: 83.12855679307076.
[I 2025-01-10 10:22:08,885] Trial 5 finished with value: 91.64203446291191 and parameters: {'scale': 0.5830004208516306, 'distribution': 'gaussian', 'gravity': 0.2515717503005123, 'alpha': 0.6386283042796354, 'beta': 2.83870561575426, 'factor': 0.8031838259626293, 'self_conf': 2.6706873893827052, 'swarm_conf': 2.7338447404787005, 'version': 'constriction'}. Best is trial 1 with value: 83.12855679307076.
[I 2025-01-10 10:22:10,099] Trial 6 finished with value: 89.37139430612527 and parameters: {'scale': 0.047805093829874835, 'distribution': 'uniform', 'gravity': 0.34621796761494134, 'alpha': 0.3335094793828766, 'beta': 1.5065438215728344, 'factor': 0.8398856933708567, 'self_conf': 2.836505368341741, 'swarm_conf': 2.9311401372693737, 'version': 'inertial'}. Best is trial 1 with value: 83.12855679307076.
[I 2025-01-10 10:22:11,308] Trial 7 finished with value: 133.13091495590535 and parameters: {'scale': 0.4680262736477467, 'distribution': 'uniform', 'gravity': 0.40418442828660317, 'alpha': 0.8058551150825367, 'beta': 1.3643833629716344, 'factor': 0.8835074996131131, 'self_conf': 2.905900552191109, 'swarm_conf': 2.986451516919385, 'version': 'inertial'}. Best is trial 1 with value: 83.12855679307076.
[I 2025-01-10 10:22:12,584] Trial 8 finished with value: 139.09175842683175 and parameters: {'scale': 0.7698539172253909, 'distribution': 'levy', 'gravity': 0.3898360496461247, 'alpha': 0.22925676363631567, 'beta': 2.462354030208722, 'factor': 0.8184474255489622, 'self_conf': 2.684191624496533, 'swarm_conf': 2.857195032414997, 'version': 'inertial'}. Best is trial 1 with value: 83.12855679307076.
[I 2025-01-10 10:22:13,777] Trial 9 finished with value: 107.42703508062215 and parameters: {'scale': 0.2054721912544247, 'distribution': 'gaussian', 'gravity': 0.13831911450197817, 'alpha': 0.31361763965378203, 'beta': 1.9776699712921753, 'factor': 0.8154959946030359, 'self_conf': 2.946540396594937, 'swarm_conf': 2.8056767001400753, 'version': 'inertial'}. Best is trial 1 with value: 83.12855679307076.
[I 2025-01-10 10:22:14,984] Trial 10 finished with value: 102.53441717676326 and parameters: {'scale': 0.2321613237101316, 'distribution': 'uniform', 'gravity': 0.6044074387528464, 'alpha': 0.8992728391369275, 'beta': 2.981370671342569, 'factor': 0.857625000898573, 'self_conf': 2.755133331075095, 'swarm_conf': 2.6168129428956153, 'version': 'constriction'}. Best is trial 1 with value: 83.12855679307076.
