Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.07970933081303191, 'distribution': 'uniform', 'factor': 0.5750727558603824, 'self_conf': 2.3515116240866853, 'swarm_conf': 2.235279067291012, 'version': 'constriction', 'radius': 0.6112389021984759, 'angle': 14.553202327121461, 'sigma': 0.09971744312656729}
Mejor rendimiento encontrado:
56.3950010434873

Stderr:
[I 2025-01-10 10:28:18,901] A new study created in memory with name: no-name-15cbbc11-6726-44a8-b9d1-4b6f6aaf1961
[I 2025-01-10 10:28:21,637] Trial 0 finished with value: 110.80395417711264 and parameters: {'scale': 0.012867093209887846, 'distribution': 'uniform', 'factor': 0.599942214717983, 'self_conf': 2.646108409467843, 'swarm_conf': 1.9821884549180269, 'version': 'inertial', 'radius': 0.8628247757814976, 'angle': 20.43614376388428, 'sigma': 0.05745257103244232}. Best is trial 0 with value: 110.80395417711264.
[I 2025-01-10 10:28:22,669] Trial 1 finished with value: 78.98118708611074 and parameters: {'scale': 0.010626602412002936, 'distribution': 'uniform', 'factor': 0.5027781412536799, 'self_conf': 1.1749118068864806, 'swarm_conf': 2.2665256063867067, 'version': 'constriction', 'radius': 0.7762296969857044, 'angle': 17.08265720026897, 'sigma': 0.09076665198746994}. Best is trial 1 with value: 78.98118708611074.
[I 2025-01-10 10:28:23,699] Trial 2 finished with value: 111.9012504199856 and parameters: {'scale': 0.04815955240121591, 'distribution': 'uniform', 'factor': 0.7080049782233123, 'self_conf': 1.6231814487141043, 'swarm_conf': 1.3181875979916162, 'version': 'constriction', 'radius': 0.8221884150700607, 'angle': 23.229674644520397, 'sigma': 0.08155319832418424}. Best is trial 1 with value: 78.98118708611074.
[I 2025-01-10 10:28:24,737] Trial 3 finished with value: 113.45901223312678 and parameters: {'scale': 0.06586579914913164, 'distribution': 'uniform', 'factor': 0.5521724877851101, 'self_conf': 2.675739063304027, 'swarm_conf': 1.6019975196244691, 'version': 'inertial', 'radius': 0.714074582513862, 'angle': 22.394151965343987, 'sigma': 0.07571275403734107}. Best is trial 1 with value: 78.98118708611074.
[I 2025-01-10 10:28:25,782] Trial 4 finished with value: 60.33260022087173 and parameters: {'scale': 0.07380749364648377, 'distribution': 'uniform', 'factor': 0.5172901481080674, 'self_conf': 2.5976823702436453, 'swarm_conf': 2.2536120067195573, 'version': 'constriction', 'radius': 0.6719859388716567, 'angle': 19.128901509915682, 'sigma': 0.06720825434986892}. Best is trial 4 with value: 60.33260022087173.
[I 2025-01-10 10:28:26,847] Trial 5 finished with value: 100.51622767705621 and parameters: {'scale': 0.022433060159435053, 'distribution': 'gaussian', 'factor': 0.5212437718331625, 'self_conf': 2.154834225938039, 'swarm_conf': 2.7807652477823224, 'version': 'constriction', 'radius': 0.775478726264082, 'angle': 12.125498854648589, 'sigma': 0.052907338606745735}. Best is trial 4 with value: 60.33260022087173.
[I 2025-01-10 10:28:27,904] Trial 6 finished with value: 108.818535980458 and parameters: {'scale': 0.09346457118155911, 'distribution': 'gaussian', 'factor': 0.6625448071336166, 'self_conf': 2.840103936825488, 'swarm_conf': 1.3859078249999108, 'version': 'constriction', 'radius': 0.6230383237284816, 'angle': 13.41219485389758, 'sigma': 0.05299082035345659}. Best is trial 4 with value: 60.33260022087173.
[I 2025-01-10 10:28:28,967] Trial 7 finished with value: 108.83944304194665 and parameters: {'scale': 0.01425207217485751, 'distribution': 'gaussian', 'factor': 0.7588349114172992, 'self_conf': 2.7059653454451653, 'swarm_conf': 1.2035592755407407, 'version': 'constriction', 'radius': 0.7177548731995189, 'angle': 22.721490907730505, 'sigma': 0.07509522424380888}. Best is trial 4 with value: 60.33260022087173.
[I 2025-01-10 10:28:30,015] Trial 8 finished with value: 127.955253712426 and parameters: {'scale': 0.05993847865087801, 'distribution': 'gaussian', 'factor': 0.7775447165944167, 'self_conf': 1.062338055447919, 'swarm_conf': 2.5338980604711607, 'version': 'inertial', 'radius': 0.8562232732168968, 'angle': 20.207539854087067, 'sigma': 0.08868491919190845}. Best is trial 4 with value: 60.33260022087173.
[I 2025-01-10 10:28:31,056] Trial 9 finished with value: 115.1205596020438 and parameters: {'scale': 0.028476004404213193, 'distribution': 'uniform', 'factor': 0.6750738573554271, 'self_conf': 1.358366924097928, 'swarm_conf': 2.59040017084042, 'version': 'constriction', 'radius': 0.861869135104442, 'angle': 23.062797798267887, 'sigma': 0.0689655823477643}. Best is trial 4 with value: 60.33260022087173.
[I 2025-01-10 10:28:32,091] Trial 10 finished with value: 96.3630180363946 and parameters: {'scale': 0.09404785499214134, 'distribution': 'uniform', 'factor': 0.602100877798526, 'self_conf': 2.1966913671451795, 'swarm_conf': 1.8875913538128803, 'version': 'inertial', 'radius': 0.5153127952788333, 'angle': 16.219231040317723, 'sigma': 0.06436017982418873}. Best is trial 4 with value: 60.33260022087173.
[I 2025-01-10 10:28:33,145] Trial 11 finished with value: 62.116642290928645 and parameters: {'scale': 0.0740573369778562, 'distribution': 'uniform', 'factor': 0.50172281640298, 'self_conf': 1.768021683646228, 'swarm_conf': 2.3174065840845692, 'version': 'constriction', 'radius': 0.6090079921227672, 'angle': 16.69406763675348, 'sigma': 0.09712345069886472}. Best is trial 4 with value: 60.33260022087173.
[I 2025-01-10 10:28:34,192] Trial 12 finished with value: 57.663454323591125 and parameters: {'scale': 0.07894555521579998, 'distribution': 'uniform', 'factor': 0.5763207773959312, 'self_conf': 1.8030576837109424, 'swarm_conf': 2.307996241124674, 'version': 'constriction', 'radius': 0.6203015209936499, 'angle': 15.220132102308307, 'sigma': 0.09915065881777789}. Best is trial 12 with value: 57.663454323591125.
[I 2025-01-10 10:28:35,247] Trial 13 finished with value: 56.3950010434873 and parameters: {'scale': 0.07970933081303191, 'distribution': 'uniform', 'factor': 0.5750727558603824, 'self_conf': 2.3515116240866853, 'swarm_conf': 2.235279067291012, 'version': 'constriction', 'radius': 0.6112389021984759, 'angle': 14.553202327121461, 'sigma': 0.09971744312656729}. Best is trial 13 with value: 56.3950010434873.
[I 2025-01-10 10:28:36,290] Trial 14 finished with value: 63.08850103644605 and parameters: {'scale': 0.08479398076291898, 'distribution': 'uniform', 'factor': 0.5836614768492638, 'self_conf': 1.8987997959925855, 'swarm_conf': 1.7302908117131022, 'version': 'constriction', 'radius': 0.5401590734029068, 'angle': 10.07733957232582, 'sigma': 0.09751527066227819}. Best is trial 13 with value: 56.3950010434873.
