Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.07565669449109641, 'distribution': 'uniform', 'factor': 0.7902180636478461, 'self_conf': 2.9999585549717787, 'swarm_conf': 2.9451976105725395, 'version': 'constriction', 'radius': 0.787647387858027, 'angle': 23.15262347051552, 'sigma': 0.12455744889404319}
Mejor rendimiento encontrado:
37.94016239106936

Stderr:
[I 2025-01-10 10:33:52,656] A new study created in memory with name: no-name-ce58e416-8d88-4fa5-95c9-111192984f0a
[I 2025-01-10 10:33:56,355] Trial 0 finished with value: 131.62137069893402 and parameters: {'scale': 0.07365206589961076, 'distribution': 'gaussian', 'factor': 0.5660481322436516, 'self_conf': 2.7887917503232957, 'swarm_conf': 2.4398191357813968, 'version': 'inertial', 'radius': 0.5828690062996178, 'angle': 24.816622026985556, 'sigma': 0.1391973391349748}. Best is trial 0 with value: 131.62137069893402.
[I 2025-01-10 10:33:57,430] Trial 1 finished with value: 45.50858492761 and parameters: {'scale': 0.09134742802003423, 'distribution': 'uniform', 'factor': 0.5529550989344698, 'self_conf': 2.9497212553986105, 'swarm_conf': 2.391697157269524, 'version': 'constriction', 'radius': 0.7353205357667435, 'angle': 21.80575957194434, 'sigma': 0.1423352253823114}. Best is trial 1 with value: 45.50858492761.
[I 2025-01-10 10:33:58,554] Trial 2 finished with value: 129.86394543496027 and parameters: {'scale': 0.07026827618036721, 'distribution': 'uniform', 'factor': 0.532091168613269, 'self_conf': 2.4570751914404374, 'swarm_conf': 2.4778770678925968, 'version': 'inertial', 'radius': 0.7594669213799353, 'angle': 20.818737639720517, 'sigma': 0.07531993314493343}. Best is trial 1 with value: 45.50858492761.
[I 2025-01-10 10:33:59,643] Trial 3 finished with value: 141.26711207246944 and parameters: {'scale': 0.05720130640140136, 'distribution': 'uniform', 'factor': 0.5209909314494635, 'self_conf': 2.5546274104739353, 'swarm_conf': 2.832078469498041, 'version': 'inertial', 'radius': 0.8286247920652567, 'angle': 20.49778267487331, 'sigma': 0.07897466583248997}. Best is trial 1 with value: 45.50858492761.
[I 2025-01-10 10:34:00,736] Trial 4 finished with value: 133.19561460389437 and parameters: {'scale': 0.013815383658634895, 'distribution': 'uniform', 'factor': 0.6793478532844643, 'self_conf': 2.4083684034843413, 'swarm_conf': 2.390848210276905, 'version': 'inertial', 'radius': 0.6986595095011434, 'angle': 24.279772696094373, 'sigma': 0.14751082274176075}. Best is trial 1 with value: 45.50858492761.
[I 2025-01-10 10:34:01,809] Trial 5 finished with value: 47.10464782279463 and parameters: {'scale': 0.09539088437085669, 'distribution': 'uniform', 'factor': 0.6403857408247626, 'self_conf': 2.7504976549897546, 'swarm_conf': 2.503346392924661, 'version': 'constriction', 'radius': 0.6382300912739266, 'angle': 20.5664333347077, 'sigma': 0.1055715901520506}. Best is trial 1 with value: 45.50858492761.
[I 2025-01-10 10:34:02,918] Trial 6 finished with value: 100.76627339114877 and parameters: {'scale': 0.04826762780828905, 'distribution': 'gaussian', 'factor': 0.6844115081988672, 'self_conf': 2.509172118862232, 'swarm_conf': 2.3364256402730215, 'version': 'constriction', 'radius': 0.504067042572662, 'angle': 24.81559813514222, 'sigma': 0.12119758693976106}. Best is trial 1 with value: 45.50858492761.
[I 2025-01-10 10:34:04,009] Trial 7 finished with value: 152.20877875012891 and parameters: {'scale': 0.0854068779581821, 'distribution': 'gaussian', 'factor': 0.6315447208035043, 'self_conf': 2.622437298541578, 'swarm_conf': 2.784942881798988, 'version': 'inertial', 'radius': 0.8664658545891258, 'angle': 21.615454034157278, 'sigma': 0.07285248303163519}. Best is trial 1 with value: 45.50858492761.
[I 2025-01-10 10:34:05,084] Trial 8 finished with value: 46.681262057583105 and parameters: {'scale': 0.04290103750842815, 'distribution': 'uniform', 'factor': 0.5811876247176729, 'self_conf': 2.623309922782066, 'swarm_conf': 2.7188720175507544, 'version': 'constriction', 'radius': 0.567242069016425, 'angle': 20.371713914420507, 'sigma': 0.09975019715568698}. Best is trial 1 with value: 45.50858492761.
[I 2025-01-10 10:34:06,170] Trial 9 finished with value: 44.68740996640727 and parameters: {'scale': 0.09184480161525771, 'distribution': 'uniform', 'factor': 0.6864485077385738, 'self_conf': 2.768553751811826, 'swarm_conf': 2.6246600876247452, 'version': 'constriction', 'radius': 0.8542693079296769, 'angle': 20.314028782188675, 'sigma': 0.08832517370512981}. Best is trial 9 with value: 44.68740996640727.
[I 2025-01-10 10:34:07,260] Trial 10 finished with value: 140.19383740758283 and parameters: {'scale': 0.023375588598817915, 'distribution': 'gaussian', 'factor': 0.7772826940797581, 'self_conf': 2.307843030904963, 'swarm_conf': 2.5984695717057966, 'version': 'constriction', 'radius': 0.8993645099829485, 'angle': 22.797127153848816, 'sigma': 0.05048435965133223}. Best is trial 9 with value: 44.68740996640727.
