Exit code: 0
Stdout:
Mejores hiperparámetros encontrados:
{'scale': 0.11535069723900558, 'distribution': 'gaussian', 'gravity': 0.009800419481276884, 'alpha': 0.013956972883611416, 'beta': 1.1111306163438646, 'dt': 0.5169452766395723, 'radius': 0.8965628276301916, 'angle': 20.05706952299782, 'sigma': 0.1342505485286943}
Mejor rendimiento encontrado:
126.02453779623929

Stderr:
[I 2025-01-10 12:08:22,084] A new study created in memory with name: no-name-e731cef5-30bf-475a-9d62-aaeac0e3e364
[I 2025-01-10 12:08:25,354] Trial 0 finished with value: 149.8727572375443 and parameters: {'scale': 0.5928566346431821, 'distribution': 'uniform', 'gravity': 0.007206828407440379, 'alpha': 0.019172955058994523, 'beta': 4.404671951070258, 'dt': 0.8779079245645963, 'radius': 0.8111380166513307, 'angle': 24.17687375717999, 'sigma': 0.05209903421437413}. Best is trial 0 with value: 149.8727572375443.
[I 2025-01-10 12:08:26,779] Trial 1 finished with value: 143.2605061763682 and parameters: {'scale': 0.25287024753230625, 'distribution': 'gaussian', 'gravity': 0.008198831752404897, 'alpha': 0.018464663401201592, 'beta': 4.203302303260102, 'dt': 0.8858896851687211, 'radius': 0.8040440538235901, 'angle': 22.51094644138365, 'sigma': 0.10612308820220825}. Best is trial 1 with value: 143.2605061763682.
[I 2025-01-10 12:08:28,231] Trial 2 finished with value: 169.25754158027246 and parameters: {'scale': 0.9199298303956364, 'distribution': 'gaussian', 'gravity': 0.0025635014358020344, 'alpha': 0.018170944630079768, 'beta': 3.8611991106468793, 'dt': 0.7853340407996413, 'radius': 0.8121360273399814, 'angle': 23.383359231012356, 'sigma': 0.19995251287300092}. Best is trial 1 with value: 143.2605061763682.
[I 2025-01-10 12:08:29,692] Trial 3 finished with value: 154.3131351191836 and parameters: {'scale': 0.3193054249601712, 'distribution': 'gaussian', 'gravity': 0.006639335402846323, 'alpha': 0.006156647631930708, 'beta': 3.0073107322826895, 'dt': 1.4933949442041756, 'radius': 0.8370347932451543, 'angle': 21.454970704534944, 'sigma': 0.1258898948480892}. Best is trial 1 with value: 143.2605061763682.
[I 2025-01-10 12:08:31,182] Trial 4 finished with value: 189.7904013328522 and parameters: {'scale': 1.2014951278640733, 'distribution': 'gaussian', 'gravity': 0.005321301751582783, 'alpha': 0.007314282433851979, 'beta': 3.3576108448534043, 'dt': 1.3400483875285305, 'radius': 0.8081547092674422, 'angle': 20.746207736846983, 'sigma': 0.02787334885271768}. Best is trial 1 with value: 143.2605061763682.
[I 2025-01-10 12:08:32,687] Trial 5 finished with value: 156.92259191139487 and parameters: {'scale': 0.43129675300606723, 'distribution': 'levy', 'gravity': 0.0019092592270260108, 'alpha': 0.016970183071589505, 'beta': 1.9530335854514207, 'dt': 1.2947704622142102, 'radius': 0.8313781264020397, 'angle': 21.196236524881698, 'sigma': 0.17218912432081285}. Best is trial 1 with value: 143.2605061763682.
[I 2025-01-10 12:08:34,141] Trial 6 finished with value: 195.9432946018353 and parameters: {'scale': 1.6102410297267027, 'distribution': 'gaussian', 'gravity': 0.007995342318967718, 'alpha': 0.017775305050753268, 'beta': 2.747236719004089, 'dt': 0.9555068167296934, 'radius': 0.8020084349721175, 'angle': 24.32330332367894, 'sigma': 0.025668190176295444}. Best is trial 1 with value: 143.2605061763682.
[I 2025-01-10 12:08:35,615] Trial 7 finished with value: 190.85033972086777 and parameters: {'scale': 1.929700945091111, 'distribution': 'levy', 'gravity': 0.00607316869175778, 'alpha': 0.01809601275286655, 'beta': 1.6642808492470094, 'dt': 0.6470385806630697, 'radius': 0.8085948591035798, 'angle': 21.522868294625354, 'sigma': 0.08069545971648143}. Best is trial 1 with value: 143.2605061763682.
[I 2025-01-10 12:08:37,077] Trial 8 finished with value: 171.44822600232837 and parameters: {'scale': 1.0816533105786938, 'distribution': 'uniform', 'gravity': 0.0013336658187376087, 'alpha': 0.007461827347402029, 'beta': 4.439550387381161, 'dt': 0.9086821148096287, 'radius': 0.8713270811442779, 'angle': 22.66252164869248, 'sigma': 0.014125843074275583}. Best is trial 1 with value: 143.2605061763682.
[I 2025-01-10 12:08:38,529] Trial 9 finished with value: 169.39008671940417 and parameters: {'scale': 1.1573469385688486, 'distribution': 'uniform', 'gravity': 0.0015149183139924198, 'alpha': 0.013334188908528628, 'beta': 2.758266038726715, 'dt': 0.8585718612694111, 'radius': 0.828636899471821, 'angle': 23.785300031123654, 'sigma': 0.09407937513799694}. Best is trial 1 with value: 143.2605061763682.
[I 2025-01-10 12:08:39,999] Trial 10 finished with value: 128.64166517389458 and parameters: {'scale': 0.11870097605062413, 'distribution': 'gaussian', 'gravity': 0.009698579842867865, 'alpha': 0.013712372901347861, 'beta': 1.017452000377085, 'dt': 0.5291933702120508, 'radius': 0.8917739570124602, 'angle': 20.052888276443625, 'sigma': 0.1312371874170446}. Best is trial 10 with value: 128.64166517389458.
[I 2025-01-10 12:08:41,497] Trial 11 finished with value: 126.02453779623929 and parameters: {'scale': 0.11535069723900558, 'distribution': 'gaussian', 'gravity': 0.009800419481276884, 'alpha': 0.013956972883611416, 'beta': 1.1111306163438646, 'dt': 0.5169452766395723, 'radius': 0.8965628276301916, 'angle': 20.05706952299782, 'sigma': 0.1342505485286943}. Best is trial 11 with value: 126.02453779623929.
[I 2025-01-10 12:08:42,984] Trial 12 finished with value: 128.34316427498356 and parameters: {'scale': 0.1442811153776902, 'distribution': 'gaussian', 'gravity': 0.009919174702165712, 'alpha': 0.013161528732819224, 'beta': 1.0156027790717297, 'dt': 0.5140334661642666, 'radius': 0.8982525598097189, 'angle': 20.033029645126213, 'sigma': 0.14491993077292062}. Best is trial 11 with value: 126.02453779623929.
[I 2025-01-10 12:08:44,465] Trial 13 finished with value: 171.40166881787738 and parameters: {'scale': 0.6833709865430451, 'distribution': 'gaussian', 'gravity': 0.009820891365840027, 'alpha': 0.010587680744918821, 'beta': 1.068921488603258, 'dt': 0.5071713330069516, 'radius': 0.8984045404484623, 'angle': 20.044551088264814, 'sigma': 0.1507075411077453}. Best is trial 11 with value: 126.02453779623929.
[I 2025-01-10 12:08:45,962] Trial 14 finished with value: 134.85407496633792 and parameters: {'scale': 0.11597666566778736, 'distribution': 'gaussian', 'gravity': 0.0032288160657060853, 'alpha': 0.015270020383546735, 'beta': 1.7219655642973388, 'dt': 0.6493806536136868, 'radius': 0.8772778856402801, 'angle': 20.699573297118572, 'sigma': 0.16484699581340964}. Best is trial 11 with value: 126.02453779623929.
